"S0872-01692013000300002-prt","Evolution of the diagnostic criteria of antibody-mediated rejection of renal allografts: Banff classification updates","Mubarak, Muhammed, I. Kazi, Javed","Portuguese Journal of Nephrology &amp; Hypertension; 27(3); 137-142","Portuguese Journal of Nephrology &amp; Hypertension","Inglês","2013","http://www.scielo.mec.pt/scielo.php?script=sci_arttext&pid=S0872-01692013000300002&lang=pt" 
"S0872-01692013000300005-prt","RAAS Intervention in Chronic Kidney Disease","Lucas, Carlos","Portuguese Journal of Nephrology &amp; Hypertension; 27(3); 163-171","Portuguese Journal of Nephrology &amp; Hypertension","Inglês","2013","http://www.scielo.mec.pt/scielo.php?script=sci_arttext&pid=S0872-01692013000300005&lang=pt" 
"S0872-01692013000300004-prt","Diagnosis, pathophysiology and management of pre-eclampsia: a review","Machado, Susana, Neves, Marta, Freitas, Luis, Campos, Mario","Portuguese Journal of Nephrology &amp; Hypertension; 27(3); 153-161","Portuguese Journal of Nephrology &amp; Hypertension","Inglês","2013","http://www.scielo.mec.pt/scielo.php?script=sci_arttext&pid=S0872-01692013000300004&lang=pt" 
"S0872-01692013000300007-prt","The physician-patient relationship in dialysis","Pinheiro, Joaquim, Maia, Manuela, Alves, Helder","Portuguese Journal of Nephrology &amp; Hypertension; 27(3); 179-185","Portuguese Journal of Nephrology &amp; Hypertension","Inglês","2013","http://www.scielo.mec.pt/scielo.php?script=sci_arttext&pid=S0872-01692013000300007&lang=pt" 
"S0872-01692013000300006-prt","Pancreas-Kidney Transplantation: Analysis of 150 patients from one Centre in Portugal","Martins, La Salete, Fonseca, Isabel, Aguiar, Pedro, Rocha, Ana, Costa, Rui, Santos, Clara, Malheiro, Jorge, Pedroso, Sofia, Almeida, Manuela, Dias, Leonidio, Henriques, Antonio C, Cabrita, Antonio, Davide, Jose","Portuguese Journal of Nephrology &amp; Hypertension; 27(3); 173-178","Portuguese Journal of Nephrology &amp; Hypertension","Inglês","2013","http://www.scielo.mec.pt/scielo.php?script=sci_arttext&pid=S0872-01692013000300006&lang=pt" 
"S0872-01692013000300009-prt","Different pathways and biomarkers of acute and chronic cyclosporineinduced nephrotoxicity in a rat model: focus on overexpression of mTOR and Mki67","Sereno, Jose, Rodrigues-Santos, Paulo, Vala, Helena, Parada, Belmiro, Alves, Rui, Teixeira-Lemos, Edite, Rocha-Pereira, Petronila, Teixeira, Frederico, Reis, Flavio","Portuguese Journal of Nephrology &amp; Hypertension; 27(3); 197-208","Portuguese Journal of Nephrology &amp; Hypertension","Inglês","2013","http://www.scielo.mec.pt/scielo.php?script=sci_arttext&pid=S0872-01692013000300009&lang=pt" 
"S0872-01692013000300008-prt","Unusual bacteria causing peritonitis in peritoneal dialysis: A single centre experience","Farinha, Ana, Vaz, Alvaro, Assuncao, Jose, Vinhas, Jose","Portuguese Journal of Nephrology &amp; Hypertension; 27(3); 187-195","Portuguese Journal of Nephrology &amp; Hypertension","Inglês","2013","http://www.scielo.mec.pt/scielo.php?script=sci_arttext&pid=S0872-01692013000300008&lang=pt" 
"S0872-01692013000300010-prt","Transplant glomerulopathy: clinico-pathologic features","Silva, Cristina, Cotovio, Patricia, Marques, Maria, Afonso, Nuno, Sancho, Maria Rosario, Carvalho, Fernanda, Trindade, Helder, Carreira, Armando, Campos, Mario, Nolasco, Fernando","Portuguese Journal of Nephrology &amp; Hypertension; 27(3); 209-215","Portuguese Journal of Nephrology &amp; Hypertension","Inglês","2013","http://www.scielo.mec.pt/scielo.php?script=sci_arttext&pid=S0872-01692013000300010&lang=pt" 
"S0120-62302013000300009-col","Molecular dynamics simulations of nanoindentation in Cr, Ni, and Ni/Cr bilayer films using a hard spherical potential","Amaya Roncando, Sebastian, Restrepo Parra, Elisabeth, Arias Mateus, Diego Fernando, Gómez Hermida, Mónica María, Riaño Rojas, Juan Carlos","Revista Facultad de Ingeniería Universidad de Antioquia; (68); 88-94","Revista Facultad de Ingeniería Universidad de Antioquia","Inglês","2013","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0120-62302013000300009&lang=pt" 
"S0120-62302013000300008-col","Reducing the hardware requirements in FPGA- based controllers: a photovoltaic application","Mamarelis, E., Ramos-Paja, C.A., Petrone, G., Spagnuolo, G., Vitelli, M., Giral, R","Revista Facultad de Ingeniería Universidad de Antioquia; (68); 75-87","Revista Facultad de Ingeniería Universidad de Antioquia","Inglês","2013","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0120-62302013000300008&lang=pt" 
"S0120-62302013000300003-col","Non-linear joint transform correlator for micro-displacement measurement using speckle patterns","Valdivieso González, Luis G., Guerrero Bermúdez, Jáder E., Tepichín Rodríguez, Eduardo","Revista Facultad de Ingeniería Universidad de Antioquia; (68); 20-26","Revista Facultad de Ingeniería Universidad de Antioquia","Inglês","2013","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0120-62302013000300003&lang=pt" 
"S0120-62302013000300002-col","A simplification to the fast FIR-FFT filtering technique in the DSP interpolation process for band-limited signals","Castillo Soria, Francisco Rubén, Algredo Badillo, Ignacio, Fernández Torres, Gustavo, Sánchez García, Jaime","Revista Facultad de Ingeniería Universidad de Antioquia; (68); 09-19","Revista Facultad de Ingeniería Universidad de Antioquia","Inglês","2013","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0120-62302013000300002&lang=pt" 
