"S0100-84042003000400002-scl","Influência da flora das florestas Amazônica e Atlântica na vegetação do cerrado sensu stricto","Méio, Beatriz B., Freitas, Cristiane V., Jatobá, Leuseroberta, Silva, Mario E. F., Ribeiro, José F., Henriques, Raimundo P. B.","Brazilian Journal of Botany; 26(4); 437-444","Brazilian Journal of Botany","Português","2003","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-84042003000400002&lang=pt" 
"S0100-84042003000400010-scl","Anatomical and ultrastructural aspects of root and mycorrhiza of Anadenanthera peregrina (L.) Speg. var. falcata (Benth.) Altschul (Leguminosae-Mimosoideae)","Gross, Eduardo, Cordeiro, Lázara, Caetano, Flávio H.","Brazilian Journal of Botany; 26(4); 515-523","Brazilian Journal of Botany","Inglês","2003","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-84042003000400010&lang=pt" 
"S0100-84042003000400012-scl","Assimilate partitioning in leaves of the raffinose-storing herb Lamium album L.: the effects of altering source-sink balance","Kochhar, A., Rees, T. Ap, Pollock, C.J.","Brazilian Journal of Botany; 26(4); 533-540","Brazilian Journal of Botany","Inglês","2003","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-84042003000400012&lang=pt" 
"S1517-106X2003000200012-scl","Roberto Zular. Criação em processo. Ensaios de crítica genética","Pino, Claudia Amigo","Alea : Estudos Neolatinos; 5(2); 298-301","Alea : Estudos Neolatinos","Português","2003","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1517-106X2003000200012&lang=pt" 
"S1517-106X2003000200011-scl","Francis Ponge. A mesa","Silva, Edson Rosa da","Alea : Estudos Neolatinos; 5(2); 295-297","Alea : Estudos Neolatinos","Português","2003","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1517-106X2003000200011&lang=pt" 
"S0101-20612003000400003-scl","Avaliação microbiológica e sensorial da vida-útil de cortes de peito de frango irradiados","Miyagusku, L., Chen, F., Leitão, M.F.de F., Baffa, O.","Food Science and Technology (Campinas); 23(); 7-16","Food Science and Technology (Campinas)","Português","2003","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-20612003000400003&lang=pt" 
"S0101-20612003000400005-scl","Café torrado e moído em embalagens inertizadas","Alves, Rosa M. Vercelino, Mori, Emília E., Milanez, Cibele R., Padula, Marisa","Food Science and Technology (Campinas); 23(); 22-27","Food Science and Technology (Campinas)","Português","2003","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-20612003000400005&lang=pt" 
"S0101-20612003000400006-scl","Pós-colheita de pêssegos (Prunus pérsica L. Bastsch) revestidos com filmes a base de amido como alternativa à cera comercial","Oliveira, Marcelo Alvares de, Cereda, Marney Pascoli","Food Science and Technology (Campinas); 23(); 28-33","Food Science and Technology (Campinas)","Português","2003","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-20612003000400006&lang=pt" 
"S0101-20612003000400007-scl","Melhoria do rendimento e do processo de obtenção da bebida alcoólica de pupunha (Bactris gasipaes Kunth)","Andrade, Jerusa S., Pantoja, Lílian, Maeda, Roberto N.","Food Science and Technology (Campinas); 23(); 34-38","Food Science and Technology (Campinas)","Português","2003","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-20612003000400007&lang=pt" 
"S0101-20612003000400008-scl","Efeito da estocagem e das condições de colheita sobre algumas propriedades físicas, químicas e nutricionais de três cultivares de feijão (Phaseolus vulgaris, L.)","Rios, Alessandro de Oliveira, Abreu, Celeste Maria Patto de, Corrêa, Angelita Duarte","Food Science and Technology (Campinas); 23(); 39-45","Food Science and Technology (Campinas)","Português","2003","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-20612003000400008&lang=pt" 
"S0101-20612003000400009-scl","Comparison of methods by TLC and HPTLC for determination of aflatoxin M1 in milk and B1 in eggs","Scussel, V. M.","Food Science and Technology (Campinas); 23(); 46-52","Food Science and Technology (Campinas)","Inglês","2003","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-20612003000400009&lang=pt" 
"S0101-20612003000400010-scl","Conservação de pêssegos &#039;Biuti&#039; por irradiação","Calore, Luciana, Vieites, Rogério Lopes","Food Science and Technology (Campinas); 23(); 53-57","Food Science and Technology (Campinas)","Português","2003","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-20612003000400010&lang=pt" 
