"S0103-64402008000100014-scl","Mandible protrusion and decrease of TMJ sounds: an electrovibratographic examination","Garcia, Alicio Rosalino, Folli, Sérgio, Zuim, Paulo Renato Junqueira, Sousa, Valdir de","Brazilian Dental Journal; 19(1); 77-82","Brazilian Dental Journal","Inglês","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-64402008000100014&lang=pt" 
"S0103-64402008000100003-scl","Bone response to a Ca- and P-enriched titanium surface obtained by anodization","Franco, Rosemeire de Lordo, Chiesa, Roberto, Oliveira, Paulo Tambasco de, Beloti, Marcio Mateus, Rosa, Adalberto Luiz","Brazilian Dental Journal; 19(1); 15-20","Brazilian Dental Journal","Inglês","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-64402008000100003&lang=pt" 
"S0103-64402008000100008-scl","Adhesion of Epiphany and AH Plus sealers to human root dentin treated with different solutions","Nunes, Vinicius Humberto, Silva, Ricardo Gariba, Alfredo, Edson, Sousa-Neto, Manoel D., Silva-Sousa, Yara T. C.","Brazilian Dental Journal; 19(1); 46-50","Brazilian Dental Journal","Inglês","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-64402008000100008&lang=pt" 
"S0103-64402008000100009-scl","Microtensile bond strength of adhesive systems to dentin with or without application of an intermediate flowable resin layer","De Goes, Mario Fernando, Giannini, Marcelo, Di Hipólito, Vinícius, Carrilho, Marcela Rocha de Oliveira, Daronch, Márcia, Rueggeberg, Frederick Allen","Brazilian Dental Journal; 19(1); 51-56","Brazilian Dental Journal","Inglês","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-64402008000100009&lang=pt" 
"S0103-64402008000100005-scl","Antimicrobial effect and pH of chlorhexidine gel and calcium hydroxide alone and associated with other materials","Souza-Filho, Francisco José de, Soares, Adriana de Jesus, Vianna, Morgana Eli, Zaia, Alexandre Augusto, Ferraz, Caio Cezar Randi, Gomes, Brenda Paula Figueiredo de Almeida","Brazilian Dental Journal; 19(1); 28-33","Brazilian Dental Journal","Inglês","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-64402008000100005&lang=pt" 
"S0103-64402008000100004-scl","pH-cycling models to evaluate the effect of low fluoride dentifrice on enamel de- and remineralization","Queiroz, Celso Silva, Hara, Anderson Takeo, Paes Leme, Adriana Franco, Cury, Jaime Aparecido","Brazilian Dental Journal; 19(1); 21-27","Brazilian Dental Journal","Inglês","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-64402008000100004&lang=pt" 
"S1807-59322008000200015-scl","Is brain banking of psychiatric cases valuable for neurobiological research?","Schmitt, Andrea, Parlapani, Eleni, Bauer, Manfred, Heinsen, Helmut, Falkai, Peter","Clinics; 63(2); 255-266","Clinics","Inglês","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1807-59322008000200015&lang=pt" 
"S0036-36342008000700015-spa","Injury prevention and control: reflections on the state and the direction of the field","Segui-Gomez, Maria, Miller, Mathew","Salud Pública de México; 50(); s101-s111","Salud Pública de México","Inglês","2008","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0036-36342008000700015&lang=pt" 
"S1807-03022008000100001-scl","On hydromagnetic rotating flow of a dusty fluid near a pulsating plate","Ghosh, Sanchita, Ghosh, Arun K.","Computational &amp; Applied Mathematics; 27(1); 1-30","Computational &amp; Applied Mathematics","Inglês","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1807-03022008000100001&lang=pt" 
"S1807-03022008000100002-scl","The generalized anti-reflexive solutions for a class of matrix equations (BX = C, XD = E)","Li, Fan-Liang, Hu, Xi-Yan, Zhang, Lei","Computational &amp; Applied Mathematics; 27(1); 31-46","Computational &amp; Applied Mathematics","Inglês","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1807-03022008000100002&lang=pt" 
"S1807-03022008000100004-scl","Nonlinear cutting stock problem model to minimize the number of different patterns and objects","Moretti, Antonio Carlos, Salles Neto, Luiz Leduíno de","Computational &amp; Applied Mathematics; 27(1); 61-78","Computational &amp; Applied Mathematics","Inglês","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1807-03022008000100004&lang=pt" 
"S0103-50532008000200005-scl","Meteorites: messengers from the outer space","Scorzelli, Rosa B.","Journal of the Brazilian Chemical Society; 19(2); 226-231","Journal of the Brazilian Chemical Society","Inglês","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-50532008000200005&lang=pt" 
"S0103-50532008000200003-scl","Quantum tunneling in biological reactions: the interplay between theory and experiments","Onuchic, José N., Kobayashi, Chigusa, Baldridge, Kim K.","Journal of the Brazilian Chemical Society; 19(2); 206-210","Journal of the Brazilian Chemical Society","Inglês","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-50532008000200003&lang=pt" 
"S0103-50532008000200007-scl","The nature of the chemical bond","Nascimento, Marco Antonio Chaer","Journal of the Brazilian Chemical Society; 19(2); 245-256","Journal of the Brazilian Chemical Society","Inglês","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-50532008000200007&lang=pt" 
"S0103-50532008000200016-scl","Electronic structure of fractionally nuclear charged atoms","Pavão, Antonio C., Bastos, Cristiano C., Ferreira, Joacy V.","Journal of the Brazilian Chemical Society; 19(2); 302-304","Journal of the Brazilian Chemical Society","Inglês","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-50532008000200016&lang=pt" 
"S0103-50532008000200011-scl","Three-nucleon potentials","Coelho, H. T., Das, T. K., Robilotta, M. R.","Journal of the Brazilian Chemical Society; 19(2); 273-276","Journal of the Brazilian Chemical Society","Inglês","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-50532008000200011&lang=pt" 
