"S1870-46542011000100016-mex","Las cláusulas de derechos humanos en los tratados de libre comercio de la Unión Europea","Niedrist, Gerhard","Anuario mexicano de derecho internacional; 11(); 463-485","Anuario mexicano de derecho internacional","Espanhol","2011","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S1870-46542011000100016&lang=pt" 
"S1870-46542011000100007-mex","The Responsibility to Protect as a General Principle of International Law","Kunadt, Nadja","Anuario mexicano de derecho internacional; 11(); 187-226","Anuario mexicano de derecho internacional","Inglês","2011","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S1870-46542011000100007&lang=pt" 
"S1870-46542011000100001-mex","The Never-Ending Dilemma: is the Unilateral use of Force by States Legal in the Context of Humanitarian Intervention?","Arrocha, Pablo","Anuario mexicano de derecho internacional; 11(); 11-44","Anuario mexicano de derecho internacional","Inglês","2011","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S1870-46542011000100001&lang=pt" 
"S1870-46542011000100011-mex","The Inter-American Human Rights Protection System: Structure, Functioning and Effectiveness in Brazilian Law","Mazzuoli, Valerio de Oliveira","Anuario mexicano de derecho internacional; 11(); 331-367","Anuario mexicano de derecho internacional","Inglês","2011","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S1870-46542011000100011&lang=pt" 
"S0370-59432011000200002-mex","In vivo analysis of the genotoxic potential of 14-Hydroxylunularin, a molecule with leishmanicidal effect","Cuevas, F., Mojoli, A., Maldonado, M., Rojas de Arias, A., Pandolfi, E., Segovia-Corrales, A.","Revista latinoamericana de química; 39(3); 100-106","Revista latinoamericana de química","Inglês","2011","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0370-59432011000200002&lang=pt" 
"S0370-59432011000100006-mex","Bioactive constituents and biochemical composition of the egyptian brown alga Sargassum Subrepandum (Forsk)","Abou-El-Wafa, Ghada S. E., Shaaban, Khaled A., El-Naggar, Mohamed E. E., Shaaban, Mohamed","Revista latinoamericana de química; 39(1-2); 62-74","Revista latinoamericana de química","Inglês","2011","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0370-59432011000100006&lang=pt" 
"S0370-59432011000100007-mex","Antibacterial constituents from the octocoral-associated bacterium Pseudoalteromonas sp.","Martínez-Luis, Sergio, Ballesteros, Javier, Gutiérrez, Marcelino","Revista latinoamericana de química; 39(1-2); 75-83","Revista latinoamericana de química","Inglês","2011","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0370-59432011000100007&lang=pt" 
"S0370-59432011000100004-mex","Effect of zinc on the cadmium acute intoxication in the gastric injury induced in rats","González-Trujano, Ma. Eva, Navarrete, Andrés","Revista latinoamericana de química; 39(1-2); 45-54","Revista latinoamericana de química","Inglês","2011","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0370-59432011000100004&lang=pt" 
"S0370-59432011000100005-mex","Ca2+, Mg2+ OR Fe2+ ion-exchanged cancrinite-type zeolites as possible hypoglycemiant agents","Cisneros, Vanessa, Ocanto, Freddy, Linares, Carlos F.","Revista latinoamericana de química; 39(1-2); 55-61","Revista latinoamericana de química","Inglês","2011","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0370-59432011000100005&lang=pt" 
"S0370-59432011000100002-mex","Extracción y cuantificación de cumarina mediante HPLC-UV en extractos hidroetanolico de semillas de Dipteryx odorata","Oliveros-Bastidas, Alberto, Cordero, Inelba, Paredes, Daniel, Buendia, Daisy, Macías Domínguez, Francisco A.","Revista latinoamericana de química; 39(1-2); 17-31","Revista latinoamericana de química","Espanhol","2011","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0370-59432011000100002&lang=pt" 
