"S1415-47142013000200010-scl","A anatomia da melancolia: A segunda partição - A cura da melancolia","Kirschbaum, Roberto","Revista Latinoamericana de Psicopatologia Fundamental; 16(2); 335-338","Revista Latinoamericana de Psicopatologia Fundamental","Português","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-47142013000200010&lang=pt" 
"S0123-30332013000100001-col","Educación superior, innovación y propiedad industrial","Machuca-Martínez, Fiderman","Ingeniería y competitividad; 15(1); 1-1","Ingeniería y competitividad","Espanhol","2013","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0123-30332013000100001&lang=pt" 
"S0123-30332013000100017-col","Diseño, simulación, fabricación y caracterización de una turbina tipo Pelton de 5 kW","Agudelo, Sergio, Chica, Edwin, Obando, Felipe, Sierra, Natalia, Velásquez, Laura, Enríquez, Walter","Ingeniería y competitividad; 15(1); 183-193","Ingeniería y competitividad","Espanhol","2013","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0123-30332013000100017&lang=pt" 
"S0123-30332013000100012-col","Implementación del control de acceso a la red mediante los protocolos de autenticación, autorización y auditoría","Arana, José R., Villa, Leandro A., Polanco, Oscar","Ingeniería y competitividad; 15(1); 127-137","Ingeniería y competitividad","Espanhol","2013","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0123-30332013000100012&lang=pt" 
"S0123-30332013000100007-col","Obtención de 2-Fenil lepidinas durante la alquilación de Friedel-Crafts asistida por microondas de N-(Î±-alilbencil) anilinas soportadas en sílica-ácido sulfúrico","Roa, Diego A., Urbina, Juan Manuel","Ingeniería y competitividad; 15(1); 71-77","Ingeniería y competitividad","Espanhol","2013","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0123-30332013000100007&lang=pt" 
"S1692-17982013000100001-col","EDITORIAL","Flórez Ordoñez, Yudy Natalia","Iteckne; 10(1); 5-6","Iteckne","Espanhol","2013","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S1692-17982013000100001&lang=pt" 
"S1692-17982013000100008-col","Análisis comparativo de modelos hidrodinámicos y cinéticos para fotobiorreactores airlift","Cortés Conde, Félix Fabián, Rubio Fernández, Diego, Gómez Espinosa, Édisson Mateo","Iteckne; 10(1); 57-66","Iteckne","Espanhol","2013","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S1692-17982013000100008&lang=pt" 
"S1692-17982013000100009-col","Optimización y clasificación de señales EMG a través de métodos de reconocimiento de patrones","Durán Acevedo, Cristhian Manuel, Jaimes Mogollón, Aylen Lisset","Iteckne; 10(1); 67-76","Iteckne","Espanhol","2013","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S1692-17982013000100009&lang=pt" 
"S1692-17982013000100004-col","Decaimiento no leptónico del mesón Bc considerando mesones excitados radialmente en el estado final","Barrios Ávila, Juan Carlos, Sanabria Gómez, José David, Muñoz Ñungo, José Herman","Iteckne; 10(1); 21-26","Iteckne","Espanhol","2013","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S1692-17982013000100004&lang=pt" 
"S1692-17982013000100005-col","Estudio del efecto de una atmósfera gaseosa de amoniaco en un componente de un reactor catalítico fabricado en acero inoxidable AISI-SAE 304","López C., Carlos Alberto","Iteckne; 10(1); 27-36","Iteckne","Espanhol","2013","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S1692-17982013000100005&lang=pt" 
"S1692-17982013000100006-col","Metodología para la Estimación de Parámetros en Tiempo Real mediante Filtros de Kalman y Mínimos Cuadrados","Ortiz Bravo, Víctor Alfonso, Nieto Arias, Manuel Antonio, Quintero Salazar, Edwin Andrés","Iteckne; 10(1); 37-44","Iteckne","Espanhol","2013","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S1692-17982013000100006&lang=pt" 
"S1692-17982013000100007-col","Sistema de Soporte a la Toma de Decisiones para el Análisis Multifractal del Genoma Humano","Mendoza Becerra, Martha Eliana, Camayo Otero, Alba Viviana, Martínez Molina, Adrián Fernando, Martínez Flor, Émber Ubéimar, Cobos Lozada, Carlos Alberto","Iteckne; 10(1); 45-56","Iteckne","Espanhol","2013","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S1692-17982013000100007&lang=pt" 
