"S1517-83822016000200271-scl","Sphingomonas from petroleum-contaminated soils in Shenfu, China and their PAHs degradation abilities","Zhou, Lisha, Li, Hui, Zhang, Ying, Han, Siqin, Xu, Hui","Brazilian Journal of Microbiology; 47(2); 271-278","Brazilian Journal of Microbiology","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1517-83822016000200271&lang=pt" 
"S1517-83822016000200438-scl","Occurrence and antimicrobial resistance patterns of Listeria monocytogenes isolated from vegetables","Byrne, Vanessa de Vasconcelos, Hofer, Ernesto, Vallim, Deyse Christina, Almeida, Rogeria Comastri de Castro","Brazilian Journal of Microbiology; 47(2); 438-443","Brazilian Journal of Microbiology","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1517-83822016000200438&lang=pt" 
"S1517-83822016000200513-scl","Phylogenetic characterization of the first Ungulate tetraparvovirus 2 detected in pigs in Brazil","Souza, Carine Kunzler, Streck, André Felipe, Gonçalves, Karla Ratje, Pinto, Luciane Dubina, Ravazzolo, Ana Paula, Barcellos, David Emílio dos Santos Neves de, Canal, Cláudio Wageck","Brazilian Journal of Microbiology; 47(2); 513-517","Brazilian Journal of Microbiology","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1517-83822016000200513&lang=pt" 
"S1517-83822016000200327-scl","Detection of carboxylesterase and esterase activity in culturable gut bacterial flora isolated from diamondback moth, Plutella xylostella (Linnaeus), from India and its possible role in indoxacarb degradation","Ramya, Shanivarsanthe Leelesh, Venkatesan, Thiruvengadam, Srinivasa Murthy, Kottilingam, Jalali, Sushil Kumar, Verghese, Abraham","Brazilian Journal of Microbiology; 47(2); 327-336","Brazilian Journal of Microbiology","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1517-83822016000200327&lang=pt" 
"S1517-83822016000200461-scl","Surface response methodology for the optimization of lipase production under submerged fermentation by filamentous fungi","Colla, Luciane Maria, Primaz, Andreiza Lazzarotto, Benedetti, Silvia, Loss, Raquel Aparecida, Lima, Marieli de, Reinehr, Christian Oliveira, Bertolin, Telma Elita, Costa, Jorge Alberto Vieira","Brazilian Journal of Microbiology; 47(2); 461-467","Brazilian Journal of Microbiology","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1517-83822016000200461&lang=pt" 
"S1517-83822016000200394-scl","Isolation of recombinant antibodies directed against surface proteins of Clostridium difficile","Shirvan, Ali Nazari, Aitken, Robert","Brazilian Journal of Microbiology; 47(2); 394-402","Brazilian Journal of Microbiology","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1517-83822016000200394&lang=pt" 
"S1517-83822016000200314-scl","Rhizobial characterization in revegetated areas after bauxite mining","Borges, Wardsson Lustrino, Prin, Yves, Ducousso, Marc, Le Roux, Christine, Faria, Sergio Miana de","Brazilian Journal of Microbiology; 47(2); 314-321","Brazilian Journal of Microbiology","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1517-83822016000200314&lang=pt" 
"S1517-83822016000200322-scl","Sugarcane trash levels in soil affects the fungi but not bacteria in a short-term field experiment","Rachid, C.T.C.C, Pires, C.A, Leite, D.C.A, Coutinho, H.L.C, Peixoto, R.S, Rosado, A.S, Salton, J, Zanatta, J.A, Mercante, F.M, Angelini, G.A.R, Balieiro, Fabiano de Carvalho","Brazilian Journal of Microbiology; 47(2); 322-326","Brazilian Journal of Microbiology","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1517-83822016000200322&lang=pt" 
"S1517-83822016000200452-scl","Bacteria isolated from Korean black raspberry vinegar with low biogenic amine production in wine","Song, Nho-Eul, Cho, Hyoun-Suk, Baik, Sang-Ho","Brazilian Journal of Microbiology; 47(2); 452-460","Brazilian Journal of Microbiology","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1517-83822016000200452&lang=pt" 
"S1517-83822016000200352-scl","Cellulase activity and dissolved organic carbon release from lignocellulose macrophyte-derived in four trophic conditions","Bottino, Flávia, Cunha-Santino, Marcela Bianchessi, Bianchini Jr., Irineu","Brazilian Journal of Microbiology; 47(2); 352-358","Brazilian Journal of Microbiology","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1517-83822016000200352&lang=pt" 
"S1517-83822016000200298-scl","Role of pH on antioxidants production by Spirulina (Arthrospira) platensis","Ismaiel, Mostafa Mahmoud Sami, El-Ayouty, Yassin Mahmoud, Piercey-Normore, Michele","Brazilian Journal of Microbiology; 47(2); 298-304","Brazilian Journal of Microbiology","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1517-83822016000200298&lang=pt" 
"S1517-83822016000200373-scl","Susceptibility and molecular characterization of Candida species from patients with vulvovaginitis","Fornari, Gheniffer, Vicente, Vania Aparecida, Gomes, Renata Rodrigues, Muro, Marisol Dominguez, Pinheiro, Rosangela Lameira, Ferrari, Carolina, Herkert, Patricia Fernanda, Takimura, Marcos, Carvalho, Newton Sérgio de, Queiroz-Telles, Flavio","Brazilian Journal of Microbiology; 47(2); 373-380","Brazilian Journal of Microbiology","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1517-83822016000200373&lang=pt" 
