"S0021-75572006000800010-scl","Impacto do tratamento semanal com sulfato ferroso sobre o nível de hemoglobina, morbidade e estado nutricional de lactentes anêmicos","Lima, Ana C. V. M. S., Lima, Marilia C., Guerra, Miriam Q. F., Romani, Sylvia A. M., Eickmann, Sophie H., Lira, Pedro I. C.","Jornal de Pediatria; 82(6); 452-457","Jornal de Pediatria","Inglês, Português","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0021-75572006000800010&lang=pt" 
"S0021-75572006000800011-scl","Avaliação de atopia em crianças respiradoras bucais atendidas em centro de referência","Barros, Juliana R. C., Becker, Helena M. G., Pinto, Jorge A.","Jornal de Pediatria; 82(6); 458-464","Jornal de Pediatria","Inglês, Português","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0021-75572006000800011&lang=pt" 
"S0021-75572006000800012-scl","Pico do fluxo expiratório no acompanhamento de crianças asmáticas","Fonseca, Ana Cristina C. F., Fonseca, Maria Tereza M., Rodrigues, Mary Elisabeth S. M., Lasmar, Laura Maria L. B. F., Camargos, Paulo A. M.","Jornal de Pediatria; 82(6); 465-469","Jornal de Pediatria","Inglês, Português","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0021-75572006000800012&lang=pt" 
"S0021-75572006000800013-scl","Concordância entre escalas de triagem e diagnóstico do desenvolvimento motor no sexto mês de vida","Campos, Denise, Santos, Denise C. C., Gonçalves, Vanda M. G., Goto, Maura M. F., Arias, Amabile V., Brianeze, Ana Carolina G. S., Campos, Thatiane M., Mello, Bernadete B. A.","Jornal de Pediatria; 82(6); 470-474","Jornal de Pediatria","Inglês, Português","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0021-75572006000800013&lang=pt" 
"S0021-75572006000800014-scl","A relação entre posicionamento do prematuro no Método Mãe-Canguru e desenvolvimento neuropsicomotor precoce","Barradas, Juliana, Fonseca, Antonietta, Guimarães, Carmen Lúcia N., Lima, Geisy Maria de S.","Jornal de Pediatria; 82(6); 475-480","Jornal de Pediatria","Inglês, Português","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0021-75572006000800014&lang=pt" 
"S0100-512X2006000200010-scl","Do humanismo ridículo: a crítica da prefectibilidade humana em Pascal e Lutero","Pondé, Luiz Felipe","Kriterion: Revista de Filosofia; 47(114); 347-366","Kriterion: Revista de Filosofia","Português","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-512X2006000200010&lang=pt" 
"S0101-74382006000300002-scl","Lagrangean relaxation bounds for point-feature cartographic label placement problem","Ribeiro, Glaydston Mattos, Lorena, Luiz Antonio Nogueira","Pesquisa Operacional; 26(3); 459-471","Pesquisa Operacional","Inglês","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-74382006000300002&lang=pt" 
"S0101-74382006000300006-scl","Modelagem analítica aplicada à negociação e decisão em grupo","Gomes, Carlos Francisco Simões","Pesquisa Operacional; 26(3); 537-566","Pesquisa Operacional","Português","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-74382006000300006&lang=pt" 
"S0101-74382006000300008-scl","Uma abordagem bayesiana para decisões de investimentos","Kalatzis, Aquiles Elie Guimarães, Azzoni, Carlos Roberto, Achcar, Jorge Alberto","Pesquisa Operacional; 26(3); 585-604","Pesquisa Operacional","Português","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-74382006000300008&lang=pt" 
"S0101-74382006000300009-scl","Experimentos com mistura para otimização de processos: uma aplicação com respostas não normais","Vieira, Antonio Fernando de Castro, Dal Bello, Luiz Henrique Abreu","Pesquisa Operacional; 26(3); 605-623","Pesquisa Operacional","Português","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-74382006000300009&lang=pt" 
"S0101-74382006000300004-scl","Modelo de fila hipercubo com múltiplo despacho e backup parcial para análise de sistemas de atendimento médico emergenciais em rodovias","Iannoni, Ana Paula, Morabito, Reinaldo","Pesquisa Operacional; 26(3); 493-519","Pesquisa Operacional","Português","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-74382006000300004&lang=pt" 
"S0101-74382006000300003-scl","Heurísticas para o problema de corte de estoque unidimensional inteiro","Poldi, Kelly Cristina, Arenales, Marcos Nereu","Pesquisa Operacional; 26(3); 473-492","Pesquisa Operacional","Português","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-74382006000300003&lang=pt" 
"S0101-74382006000300010-scl","Uso do método multicritério ELECTRE TRI para classificação de estoques na construção civil","Szajubok, Nadia Kelner, Mota, Caroline Maria de Miranda, Almeida, Adiel Teixeira de","Pesquisa Operacional; 26(3); 625-648","Pesquisa Operacional","Português","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-74382006000300010&lang=pt" 
"S0864-03002006000400001-cub","La digitalización de imágenes aplicadas a la anatomía patológica: Experiencias en la provincia Holguín, Cuba","Sanz Pupo, Nitza Julia, Ríos Hidalgo, Nancy, Seguí Sánchez, Mercedes, Díaz Rojas, Pedro Augusto, Fernández Sarabia, Pedro Antonio","Revista Cubana de Investigaciones Biomédicas; 25(4); -","Revista Cubana de Investigaciones Biomédicas","Espanhol","2006","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0864-03002006000400001&lang=pt" 
"S0864-03002006000400002-cub","Infección por Helicobacter pylori en Santo Domingo, República Dominicana","Gutiérrez, Beatriz, Vidal, Teresita, Valmaña, Carlos, Camou, Christine","Revista Cubana de Investigaciones Biomédicas; 25(4); -","Revista Cubana de Investigaciones Biomédicas","Espanhol","2006","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0864-03002006000400002&lang=pt" 
"S0864-03002006000400003-cub","Nuevas herramientas para el desarrollo de la neuroanatomía computacional","Chao González, Susana, Valdés Sosa, Pedro, Aubert, Eduardo, Galán, Lídice","Revista Cubana de Investigaciones Biomédicas; 25(4); -","Revista Cubana de Investigaciones Biomédicas","Espanhol","2006","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0864-03002006000400003&lang=pt" 
"S0864-03002006000400004-cub","Algunas enfermedades en ancianos ingresados y estado nutricional: Hospital Calixto García, 2005","Bolet Astoviza, Miriam, Socarrás Suárez, María Matilde, Rodríguez Fernández, Teresa","Revista Cubana de Investigaciones Biomédicas; 25(4); -","Revista Cubana de Investigaciones Biomédicas","Espanhol","2006","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0864-03002006000400004&lang=pt" 
"S0864-03002006000400005-cub","Desnutrición de los pacientes de la tercera edad ingresados en el Hospital “General Calixto García”","Socarrás Suárez, María Matilde, Bolet Astoviza, Miriam, Castañeda Abascal, Ileana, Betancourt Baltrell, Dania","Revista Cubana de Investigaciones Biomédicas; 25(4); -","Revista Cubana de Investigaciones Biomédicas","Espanhol","2006","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0864-03002006000400005&lang=pt" 
"S0864-03002006000400006-cub","Estudio somatométrico de crías de rata con crecimiento intrauterino retardado desde el nacimiento hasta el destete","Tomé López, Orlando, Cruz Álvarez, Yainet, Alfonso Zerquera, Cristina, Selva Silva, Selma, Cruz García, María A.","Revista Cubana de Investigaciones Biomédicas; 25(4); -","Revista Cubana de Investigaciones Biomédicas","Espanhol","2006","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0864-03002006000400006&lang=pt" 
"S0864-03002006000400007-cub","Consecuencias funcionales en riñones de ratas sometidos a isquemia","Vidor Guerra, Elizabeth, García López, Vivian, Betancourt Valladares, Miriela, Barrera López, Olga Lidia, del Risco Turiño, Carlos","Revista Cubana de Investigaciones Biomédicas; 25(4); -","Revista Cubana de Investigaciones Biomédicas","Espanhol","2006","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0864-03002006000400007&lang=pt" 
"S0864-03002006000400008-cub","Hipertensión arterial en mujeres climatéricas","Barrera Sotolongo, Julián, Osorio León, Sarah","Revista Cubana de Investigaciones Biomédicas; 25(4); -","Revista Cubana de Investigaciones Biomédicas","Espanhol","2006","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0864-03002006000400008&lang=pt" 
