"S0213-91112008000300014-spa","Mapa de procesos en organizaciones de salud pública: la experiencia de la Dirección Xeral de Saúde Pública de Galicia","Aboal-Viñas, José Luis, Lado-Lema, María Eugenia, Amigo-Quintana, Manuel, Hervada-Vidal, Xurxo, Gómez-Amorín, Ángel, Fernández-Abreu, Carlos","Gaceta Sanitaria; 22(3); 275-279","Gaceta Sanitaria","Espanhol","2008","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0213-91112008000300014&lang=pt" 
"S0213-91112008000300004-spa","Estado de la neumología pública en Cataluña: estudio comparativo entre 1993 y 2003","Ribas, Jesús, Ruiz, Joan, Vidal, Rafael, Rosell, Antoni","Gaceta Sanitaria; 22(3); 197-199","Gaceta Sanitaria","Espanhol","2008","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0213-91112008000300004&lang=pt" 
"S0213-91112008000300011-spa","Comment: gastric intestinal metaplasia and smoking","González, Carlos A.","Gaceta Sanitaria; 22(3); 246-247","Gaceta Sanitaria","Inglês","2008","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0213-91112008000300011&lang=pt" 
"S0213-91112008000300019-spa","Redacción científica en biomedicina: lo que hay que saber","Ruiz Cantero, María Teresa","Gaceta Sanitaria; 22(3); 293-293","Gaceta Sanitaria","Espanhol","2008","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0213-91112008000300019&lang=pt" 
"S0213-91112008000300018-spa","Preferiría dormir en la misma cama que mis sueños","Montero, Luis García","Gaceta Sanitaria; 22(3); 292-292","Gaceta Sanitaria","Espanhol","2008","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0213-91112008000300018&lang=pt" 
"S0213-91112008000300015-spa","Derechos humanos, una oportunidad para las políticas públicas en salud","Franco-Giraldo, Álvaro, Álvarez-Dardet, Carlos","Gaceta Sanitaria; 22(3); 280-286","Gaceta Sanitaria","Espanhol","2008","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0213-91112008000300015&lang=pt" 
"S0213-91112008000300013-spa","Innovar en la gestión de servicios de salud pública: la experiencia de la Agencia de Salud Pública de Barcelona","Guix, Joan, Ramon Villalbí, Joan, Armengol, Ricard, Llebaria, Xavier, Manzanera, Rafael, Plasència, Antoni","Gaceta Sanitaria; 22(3); 267-274","Gaceta Sanitaria","Espanhol","2008","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0213-91112008000300013&lang=pt" 
"S0213-91112008000300010-spa","Systematic review of the prevalence of gastric intestinal metaplasia and its area-level association with smoking","Peleteiro, Bárbara, Bastos, Joana, Barros, Henrique, Lunet, Nuno","Gaceta Sanitaria; 22(3); 236-246","Gaceta Sanitaria","Inglês","2008","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0213-91112008000300010&lang=pt" 
"S0213-91112008000300007-spa","Impacto de un sistema de compra capitativo en la coordinación asistencial","Vargas Lorenzo, Ingrid, Vázquez Navarrete, M. Luisa, Terraza Núñez, Rebeca, Agustí, Enric, Brosa, Francesc, Casas, Carme","Gaceta Sanitaria; 22(3); 218-226","Gaceta Sanitaria","Espanhol","2008","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0213-91112008000300007&lang=pt" 
"S0213-91112008000300006-spa","Satisfacción de los usuarios de 4 hospitales del Servicio Vasco de Salud","González, Nerea, Quintana, José M., Bilbao, Amaia, Esteban, Cristóbal, San Sebastián, José Antonio, de la Sierra, Emilio, Aizpuru, Felipe, Escobar, Antonio","Gaceta Sanitaria; 22(3); 210-217","Gaceta Sanitaria","Espanhol","2008","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0213-91112008000300006&lang=pt" 
