"S0100-06832014000400029-scl","Humic Haplustox under different land uses in a high altitude environment in the Agreste region of Pernambuco, Brazil","Araujo, Jane Kelly Silva, Ribeiro, Mateus Rosas, Corrêa, Marcelo Metri, Galindo, Izabel Cristina de Luna, Souza Júnior, Valdomiro Severino de","Revista Brasileira de Ciência do Solo; 38(4); 1337-1349","Revista Brasileira de Ciência do Solo","Inglês","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-06832014000400029&lang=pt" 
"S1853-001X2014000100008-arg","Domínguez Mon, Ana; Mendes Diz; Ana; Schwarz, Patricia; Camejo, Magdalena (Comps.). Usos del tiempo, temporalidades y géneros en contextos, Buenos Aires, Antropofagia, 2012, 206 pp","Passerino, Leila M","Mora (Buenos Aires); 20(1); -","Mora (Buenos Aires)","Espanhol","2014","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1853-001X2014000100008&lang=pt" 
"S1853-001X2014000100009-arg","Darré, Silvana. Maternidad y tecnologías de género, Buenos Aires, Katz Editores, Serie Discusiones, 2013, 226 pp","Russo, Marlene","Mora (Buenos Aires); 20(1); -","Mora (Buenos Aires)","Espanhol","2014","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1853-001X2014000100009&lang=pt" 
"S1853-001X2014000100012-arg","Arfuch, Leonor. Memoria y autobiografía. Exploraciones en los límites, Buenos Aires, Fondo de Cultura Económica, 2013, 164 pp","Becerra, Marina","Mora (Buenos Aires); 20(1); -","Mora (Buenos Aires)","Espanhol","2014","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1853-001X2014000100012&lang=pt" 
"S1853-001X2014000100011-arg","Molina Jiménez, Iván. La ciencia del momento. Astrología y espiritismo en la Costa Rica de los siglos XIX y XX, San José de Costa Rica, EUNA, 2011, 241 pp","Barrancos, Dora","Mora (Buenos Aires); 20(1); -","Mora (Buenos Aires)","Espanhol","2014","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1853-001X2014000100011&lang=pt" 
"S1853-001X2014000100010-arg","Bertúa, Paula y De Leone, Lucía (Comps.). Escrito en el viento. Lecturas sobre Sara Gallardo, Buenos Aires, Editorial de la Facultad de Filosfía y Letras, Univeridad de Buenos Aires, 2013, 192 pp","Torre, Claudia","Mora (Buenos Aires); 20(1); -","Mora (Buenos Aires)","Espanhol","2014","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1853-001X2014000100010&lang=pt" 
"S1853-001X2014000100001-arg","Presentación","Daich, Deborah, Tarducci, Mónica","Mora (Buenos Aires); 20(1); -","Mora (Buenos Aires)","Espanhol","2014","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1853-001X2014000100001&lang=pt" 
"S2007-09342014000500014-mex","Fecundidad y alimentación de Tamarixia triozae (Hymenoptera: Eulophidae) sobre el psílido de la papa Bactericera cockerelli","Cerón-González, Claudia, Lomeli-Flores, J. Refugio, Rodríguez-Leyva, Esteban, Torres-Ruíz, Alfonso","Revista mexicana de ciencias agrícolas; 5(5); 893-899","Revista mexicana de ciencias agrícolas","Espanhol","2014","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S2007-09342014000500014&lang=pt" 
"S2007-09342014000500015-mex","Respuesta de Physalis peruviana L. A la inoculación con bacterias solubilizadoras de fosfato","Sánchez López, Diana Beatriz, Romero Perdomo, Felipe Andrés, Bonilla Buitrago, Ruth Rebeca","Revista mexicana de ciencias agrícolas; 5(5); 901-906","Revista mexicana de ciencias agrícolas","Espanhol","2014","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S2007-09342014000500015&lang=pt" 
"S2007-09342014000500012-mex","Análisis de 17 híbridos de maíz sembrados en 17 ambientes de los Valles Altos del centro de México","Reynoso Quiroga, Carlos Adolfo, González Huerta, Andrés, Pérez López, Delfina de Jesús, Franco Mora, Omar, Torres Flores, José Luis, Velázquez Cardelas, Gustavo Adrían, Breton Lugo, Carmen, Balbuena Melgarejo, Artemio, Mercado Vilchis, Omar","Revista mexicana de ciencias agrícolas; 5(5); 871-882","Revista mexicana de ciencias agrícolas","Espanhol","2014","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S2007-09342014000500012&lang=pt" 
"S2007-09342014000500013-mex","Rendimiento de híbridos androestériles y fértiles de maíz en dos localidades en Valles Altos de México","Tadeo-Robledo, Margarita, Espinosa-Calderón, Alejandro, Turrent-Fernández, Antonio, Zamudio-González, Benjamín, Sierra-Macías, Mauro, Gómez-Montiel, Noel, Valdivia-Bernal, Roberto, Virgen-Vargas, Juan","Revista mexicana de ciencias agrícolas; 5(5); 883-891","Revista mexicana de ciencias agrícolas","Espanhol","2014","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S2007-09342014000500013&lang=pt" 
