"S1678-91992011000200015-scl","Treatment of venous ulcers with fibrin sealant derived from snake venom","Gatti, MAN, Vieira, LM, Barraviera, B, Barraviera, SRCS","Journal of Venomous Animals and Toxins including Tropical Diseases; 17(2); 226-229","Journal of Venomous Animals and Toxins including Tropical Diseases","Inglês","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1678-91992011000200015&lang=pt" 
"S0036-36342011000900012-spa","Diseño mixto de evaluación de la iniciativa Salud Mesoamérica 2015","Gutiérrez, Juan Pablo, Téllez-Rojo, Marta María, Torres, Pilar, Romero, Martín, Bertozzi, Stefano M","Salud Pública de México; 53(); s386-s395","Salud Pública de México","Espanhol","2011","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0036-36342011000900012&lang=pt" 
"S0036-36342011000900011-spa","Costo-efectividad de prácticas en salud pública: revisión bibliográfica de las intervenciones de la Iniciativa Mesoamericana de Salud","Valencia-Mendoza, Atanacio, Danese-dlSantos, Laura G, Sosa-Rubí, Sandra G, Aracena-Genao, Belkis","Salud Pública de México; 53(); s375-s385","Salud Pública de México","Espanhol","2011","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0036-36342011000900011&lang=pt" 
"S0036-36342011000900010-spa","Sistemas de información en salud en la región mesoamericana","Palacio-Mejía, Lina Sofía, Hernández-Ávila, Juan Eugenio, Villalobos, Aremis, Cortés-Ortiz, María Alejandra, Agudelo-Botero, Marcela, Plaza, Beatriz","Salud Pública de México; 53(); s368-s374","Salud Pública de México","Espanhol","2011","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0036-36342011000900010&lang=pt" 
"S0036-36342011000900004-spa","Prevención de la desnutrición de la madre y el niño: el componente de nutrición de la Iniciativa Salud Mesoamérica 2015","Rivera, Juan A, Martorell, Reynaldo, González, Wendy, Lutter, Chessa, Cossío, Teresa González de, Flores-Ayala, Rafael, Uauy, Ricardo, Delgado, Hernán","Salud Pública de México; 53(); s303-s311","Salud Pública de México","Espanhol","2011","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0036-36342011000900004&lang=pt" 
"S0036-36342011000900003-spa","Avances en los Objetivos de Desarrollo del Milenio 4 y 5 en Mesoamérica","Lozano, Rafael, Gómez-Dantés, Héctor, Castro, María Victoria, Franco-Marina, Francisco, Santos-Preciado, José I","Salud Pública de México; 53(); s395-302","Salud Pública de México","Espanhol","2011","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0036-36342011000900003&lang=pt" 
"S0036-36342011000900002-spa","Iniciativas de salud en Latinoamérica: de la Oficina Sanitaria Panamericana a la Iniciativa Mesoamericana de Salud Pública","Preciado, José Ignacio Santos, Paredes, Carlos Franco","Salud Pública de México; 53(); s289-s294","Salud Pública de México","Espanhol","2011","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0036-36342011000900002&lang=pt" 
"S1678-91992011000200002-scl","Interactions between environment, wild animals and human leptospirosis","Ullmann, LS, Langoni, H","Journal of Venomous Animals and Toxins including Tropical Diseases; 17(2); 119-129","Journal of Venomous Animals and Toxins including Tropical Diseases","Inglês","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1678-91992011000200002&lang=pt" 
"S1678-91992011000200003-scl","Clinical and immunological aspects of envenomations by Bothrops snakes","Luna, KPO, da Silva, MB, Pereira, VRA","Journal of Venomous Animals and Toxins including Tropical Diseases; 17(2); 130-141","Journal of Venomous Animals and Toxins including Tropical Diseases","Inglês","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1678-91992011000200003&lang=pt" 
"S1678-91992011000200010-scl","Mutagenicity induced by the hydroalcoholic extract of the medicinal plant Plathymenia reticulata Benth","Della Torre, A, Albuquerque, LBL, Farrapo, NM, Oshima-Franco, Y, Santos, MG, Tavares, RVS, Rodas, ACD, Dal Belo, CA, Cardoso, CRP, Varanda, EA, Groppo, FC, Lopes, PS","Journal of Venomous Animals and Toxins including Tropical Diseases; 17(2); 190-198","Journal of Venomous Animals and Toxins including Tropical Diseases","Inglês","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1678-91992011000200010&lang=pt" 
"S1678-91992011000200011-scl","Renal- and calcium-dependent vascular effects of Polybia paulista wasp venom","Vinhote, JFC, Torres, AFC, Dantas, RT, Praciano, TP, Menezes, RRPPB, Sousa, DF, Brito, TS, Lima, FJB, Toyama, MH, Magalhães, PJ, Monteiro, HSA, Martins-Nunes, AMC","Journal of Venomous Animals and Toxins including Tropical Diseases; 17(2); 199-208","Journal of Venomous Animals and Toxins including Tropical Diseases","Inglês","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1678-91992011000200011&lang=pt" 
"S1678-91992011000200012-scl","Diagnosis of Giardia infections by PCR-based methods in children of an endemic area","David, EB, Coradi, ST, Oliveira-Sequeira, TCG, Ribolla, PEM, Katagiri, S, Guimarães, S","Journal of Venomous Animals and Toxins including Tropical Diseases; 17(2); 209-215","Journal of Venomous Animals and Toxins including Tropical Diseases","Inglês","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1678-91992011000200012&lang=pt" 
"S0036-36342011000700010-mex","Nuevos avances en el manejo de la hepatitis C","Cisneros-Garza, Laura E.","Salud Pública de México; 53(); S52-S60","Salud Pública de México","Espanhol","2011","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0036-36342011000700010&lang=pt" 
"S0036-36342011000700008-mex","Epidemiología de las hepatitis virales en México","Panduro, Arturo, Melendez, Griselda Escobedo, Fierro, Nora A, Madrigal, Bertha Ruiz, Zepeda-Carrillo, Eloy Alfonso, Román, Sonia","Salud Pública de México; 53(); S37-S45","Salud Pública de México","Espanhol","2011","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0036-36342011000700008&lang=pt" 
"S0036-36342011000800008-mex","Sistema de salud de Brasil","Montekio, Víctor Becerril, Medina, Guadalupe, Aquino, Rosana","Salud Pública de México; 53(); s120-s131","Salud Pública de México","Espanhol","2011","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0036-36342011000800008&lang=pt" 
"S0864-34662011000500004-cub","El mosquito hipotéticamente considerado como agente de transmisión de la fiebre amarilla","Finlay, Carlos J","Revista Cubana de Salud Pública; 37(); 555-562","Revista Cubana de Salud Pública","Espanhol","2011","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0864-34662011000500004&lang=pt" 
"S0036-36342011000700001-mex","Día mundial de las hepatitis virales","Barraza, Enrique Wolpert","Salud Pública de México; 53(); S1-S3","Salud Pública de México","Espanhol","2011","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0036-36342011000700001&lang=pt" 
"S0036-36342011000700002-mex","","González, Carlos Conde, Torres-Poveda, Kirvis, Madrid-Marina, Vicente","Salud Pública de México; 53(); S4-S6","Salud Pública de México","Espanhol","2011","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0036-36342011000700002&lang=pt" 
"S0036-36342011000700003-mex","Hepatitis C seroprevalence and correlation between viral load and viral genotype among primary care clients in Mexico","Burguete-Garcia, Ana I, Conde-Gonzalez, Carlos J, Jimenez-Mendez, Ricardo, Juarez-Diaz, Yanet, Meda-Monzon, Elizabeth, Torres-Poveda, Kirvis, Madrid-Marina, Vicente","Salud Pública de México; 53(); S7-S12","Salud Pública de México","Inglês","2011","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0036-36342011000700003&lang=pt" 
"S0036-36342011000700007-mex","Marcadores serológicos de hepatitis B y C, y VIH en La Calera y Cuambio, Guerrero, México","Juárez-Figueroa, Luis A, Uribe-Salas, Felipe Javier, Conde-González, Carlos Jesús, Sánchez-Alemán, Miguel Ángel","Salud Pública de México; 53(); S32-S36","Salud Pública de México","Espanhol","2011","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0036-36342011000700007&lang=pt" 
"S0036-36342011000700011-mex","La hepatitis C como un problema de salud pública en México","","Salud Pública de México; 53(); S61-S67","Salud Pública de México","Espanhol","2011","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0036-36342011000700011&lang=pt" 
"S0036-36342011000800001-mex","","Frenk, Julio","Salud Pública de México; 53(); s69-s69","Salud Pública de México","Espanhol","2011","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0036-36342011000800001&lang=pt" 
