"S1413-81232016000300935-spa","Fatores associados ao crescimento linear de crianças socialmente vulneráveis do Estado da Paraíba, Brasil","Pedraza, Dixis Figueroa, Sales, Márcia Cristina, Menezes, Tarciana Nobre de","Ciência &amp; Saúde Coletiva; 21(3); 935-946","Ciência &amp; Saúde Coletiva","Português","2016","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1413-81232016000300935&lang=pt" 
"S1413-81232016000300731-scl","Using satellite data to study the relationship between rainfall and diarrheal diseases in a Southwestern Amazon basin","Fonseca, Paula Andrea Morelli, Hacon, Sandra de Souza, Reis, Vera Lúcia, Costa, Duarte, Brown, Irving Foster","Ciência &amp; Saúde Coletiva; 21(3); 731-742","Ciência &amp; Saúde Coletiva","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-81232016000300731&lang=pt" 
"S1413-81232016000300913-spa","Educação Permanente em Saúde no Brasil: educação ou gerenciamento permanente?","Lemos, Cristiane Lopes Simão","Ciência &amp; Saúde Coletiva; 21(3); 913-922","Ciência &amp; Saúde Coletiva","Português","2016","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1413-81232016000300913&lang=pt" 
"S1413-81232016000300671-spa","Medindo o invisível: análise dos Objetivos de Desenvolvimento Sustentável em populações expostas à seca","Sena, Aderita, Freitas, Carlos Machado de, Barcellos, Christovam, Ramalho, Walter, Corvalan, Carlos","Ciência &amp; Saúde Coletiva; 21(3); 671-684","Ciência &amp; Saúde Coletiva","Inglês, Português","2016","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1413-81232016000300671&lang=pt" 
"S1413-81232016000300853-scl","Sexual violence, mood disorders and suicide risk: a population-based study","Mondin, Thaíse Campos, Cardoso, Taiane de Azevedo, Jansen, Karen, Konradt, Caroline Elizabeth, Zaltron, Rosana Ferrazza, Behenck, Monalisa de Oliveira, Mattos, Luciano Dias de, Silva, Ricardo Azevedo da","Ciência &amp; Saúde Coletiva; 21(3); 853-860","Ciência &amp; Saúde Coletiva","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-81232016000300853&lang=pt" 
"S1413-81232016000300821-scl","Importância histórica dos manuais de sociologia da saúde e de suas narrativas","Nunes, Everardo Duarte","Ciência &amp; Saúde Coletiva; 21(3); 821-832","Ciência &amp; Saúde Coletiva","Inglês, Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-81232016000300821&lang=pt" 
"S1413-81232016000300685-scl","Danos materiais causados à Saúde Pública e à sociedade decorrentes de inundações e enxurradas no Brasil, 2010-2014: dados originados dos sistemas de informação global e nacional","Minervino, Aline Costa, Duarte, Elisabeth Carmen","Ciência &amp; Saúde Coletiva; 21(3); 685-694","Ciência &amp; Saúde Coletiva","Inglês, Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-81232016000300685&lang=pt" 
"S0717-95022016000100025-chl","Gill Morphology in the Red Swamp Freshwater Crayfish Procambarus clarkii (Crustacea: Decapoda: Cambarids) (Girard 1852) from the River Nile and its Branches in Egypt","Abumandour, Mohamed M","International Journal of Morphology; 34(1); 168-178","International Journal of Morphology","Inglês","2016","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-95022016000100025&lang=pt" 
"S1413-81232016000300967-scl","A presença de fluorose dentária estaria associada ao traumatismo dentário entre escolares?","Oliveira, Lorenna Fonseca Braga de, Souza, João Gabriel Silva, Mendes, Rafael Inácio Pompeu, Oliveira, Rodrigo Caldeira Nunes, Oliveira, Carolina de Castro, Lima, Carolina Veloso, Martins, Andréa Maria Eleutério de Barros Lima","Ciência &amp; Saúde Coletiva; 21(3); 967-976","Ciência &amp; Saúde Coletiva","Inglês, Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-81232016000300967&lang=pt" 
"S1413-81232016000300833-scl","El surgimiento de las profesiones médicas [re]habilitadoras y la infancia: historia entretejida de tensiones teóricas","Pava-Ripoll, Nora Aneth, Granada-Echeverry, Patricia","Ciência &amp; Saúde Coletiva; 21(3); 833-842","Ciência &amp; Saúde Coletiva","Inglês, Espanhol","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-81232016000300833&lang=pt" 
"S1413-81232016000300903-spa","Oferta e demanda na atenção domiciliar em saúde","Braga, Patrícia Pinto, Sena, Roseni Rosângela de, Seixas, Clarissa Terenzi, Castro, Edna Aparecida Barbosa de, Andrade, Angélica Mônica, Silva, Yara Cardoso","Ciência &amp; Saúde Coletiva; 21(3); 903-912","Ciência &amp; Saúde Coletiva","Português","2016","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1413-81232016000300903&lang=pt" 
"S1413-81232016000300891-scl","Incorporação da tecnologia da informação na Atenção Básica do SUS no Nordeste do Brasil: expectativas e experiências","Gava, Marília, Ferreira, Lisiane Seguti, Palhares, Dario, Mota, Eduardo Luiz Andrade","Ciência &amp; Saúde Coletiva; 21(3); 891-902","Ciência &amp; Saúde Coletiva","Inglês, Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-81232016000300891&lang=pt" 
