"S0066-782X2004000100004-scl","Efetividade do metoprolol na prevenção de fibrilação e flutter atrial no pós-operatório de cirurgia de revascularização miocárdica","Lúcio, Eraldo de Azevedo, Flores, Adriana, Blacher, Celso, Leães, Paulo E., Lucchese, Fernando A., Ribeiro, Jorge Pinto","Arquivos Brasileiros de Cardiologia; 82(1); 37-41","Arquivos Brasileiros de Cardiologia","Inglês, Português","2004","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0066-782X2004000100004&lang=pt" 
"S0042-96862004000100004-spa","Search for poliovirus carriers among people with primary immune deficiency diseases in the United States, Mexico, Brazil, and the United Kingdom","Halsey, Neal A., Pinto, Jorge, Espinosa-Rosales, Francisco, Faure-Fontenla, María A., Silva, Edson da, Khan, Aamir J., Webster, A.D.B., Minor, Philip, Dunn, Glynis, Asturias, Edwin, Hussain, Hamidah, Pallansch, Mark A., Kew, Olen M., Winkelstein, Jerry, Sutter, Roland","Bulletin of the World Health Organization; 82(1); 3-8","Bulletin of the World Health Organization","Inglês","2004","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0042-96862004000100004&lang=pt" 
"S0042-96862004000100006-spa","Circulating vaccine-derived polioviruses: current state of knowledge","Kew, Olen M., Wright, Peter F., Agol, Vadim I., Delpeyroux, Francis, Shimizu, Hiroyuki, Nathanson, Neal, Pallansch, Mark A.","Bulletin of the World Health Organization; 82(1); 16-23","Bulletin of the World Health Organization","Inglês","2004","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0042-96862004000100006&lang=pt" 
"S0042-96862004000100014-spa","Round Table Discussion","","Bulletin of the World Health Organization; 82(1); 63-66","Bulletin of the World Health Organization","Inglês","2004","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0042-96862004000100014&lang=pt" 
"S0042-96862004000100013-spa","Will containment of wild poliovirus in laboratories and inactivated poliovirus vaccine production sites be effective for global certification?","Dowdle, Walter R., Wolff, Christopher, Sanders, Raymond, Lambert, Scott, Best, Maureen","Bulletin of the World Health Organization; 82(1); 59-62","Bulletin of the World Health Organization","Inglês","2004","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0042-96862004000100013&lang=pt" 
"S0042-96862004000100027-spa","SARS case confirmed in southern China","","Bulletin of the World Health Organization; 82(1); 79-79","Bulletin of the World Health Organization","Inglês","2004","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0042-96862004000100027&lang=pt" 
"S0042-96862004000100028-spa","Half a million tuberculosis patients to get free medicines","","Bulletin of the World Health Organization; 82(1); 79-79","Bulletin of the World Health Organization","Inglês","2004","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0042-96862004000100028&lang=pt" 
"S0042-96862004000100029-spa","Corrigendum","","Bulletin of the World Health Organization; 82(1); -","Bulletin of the World Health Organization","Inglês","2004","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0042-96862004000100029&lang=pt" 
"S0066-782X2004000100008-scl","Efeitos da associação propafenona - propofol na contratilidade miocárdica, freqüência cardíaca, fluxo coronariano e incidência de arritmia em corações isolados de ratos","Assis, Nilcéa Leal de Moraes, Gomes, Otoni Moreira, Garcia, Silvério Leonardo Macedo, Valle, Guilherme Gustavo do","Arquivos Brasileiros de Cardiologia; 82(1); 82-87","Arquivos Brasileiros de Cardiologia","Inglês, Português","2004","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0066-782X2004000100008&lang=pt" 
"S0066-782X2004000100003-scl","Estudo pré-natal da hiper-refringência endocárdica fetal e sua relação com toxoplasmose materna","Nicoloso, Luiz Henrique Soares, Henke, Tiene Zingano, Zielinsky, Paulo","Arquivos Brasileiros de Cardiologia; 82(1); 27-31","Arquivos Brasileiros de Cardiologia","Inglês, Português","2004","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0066-782X2004000100003&lang=pt" 
"S1022-51292004000100001-per","La Revista de Gastroenterología del Perú en el 2004","Zolezzi Francis, Alberto","Revista de Gastroenterología del Perú; 24(1); 11-12","Revista de Gastroenterología del Perú","Espanhol","2004","http://www.scielo.org.pe/scielo.php?script=sci_arttext&pid=S1022-51292004000100001&lang=pt" 
"S1022-51292004000100002-per","Prevalencia serológica de anticuerpos al virus de la Hepatitis C en personal de salud en el Perú","Colichon Yerosh, Alejandro, Figueroa B, Rolando, Moreno, Armando, Zumaeta, Eduardo, Ferrandíz, Jorge, Busalleu, Alejandro, Prado, William, Candella, Ricardo, Colichón, Alejandro, Rodriguez, Wilson, Espinoza, Julio, Kianman, Wilfredo, Amaya, Nelly, García Pérez, Segundo A, Tello Rodriguez, José, Valdez H, Jesús, Páucar Sotomayor, Héctor, Sanchez, César","Revista de Gastroenterología del Perú; 24(1); 13-20","Revista de Gastroenterología del Perú","Espanhol","2004","http://www.scielo.org.pe/scielo.php?script=sci_arttext&pid=S1022-51292004000100002&lang=pt" 
"S1022-51292004000100003-per","Significancia pronóstica del estadío clínico TNM en la sobrevida quinquenal en carcinoma primario de vesícula biliar","Arbayza-Ávalos, Yessenia Katherin, Díaz-Plasencia, Juan Alberto, Segura-Plasencia, Niler Manuel, Yan-Quiroz, Edgar Fermín","Revista de Gastroenterología del Perú; 24(1); 21-27","Revista de Gastroenterología del Perú","Espanhol","2004","http://www.scielo.org.pe/scielo.php?script=sci_arttext&pid=S1022-51292004000100003&lang=pt" 
