"S0103-166X2015000300343-scl","A relação entre potencial de aprendizagem e desempenho acadêmico: predição pelo Teste Dinâmico Informatizado de Raciocínio Indutivo para Crianças","MUNIZ, Monalisa, SEABRA, Alessandra Gotuzo, PRIMI, Ricardo","Estudos de Psicologia (Campinas); 32(3); 343-356","Estudos de Psicologia (Campinas)","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-166X2015000300343&lang=pt" 
"S0103-166X2015000300357-scl","Estudos psicométricos preliminares da Escala Baptista de Depressão para Adultos","SOUZA, Mayra Silva de, BAPTISTA, Makilim Nunes, ALVES, Gisele Aparecida da Silva","Estudos de Psicologia (Campinas); 32(3); 357-370","Estudos de Psicologia (Campinas)","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-166X2015000300357&lang=pt" 
"S0103-166X2015000300371-scl","Índice de Comportamentos de Risco: construção e análise das propriedades psicométricas","ALVES, Cássia Ferrazza, ZAPPE, Jana Gonçalves, DELL&#039;AGLIO, Débora Dalbosco","Estudos de Psicologia (Campinas); 32(3); 371-382","Estudos de Psicologia (Campinas)","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-166X2015000300371&lang=pt" 
"S0103-166X2015000300405-scl","Psicólogos escolares em Portugal: perfil e necessidades de formação","MENDES, Sofia Abreu, ABREU-LIMA, Isabel, ALMEIDA, Leandro Silva","Estudos de Psicologia (Campinas); 32(3); 405-416","Estudos de Psicologia (Campinas)","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-166X2015000300405&lang=pt" 
"S0103-166X2015000300449-scl","Uma revisão crítica de três perspectivas sobre o desenvolvimento da escrita","POLLO, Tatiana Cury, TREIMAN, Rebecca, KESSLER, Brett","Estudos de Psicologia (Campinas); 32(3); 449-459","Estudos de Psicologia (Campinas)","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-166X2015000300449&lang=pt" 
"S0103-166X2015000300487-scl","O luto pelo filho adulto sob a ótica das mães","FRANQUEIRA, Ana Maria Rodrigues, MAGALHÃES, Andrea Seixas, FÉRES-CARNEIRO, Terezinha","Estudos de Psicologia (Campinas); 32(3); 487-497","Estudos de Psicologia (Campinas)","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-166X2015000300487&lang=pt" 
"S0103-166X2015000300499-scl","Caracterização da supervisão em um centro formador de Psicologia da Saúde","FERNANDES, Luan Flávia Barufi, MIYAZAKI, Maria Cristina de Oliveira Santos, SILVARES, Edwiges Ferreira de Mattos","Estudos de Psicologia (Campinas); 32(3); 499-509","Estudos de Psicologia (Campinas)","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-166X2015000300499&lang=pt" 
"S0103-166X2015000300533-scl","Why theory matters: Analytical strategies of Critical Psychology","SCHRAUBE, Ernst","Estudos de Psicologia (Campinas); 32(3); 533-545","Estudos de Psicologia (Campinas)","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-166X2015000300533&lang=pt" 
"S0103-166X2015000300557-scl","El Ejército Zapatista de Liberación Nacional y su crítica de las psicologías conformista, despótica y desmemoriada","PAVÓN-CUÉLLAR, David, ARROYO-ORTEGA, Jocelyn","Estudos de Psicologia (Campinas); 32(3); 557-568","Estudos de Psicologia (Campinas)","Espanhol","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-166X2015000300557&lang=pt" 
"S0004-282X2015000900736-scl","Natalizumab treatment in multiple sclerosis: the experience from two Brazilian MS centers","Oliveira, Enedina Maria Lobato de, Simm, Renata Faria, Dasic, Gorana, Morais, Marília Mamprim de, Perreira, Samira Luiza dos Apostolos, Callegaro, Dagoberto","Arquivos de Neuro-Psiquiatria; 73(9); 736-740","Arquivos de Neuro-Psiquiatria","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-282X2015000900736&lang=pt" 
