ID,Title,Author(s),Source,Journal,Language(s),Publication year,Fulltext URL 
"S2176-45732017000100180-scl","MACHADO, Ida Lúcia. Parodie et analyse du discours. Paris: L&#039;Harmattan, 2013. 134 p.","Pessoa, Sônia Caldas","Bakhtiniana: Revista de Estudos do Discurso; 12(1); 180-183","Bakhtiniana: Revista de Estudos do Discurso","Inglês, Português","2017","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S2176-45732017000100180&lang=pt" 
"S1519-70772017000100005-scl","Presentation","Frezatti, Fábio","Revista Contabilidade &amp; Finanças; 28(73); 5-6","Revista Contabilidade &amp; Finanças","Inglês, Português","2017","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1519-70772017000100005&lang=pt" 
"S1519-70772017000100148-scl","2016 EDITORIAL INFORMATION","","Revista Contabilidade &amp; Finanças; 28(73); 148-165","Revista Contabilidade &amp; Finanças","Inglês, Português","2017","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1519-70772017000100148&lang=pt" 
"S1519-70772017000100007-scl","Accounting research: between natural science and practice","Hartmann, Frank G. H.","Revista Contabilidade &amp; Finanças; 28(73); 7-10","Revista Contabilidade &amp; Finanças","Inglês, Português","2017","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1519-70772017000100007&lang=pt" 
"S1519-70772017000100093-scl","Geographically Weighted Logistic Regression Applied to Credit Scoring Models","Albuquerque, Pedro Henrique Melo, Medina, Fabio Augusto Scalet, Silva, Alan Ricardo da","Revista Contabilidade &amp; Finanças; 28(73); 93-112","Revista Contabilidade &amp; Finanças","Inglês, Português","2017","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1519-70772017000100093&lang=pt" 
"S1519-70772017000100061-scl","Exposition to Factors of the Investment Funds Market in Brazil","Maestri, Cláudia Olímpia Neves Mamede, Malaquias, Rodrigo Fernandes","Revista Contabilidade &amp; Finanças; 28(73); 61-76","Revista Contabilidade &amp; Finanças","Inglês, Português","2017","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1519-70772017000100061&lang=pt" 
"S1519-70772017000100043-scl","Why has not it worked? An empirical application of the extended Burns and Scapens&#039; framework within the implementation of a controlling department","Espejo, Márcia Maria dos Santos Bortolocci, Eggert, Neusa Sawczuk von","Revista Contabilidade &amp; Finanças; 28(73); 43-60","Revista Contabilidade &amp; Finanças","Inglês, Português","2017","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1519-70772017000100043&lang=pt" 
"S1519-70772017000100077-scl","Value Relevance vis-à-vis Disclosure on Business Combinations and Goodwill Recognized by Publicly Traded Brazilian Companies","Souza, Maíra Melo de, Borba, José Alonso","Revista Contabilidade &amp; Finanças; 28(73); 77-92","Revista Contabilidade &amp; Finanças","Inglês, Português","2017","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1519-70772017000100077&lang=pt" 
"S2237-26602017000100004-scl","Le Corps Performatif: les enjeux des scènes contemporaines","Roques, Sylvie","Revista Brasileira de Estudos da Presença; 7(1); 4-18","Revista Brasileira de Estudos da Presença","Francês","2017","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S2237-26602017000100004&lang=pt" 
"S2237-26602017000100154-scl","A Dramaturgia do Corpo no Teatro Indiano como Visível Poesia","Gomes, Ricardo Carlos, Duarte, Priscilla de Queiroz","Revista Brasileira de Estudos da Presença; 7(1); 154-183","Revista Brasileira de Estudos da Presença","Português","2017","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S2237-26602017000100154&lang=pt" 
"S2237-26602017000100099-scl","Presença que não se Faz Só: potências de afeto no ato de com-por entre corpos","Duenha, Milene Lopes, Nunes, Sandra Meyer","Revista Brasileira de Estudos da Presença; 7(1); 99-122","Revista Brasileira de Estudos da Presença","Português","2017","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S2237-26602017000100099&lang=pt" 
"S1519-70772017000100113-scl","Heterogeneity in earnings quality between different classes of companies after IFRS adoption: evidence from Brazil","Black, Roberto, Nakao, Sílvio Hiroshi","Revista Contabilidade &amp; Finanças; 28(73); 113-131","Revista Contabilidade &amp; Finanças","Inglês, Português","2017","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1519-70772017000100113&lang=pt" 
"S1519-70772017000100027-scl","Social quotas, affirmative actions, and dropout in the Business field: empirical analysis in a Brazilian federal university","Campos, Larissa Couto, Machado, Thalyson Renan Bitencourt, Miranda, Gilberto José, Costa, Patrícia de Souza","Revista Contabilidade &amp; Finanças; 28(73); 27-42","Revista Contabilidade &amp; Finanças","Inglês, Português","2017","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1519-70772017000100027&lang=pt" 
"S1519-70772017000100011-scl","Using the Newcomb-Benford Law as a Deviation Identification Method in Continuous Auditing Environments: A Proposal for Detecting Deviations over Time","Silva, Wilton Bernardino da, Travassos, Silvana Karina de Melo, Costa, Jose Isidio de Freitas","Revista Contabilidade &amp; Finanças; 28(73); 11-26","Revista Contabilidade &amp; Finanças","Inglês, Português","2017","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1519-70772017000100011&lang=pt" 
"S1519-70772017000100132-scl","Cognitive brain mapping of auditors and accountants in going concern judgments","Carvalho Júnior, César Valentim de Oliveira, Cornacchione, Edgard, Rocha, Armando Freitas da, Rocha, Fábio Theoto","Revista Contabilidade &amp; Finanças; 28(73); 132-147","Revista Contabilidade &amp; Finanças","Inglês, Português","2017","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1519-70772017000100132&lang=pt" 
"S0104-71832017000100434-scl","STAGNARO, Adriana A. Ciencia a pulmón: etnografías de laboratorios argentinos de biotecnología. Buenos Aires: Fundación CICCUS: CLACSO, 2015. 320 p.","Jardim, Paula Simone Bolzan","Horizontes Antropológicos; 23(47); 434-437","Horizontes Antropológicos","Português","2017","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-71832017000100434&lang=pt" 
"S0104-87752017000100291-scl","Erratum","","Varia Historia; 33(61); 291-292","Varia Historia","Português","2017","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-87752017000100291&lang=pt" 
"S0104-87752017000100189-scl","A publicação de &quot;A cabana do Pai Tomás&quot; no Brasil escravista. O &quot;momento europeu&quot; da edição Rey e Belhatte (1853)","Ferretti, Danilo José Zioni","Varia Historia; 33(61); 189-223","Varia Historia","Português","2017","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-87752017000100189&lang=pt" 
"S0104-87752017000100163-scl","Challenging Racism in Brazil. Legal Suits in the Context of the 1951 Anti-Discrimination Law","Dávila, Jerry","Varia Historia; 33(61); 163-185","Varia Historia","Inglês","2017","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-87752017000100163&lang=pt" 
"S0104-87752017000100225-scl","As imagens retirantes. A constituição da figurabilidade da seca pela literatura do final do século XIX e do início do século XX","Albuquerque Júnior, Durval Muniz de","Varia Historia; 33(61); 225-251","Varia Historia","Português","2017","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-87752017000100225&lang=pt" 
"S0104-87752017000100079-scl","Dois geneticistas e a miscigenação. Octavio Domingues e Salvador de Toledo Piza no movimento eugenista brasileiro (1929-1933)","Wegner, Robert","Varia Historia; 33(61); 79-107","Varia Historia","Português","2017","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-87752017000100079&lang=pt" 
"S0104-87752017000100135-scl","A Crítica de Otto Klineberg aos testes de inteligência. O Brasil como laboratório racial","Maio, Marcos Chor","Varia Historia; 33(61); 135-161","Varia Historia","Português","2017","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-87752017000100135&lang=pt" 
"S0104-87752017000100015-scl","Apresentação. Ciência, raça e eugenia na segunda metade do século XX: novos objetos e nova temporalidade em um panorama internacional","Gomes, Ana Carolina Vimieiro, Wegner, Robert, Souza, Vanderlei de","Varia Historia; 33(61); 15-19","Varia Historia","Português","2017","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-87752017000100015&lang=pt" 
"S0104-87752017000100009-scl","&quot;A escolha de Sofia&quot;: impasses enfrentados pelos periódicos impressos","Duarte, Regina Horta","Varia Historia; 33(61); 9-12","Varia Historia","Português","2017","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-87752017000100009&lang=pt" 
"S0104-87752017000100287-scl","Resenha","Romeiro, Adriana","Varia Historia; 33(61); 287-290","Varia Historia","Português","2017","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-87752017000100287&lang=pt" 
"S0104-87752017000100021-scl","Norm Change in Genetic Services. How the Discourse of Choice Replaced the Discourse of Prevention","Paul, Diane B.","Varia Historia; 33(61); 21-47","Varia Historia","Inglês","2017","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-87752017000100021&lang=pt" 
"S0104-87752017000100253-scl","Penachos de ideias. A Guerra de Sucessão da Espanha e a formação de Pedro Miguel de Almeida Portugal, 3o conde de Assumar","Marcos, David Martín, Monteiro, Rodrigo Bentes","Varia Historia; 33(61); 253-284","Varia Historia","Português","2017","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-87752017000100253&lang=pt" 
"S0104-87752017000100049-scl","Enseñando a custodiar el &quot;buen nacer&quot;. Los estudios universitarios de Eugenesia en Argentina (1942-1980)","Vallejo, Gustavo, Miranda, Marisa","Varia Historia; 33(61); 49-78","Varia Historia","Espanhol","2017","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-87752017000100049&lang=pt" 
"S0104-87752017000100109-scl","The Body as a Substrate of Differentiation. Shifting the Focus from Race Science to Life Scientists&#039; Research on Human Variation","Lipphardt, Veronika","Varia Historia; 33(61); 109-133","Varia Historia","Inglês","2017","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-87752017000100109&lang=pt" 
"S2237-26602017000100123-scl","L&#039;Enseignement de la Danse: une voie complémentaire pour la formation contemporaine de l&#039;acteur","Desmeules, Marie-Eve Skelling","Revista Brasileira de Estudos da Presença; 7(1); 123-153","Revista Brasileira de Estudos da Presença","Francês","2017","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S2237-26602017000100123&lang=pt" 
"S2237-26602017000100205-scl","Atenciografia do Corpo: interseções entre Lisa Nelson e Gilbert Simondon a partir de um fragmento de relato","Gaspar Neto, Francisco de Assis","Revista Brasileira de Estudos da Presença; 7(1); 205-221","Revista Brasileira de Estudos da Presença","Português","2017","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S2237-26602017000100205&lang=pt" 
"S2237-26602017000100019-scl","Dança, Música e Dramaturgia: plano de colaboração e dispositivo dramatúrgico","Lucas, João Paulo, Lignelli, César","Revista Brasileira de Estudos da Presença; 7(1); 19-44","Revista Brasileira de Estudos da Presença","Português","2017","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S2237-26602017000100019&lang=pt" 
"S2237-26602017000100184-scl","Performando a Teatralidade no Jogo de Enquadramentos: repensando a tessitura do dramático","Arruda, Rejane","Revista Brasileira de Estudos da Presença; 7(1); 184-204","Revista Brasileira de Estudos da Presença","Português","2017","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S2237-26602017000100184&lang=pt" 
"S2175-33692017000100155-scl","Errata","","urbe. Revista Brasileira de Gestão Urbana; 9(1); 155-155","urbe. Revista Brasileira de Gestão Urbana","Inglês","2017","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S2175-33692017000100155&lang=pt" 
"S2175-33692017000100035-scl","Considerações sobre o bairro e a vizinhança a partir do filme Smoke","Imbronito, Maria Isabel","urbe. Revista Brasileira de Gestão Urbana; 9(1); 35-51","urbe. Revista Brasileira de Gestão Urbana","Português","2017","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S2175-33692017000100035&lang=pt" 
"S2175-33692017000100096-scl","Território, territorialidade e fronteira: o problema dos limites municipais e seus desdobramentos em Belém/PA","Lima da Silva, Marlon, Tourinho, Helena Lúcia Zagury","urbe. Revista Brasileira de Gestão Urbana; 9(1); 96-109","urbe. Revista Brasileira de Gestão Urbana","Português","2017","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S2175-33692017000100096&lang=pt" 
"S2175-33692017000100139-scl","A gestão municipal de resíduos sólidos e as ações de sustentabilidade: um estudo realizado em um município do centro oeste do Paraná","Monteiro, Caroline, Karpinski, Josiani Aparecida, Kuhl, Marcos Roberto, Morozini, João Francisco","urbe. Revista Brasileira de Gestão Urbana; 9(1); 139-154","urbe. Revista Brasileira de Gestão Urbana","Português","2017","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S2175-33692017000100139&lang=pt" 
"S2175-33692017000100068-scl","Motivos da escolha do automóvel no acesso a megaeventos: caso da Copa das Confederações 2013, Rio de Janeiro","Escobar, Nathaly, Flórez, Josefina, Portugal, Licinio da Silva","urbe. Revista Brasileira de Gestão Urbana; 9(1); 68-82","urbe. Revista Brasileira de Gestão Urbana","Português","2017","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S2175-33692017000100068&lang=pt" 
"S2175-33692017000100007-scl","Planejamento da Região Metropolitana de Curitiba como objeto de estudo: análise sobre a produção bibliográfica no período de 1974-2006","Carmo, Julio Cesar Botega do","urbe. Revista Brasileira de Gestão Urbana; 9(1); 7-18","urbe. Revista Brasileira de Gestão Urbana","Português","2017","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S2175-33692017000100007&lang=pt" 
"S2175-33692017000100083-scl","Urbanismo comercial em Phoenix: um estudo de quatro formatos comerciais no Arizona","Balsas, Carlos José Lopes","urbe. Revista Brasileira de Gestão Urbana; 9(1); 83-95","urbe. Revista Brasileira de Gestão Urbana","Português","2017","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S2175-33692017000100083&lang=pt" 
"S0102-85292017000100179-scl","The Transparency Frontier in Brazilian Foreign Policy","Waisbich, Laura Trajber, Cetra, Raísa, Marchezini, Joara","Contexto Internacional; 39(1); 179-200","Contexto Internacional","Inglês","2017","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-85292017000100179&lang=pt" 
"S0102-85292017000100009-scl","Neo-Agro-Colonialism, Control over Life, and Imposed Spatio-Temporalities","Pfrimer, Matheus Hoffmann, Barbosa Júnior, Ricardo César","Contexto Internacional; 39(1); 9-33","Contexto Internacional","Inglês","2017","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-85292017000100009&lang=pt" 
"S0102-85292017000100097-scl","The Place of the Region in IR","Oliveira, Jessica da Silva C de","Contexto Internacional; 39(1); 97-115","Contexto Internacional","Inglês","2017","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-85292017000100097&lang=pt" 
"S0102-85292017000100075-scl","Narratives of Change and Theorisations on Continuity: the Duality of the Concept of Emerging Power in International Relations","Paes, Lucas de Oliveira, Cunha, André Moreira, Fonseca, Pedro Cezar Dutra","Contexto Internacional; 39(1); 75-95","Contexto Internacional","Inglês","2017","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-85292017000100075&lang=pt" 
