"S1413-81232016000702317-scl","Saúde penitenciária no Brasil: plano e política","Larouzé, Bernard","Ciência &amp; Saúde Coletiva; 21(7); 2317-2317","Ciência &amp; Saúde Coletiva","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-81232016000702317&lang=pt" 
"S0718-22012016000100023-chl","Carlos SANDOVAL, Servicio crítico.Despachos tentativos sobre literatura venezolana","Osorio Amoretti, Omar","Alpha (Osorno); (42); 322-324","Alpha (Osorno)","Espanhol","2016","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-22012016000100023&lang=pt" 
"S0718-22012016000100001-chl","PRESENTACIÓN","","Alpha (Osorno); (42); 5-6","Alpha (Osorno)","Espanhol","2016","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-22012016000100001&lang=pt" 
"S0718-22012016000100020-chl","HACIA LA ENSEÑANZA DE LOS ESTUDIOS ARTÍSTICOS EN CHILE: MANUEL DE SALAS Y LA ACADEMIA DE SAN LUIS","Cinelli, Noemí","Alpha (Osorno); (42); 297-310","Alpha (Osorno)","Espanhol","2016","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-22012016000100020&lang=pt" 
"S0718-22012016000100015-chl","MARTIN HEIDEGGER Y LOS CUADERNOS NEGROS: MÁS QUE LA MERA REACTIVACIÓN DE UN VIEJO DEBATE","Aurenque Stephan, Diana","Alpha (Osorno); (42); 235-251","Alpha (Osorno)","Espanhol","2016","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-22012016000100015&lang=pt" 
"S0718-22012016000100022-chl","Jorge FERNÁNDEZ DÍAZ. El puñal","Guzzo, Cristina","Alpha (Osorno); (42); 321-322","Alpha (Osorno)","Espanhol","2016","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-22012016000100022&lang=pt" 
"S0718-22012016000100016-chl","MÁS ALLÁ DEL ESPACIO: HENRI LEFEBVRE Y LAS GEOGRAFÍAS INVISIBLES","Aliste, Enrique","Alpha (Osorno); (42); 253-258","Alpha (Osorno)","Espanhol","2016","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-22012016000100016&lang=pt" 
"S0718-22012016000100013-chl","CONVERGENCIAS FENOMENOLÓGICAS Y ARTICULACIONES CONCEPTUALES ENTRE LA ACEDIA EVAGRIANA Y LA CAÍDA HEIDEGGERIANA","Vázquez, Santiago Hernán","Alpha (Osorno); (42); 197-214","Alpha (Osorno)","Espanhol","2016","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-22012016000100013&lang=pt" 
"S0718-50492016000300013-chl","De lo social a lo étnico: Conversación con Julio Pinto Vallejos acerca de la historia y pensamiento mapuche reciente en Chile","Canales Tapia, Pedro, Macaya Bermejo, Patricio","Izquierdas; (28); 315-325","Izquierdas","Espanhol","2016","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-50492016000300013&lang=pt" 
"S0718-50492016000300005-chl","El Partido Comunista en el movimiento obrero argentino durante la &quot;Revolución Libertadora&quot;: del golpe de estado a la alianza entre el sindicalismo comunista y peronista (1955-1958)","Murmis, Ezequiel Patricio","Izquierdas; (28); 114-136","Izquierdas","Espanhol","2016","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-50492016000300005&lang=pt" 
"S0718-50492016000300004-chl","Vania Bambirra y la alternativa insurreccional a inicios de los años 70","Briceño Ramírez, Laura","Izquierdas; (28); 93-113","Izquierdas","Espanhol","2016","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-50492016000300004&lang=pt" 
"S0718-69242016000200005-chl","La gestión del contrato psicológico en una empresa multinacional de alimentos española","Pallarès, Sara, Selva, Clara","Psicoperspectivas; 15(2); 40-52","Psicoperspectivas","Espanhol","2016","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-69242016000200005&lang=pt" 
"S0718-221X2016000300003-chl","Wood planing properties of Australian plantation-grown Eucalypts","Belleville, Benoit, Ashley, Philip, Ozarska, Barbara","Maderas. Ciencia y tecnología; 18(3); 425-434","Maderas. Ciencia y tecnología","Inglês","2016","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-221X2016000300003&lang=pt" 
"S2223-03862016000100005-sza","Inclusive Histories for inclusive futures: Interactions and entanglements then and now","McDonald, Jared","Yesterday and Today; (15); 66-83","Yesterday and Today","Inglês","2016","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S2223-03862016000100005&lang=pt" 
