"S0104-07072013000200033-scl","Estratégias e possibilidades da entrevista motivacional na adolescência: revisão integrativa","Claro, Heloísa Garcia, Oliveira, Márcia Aparecida Ferreira de, Paglione, Heloisa Barboza, Soares, Ricardo Henrique, Okazaki, Christiane, Vargas, Divane de","Texto &amp; Contexto - Enfermagem; 22(2); 543-551","Texto &amp; Contexto - Enfermagem","Inglês, Português","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-07072013000200033&lang=pt" 
"S0104-07072013000200034-scl","Competência profissional: a construção de conceitos, estratégias desenvolvidas pelos serviços de saúde e implicações para a enfermagem","Camelo, Silvia Helena Henriques, Angerami, Emília Luigi Saporiti","Texto &amp; Contexto - Enfermagem; 22(2); 552-560","Texto &amp; Contexto - Enfermagem","Inglês, Português","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-07072013000200034&lang=pt" 
"S1982-56762013000300006-scl","Fungi and bacteria associated with post-harvest rot of ginger rhizomes in Espírito Santo, Brazil","Moreira, Silvino Intra, Dutra, Deiziane da Consolação, Rodrigues, Augusto César, Oliveira, José Rogério de, Dhingra, Onkar Dev, Pereira, Olinto Liparini","Tropical Plant Pathology; 38(3); 218-226","Tropical Plant Pathology","Inglês","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1982-56762013000300006&lang=pt" 
"S1982-56762013000300012-scl","Potencial da microbiolização de sementes de arroz com rizobactérias para o biocontrole do nematoide das galhas","Ludwig, Juliane, Moura, Andréa B., Gomes, Cesar B.","Tropical Plant Pathology; 38(3); 264-268","Tropical Plant Pathology","Português","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1982-56762013000300012&lang=pt" 
"S1982-56762013000300007-scl","A destructive new disease of Syzygium samarangense in Thailand caused by the new species Pestalotiopsis samarangensis","Maharachchikumbura, Sajeewa S.N., Guo, Liang-Dong, Chukeatirote, Ekachai, McKenzie, Eric H.C., Hyde, Kevin D.","Tropical Plant Pathology; 38(3); 227-235","Tropical Plant Pathology","Inglês","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1982-56762013000300007&lang=pt" 
"S1982-56762013000300011-scl","Infection process of Bipolaris sorokiniana on wheat leaves is affected by silicon","Domiciano, Gisele P., Rodrigues, Fabrício A., Guerra, Antônia M.N., Vale, Francisco X.R.","Tropical Plant Pathology; 38(3); 258-263","Tropical Plant Pathology","Inglês","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1982-56762013000300011&lang=pt" 
"S1982-56762013000300010-scl","Elevated atmospheric CO2 concentration increases rice blast severity","Gória, Marina Meloni, Ghini, Raquel, Bettiol, Wagner","Tropical Plant Pathology; 38(3); 253-257","Tropical Plant Pathology","Inglês","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1982-56762013000300010&lang=pt" 
"S1982-56762013000300004-scl","Sweet orange scab with a new scab disease &quot;syndrome&quot; of citrus in the USA associated with Elsinoë australis","Kunta, Madhurababu, Rascoe, John, Sa, Patricia B. de, Timmer, Lavern W., Palm, Mary E., Graça, John V. da, Mangan, Robert L., Malik, Nasir S.A., Salas, Bacilio, Satpute, Aditi, Sétamou, Mamoudou, Skaria, Mani","Tropical Plant Pathology; 38(3); 203-212","Tropical Plant Pathology","Inglês","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1982-56762013000300004&lang=pt" 
"S1982-56762013000300008-scl","Identification of passion fruit genotypes resistant to Fusarium oxysporum f. sp. passiflorae","Silva, Aline dos Santos, Oliveira, Eder Jorge de, Haddad, Fernando, Laranjeira, Francisco Ferraz, Jesus, Onildo Nunes de, Oliveira, Saulo Alves Santos de, Costa, Maria Angélica Pereira de Carvalho, Freitas, Juan Paulo Xavier de","Tropical Plant Pathology; 38(3); 236-242","Tropical Plant Pathology","Inglês","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1982-56762013000300008&lang=pt" 
"S1982-56762013000300005-scl","Inoculum potential of Fusarium verticillioides and performance of maize seeds","Machado, José da Cruz, Machado, Andréia Quixabeira, Pozza, Edson Ampélio, Machado, Cibele Ferreira, Zancan, Willian Luis Antonio","Tropical Plant Pathology; 38(3); 213-217","Tropical Plant Pathology","Inglês","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1982-56762013000300005&lang=pt" 
"S0104-07072013000200024-scl","Percepção dos enfermeiros sobre o processo de ensino-aprendizagem da liderança","Amestoy, Simone Coelho, Backes, Vânia Marli Schubert, Thofehrn, Maira Buss, Martini, Jussara Gue, Meirelles, Betina Hörner Schlindwein, Trindade, Letícia de Lima","Texto &amp; Contexto - Enfermagem; 22(2); 468-475","Texto &amp; Contexto - Enfermagem","Inglês, Português","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-07072013000200024&lang=pt" 
"S0104-07072013000200022-scl","Fragilidade de idosos internados na clínica médica da unidade de emergência de um hospital geral terciário","Storti, Luana Baldin, Fabrício-Whebe, Suzele Cristina Coelho, Kusumota, Luciana, Rodrigues, Rosalina Aparecida Partezani, Marques, Sueli","Texto &amp; Contexto - Enfermagem; 22(2); 452-459","Texto &amp; Contexto - Enfermagem","Inglês, Português","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-07072013000200022&lang=pt" 
"S0104-07072013000200013-scl","Avaliação multidimensional dos determinantes do envelhecimento ativo em idosos de um município de Santa Catarina","Vicente, Fernanda Regina, Santos, Silvia Maria Azevedo dos","Texto &amp; Contexto - Enfermagem; 22(2); 370-378","Texto &amp; Contexto - Enfermagem","Inglês, Português","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-07072013000200013&lang=pt" 
"S1980-65742013000200021-scl","Efeitos do calor no OBLA: comparação entre ambiente quente e temperado","Barros, Cristiano Lino Monteiro de, Mendes, Thiago Teixeira, Pacheco, Diogo Antônio Soares, Garcia, Emerson Silami","Motriz: Revista de Educação Física; 19(2); 441-449","Motriz: Revista de Educação Física","Português","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1980-65742013000200021&lang=pt" 
"S1980-65742013000200022-scl","Efeito agudo de exercícios de alongamento estático e dinâmico na impulsão vertical de jogadores de futebol","Ferreira, Vinicius de Souza, Muller, Bruno Colombo, Achour Junior, Abdallah","Motriz: Revista de Educação Física; 19(2); 450-459","Motriz: Revista de Educação Física","Português","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1980-65742013000200022&lang=pt" 
"S1980-65742013000200020-scl","Respostas bioquímicas e físicas ao treinamento realizado dentro e fora da água em atletas de futsal","Olkoski, Mabel Micheline, Fuke, Kenji, Matheus, Silvana Corrêa, Soares, Félix Alexandre Antunes, Portella, Rafael, Rosa, Edovando José Flores da, Barcelos, Rômulo, Bottaro, Martim","Motriz: Revista de Educação Física; 19(2); 432-440","Motriz: Revista de Educação Física","Português","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1980-65742013000200020&lang=pt" 
"S1980-65742013000200018-scl","Cinética do VO2 durante o exercício realizado na potência crítica em ciclistas e indivíduos não-treinados no ciclismo","Caritá, Renato Aparecido Corrêa, Greco, Camila Coelho, Pessôa Filho, Dalton Müller","Motriz: Revista de Educação Física; 19(2); 412-422","Motriz: Revista de Educação Física","Português","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1980-65742013000200018&lang=pt" 
"S1980-65742013000200029-scl","Efeito do treinamento resistido em paciente com fibromialgia: estudo de caso","Rebutini, Vanessa Zadorosnei, Giaretta, Marilia Tumelero, Silva, Jeanne Rissato da, Mayork, Andrea Karla da Silva, Abad, César Cavinato Cal","Motriz: Revista de Educação Física; 19(2); 513-522","Motriz: Revista de Educação Física","Português","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1980-65742013000200029&lang=pt" 
"S0100-60452013000100004-scl","The notion of process in nonstandard theory and in Whiteheadian metaphysics","Livadas, Stathis","Manuscrito; 36(1); 103-137","Manuscrito","Inglês","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-60452013000100004&lang=pt" 
"S0034-75232013000200001-cub","Demencias: mitos y realidades para el internista","Llibre Rodríguez, Juan de Jesús","Revista Cubana de Medicina; 52(2); 85-87","Revista Cubana de Medicina","Espanhol","2013","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0034-75232013000200001&lang=pt" 
"S0034-75232013000200002-cub","Inmunosupresión de inducción en el trasplante renal en el Hospital &quot;Hermanos Ameijeiras&quot; de 1984 a 2012","Borroto Díaz, Gerardo, Guerrero Díaz, Carlos","Revista Cubana de Medicina; 52(2); 88-98","Revista Cubana de Medicina","Espanhol","2013","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0034-75232013000200002&lang=pt" 
"S0034-75232013000200003-cub","Factores de riesgo coronarios en pacientes con prótesis aórtica durante rehabilitación cardiaca","Pérez Yánez, Lázara Mirta, García Hernández, Ricardo Amador","Revista Cubana de Medicina; 52(2); 99-108","Revista Cubana de Medicina","Espanhol","2013","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0034-75232013000200003&lang=pt" 
"S0034-75232013000200004-cub","Eficacia del indacaterol como broncodilatador en un grupo de pacientes asmáticos","Rodríguez Vázquez, Juan Carlos, Zambrano Mendoza, Licet, Gassiot Nuño, Carlos, Pino Alfonso, Pedro Pablo, Lima Guerra, Ailema, Cabanes Varona, Lixaida, Morales Sánchez, Lisvenia, Ramos Quevedo, Adela","Revista Cubana de Medicina; 52(2); 109-117","Revista Cubana de Medicina","Espanhol","2013","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0034-75232013000200004&lang=pt" 
"S0034-75232013000200005-cub","Interpretación clínica del conteo de linfocitos T CD4 positivos en la infección por VIH","Noda Albelo, Amauri Lázaro, Vidal Tallet, Lázaro Arturo, Pérez Lastre, Jorge Ernesto, Cañete Villafranca, Roberto","Revista Cubana de Medicina; 52(2); 118-127","Revista Cubana de Medicina","Espanhol","2013","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0034-75232013000200005&lang=pt" 
"S0034-75232013000200006-cub","Linfoma no Hodgkin de células del manto con infiltración renal y glomerulopatía mesangiocapilar asociada","Bacallao Méndez, Raymed Antonio, López Marín, Laura, Chong López, Agustín, Llerena Ferrer, Betsy, Chávez Muñoz, Yudit, Castillo Álvarez, Yanisa de la Caridad","Revista Cubana de Medicina; 52(2); 128-134","Revista Cubana de Medicina","Espanhol","2013","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0034-75232013000200006&lang=pt" 
