"S1726-46342012000400032-spa","Reactividad contra Treponema pallidum en donantes de sangre, Ibagué, Colombia, 2011","Cruz-Bermúdez, Harold, Forero-Rincon, Sandra, Moreno-Collazos, Jorge","Revista Peruana de Medicina Experimental y Salud Pública; 29(4); 584-585","Revista Peruana de Medicina Experimental y Salud Pública","Espanhol","2012","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1726-46342012000400032&lang=pt" 
"S1726-46342012000400031-spa","Presupuesto participativo, ¿las regiones más vulnerables lo invierten en salud?","Carrillo-Larco, Rodrigo M., Segura, Eddy R.","Revista Peruana de Medicina Experimental y Salud Pública; 29(4); 583-584","Revista Peruana de Medicina Experimental y Salud Pública","Espanhol","2012","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1726-46342012000400031&lang=pt" 
"S1726-46342012000400030-spa","Prácticas del personal de salud relacionadas con las medidas de prevención de la tuberculosis","Virú-Loza, Manuel A.","Revista Peruana de Medicina Experimental y Salud Pública; 29(4); 582-582","Revista Peruana de Medicina Experimental y Salud Pública","Espanhol","2012","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1726-46342012000400030&lang=pt" 
"S1726-46342012000400029-spa","La obesidad en el Perú: recomendaciones para un sistema de vigilancia","Poterico, Julio A., Carrillo-Larco, Rodrigo M., Quispe, Renato","Revista Peruana de Medicina Experimental y Salud Pública; 29(4); 581-581","Revista Peruana de Medicina Experimental y Salud Pública","Espanhol","2012","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1726-46342012000400029&lang=pt" 
"S1726-46342012000400028-spa","Necesidad de vigilar la resistencia del P. falciparum al artesunato en el Perú","Durand, Salomón, Sihuincha, Moisés, Lachira, Arnaldo, Chaves, Jorge, Cabezas, César","Revista Peruana de Medicina Experimental y Salud Pública; 29(4); 579-580","Revista Peruana de Medicina Experimental y Salud Pública","Espanhol","2012","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1726-46342012000400028&lang=pt" 
"S1726-46342012000400027-spa","Validación de la versión peruana del PHQ-9 para el diagnóstico de depresión","Calderón, María, Gálvez-Buccollini, Juan Antonio, Cueva, Gloria, Ordoñez, Carlos, Bromley, Carlos, Fiestas, Fabián","Revista Peruana de Medicina Experimental y Salud Pública; 29(4); 578-579","Revista Peruana de Medicina Experimental y Salud Pública","Espanhol","2012","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1726-46342012000400027&lang=pt" 
"S1726-46342012000400026-spa","Recolección de muestras sanguíneas en poblaciones indígenas","Trujillo, Omar V., Cabezas, César, Marín, Luis, Pari C., Jessie, Salaverry, Oswaldo","Revista Peruana de Medicina Experimental y Salud Pública; 29(4); 575-577","Revista Peruana de Medicina Experimental y Salud Pública","Espanhol","2012","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1726-46342012000400026&lang=pt" 
"S2077-18862012000200001-per","In this issue","Yamakawa T., Peter","Journal of Economics, Finance and Administrative Science; 17(33); 1-1","Journal of Economics, Finance and Administrative Science","Inglês","2012","http://www.scielo.org.pe/scielo.php?script=sci_arttext&pid=S2077-18862012000200001&lang=pt" 
"S2077-18862012000200002-per","Pricing Asian power options under jump-fraction process","Peng, Bin, Peng, Fei","Journal of Economics, Finance and Administrative Science; 17(33); 2-9","Journal of Economics, Finance and Administrative Science","Inglês","2012","http://www.scielo.org.pe/scielo.php?script=sci_arttext&pid=S2077-18862012000200002&lang=pt" 
"S2077-18862012000200005-per","Spatial equilibrium, market integration and price exogeneity in dry fish marketing in Nigeria: a vector auto-regressive (VAR) approach","Mafimisebi, Taiwo E.","Journal of Economics, Finance and Administrative Science; 17(33); 31-37","Journal of Economics, Finance and Administrative Science","Inglês","2012","http://www.scielo.org.pe/scielo.php?script=sci_arttext&pid=S2077-18862012000200005&lang=pt" 
