"S1989-38092010000300001-esp","La innovación educativa desde la metodología: Mejora de las actitudes y competencias científicas de los alumnos","García, José Fernando, Gracia, Enrique, Fuentes, María C., Lila, Marisol, Pascual, Joan","Escritos de Psicología (Internet); 3(4); 1-10","Escritos de Psicología (Internet)","Espanhol","2010","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1989-38092010000300001&lang=pt" 
"S1989-38092010000300002-esp","Impacto diferencial de la religión en el prejuicio entre muestras cristianas y musulmanas","Núñez Alarcón, Máximo, Moral Toranzo, Félix, Moreno Jiménez, Mª del Pilar","Escritos de Psicología (Internet); 3(4); 11-20","Escritos de Psicología (Internet)","Espanhol","2010","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1989-38092010000300002&lang=pt" 
"S1989-38092010000300003-esp","Estimación de la prevalencia puntual de alteraciones neuropsicológicas asociadas al trastorno depresivo mayor","Gudayol-Ferre, Esteve, Guàrdia-Olmos, Joan, Herrera-Guzmán, Ixchel, Peró-Cebollero, Maribel, Herrera-Abarca, Jorge, Herrera-Guzmán, Daniel, Martínez-Medina, Patricia","Escritos de Psicología (Internet); 3(4); 21-32","Escritos de Psicología (Internet)","Espanhol","2010","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1989-38092010000300003&lang=pt" 
"S1989-38092010000300005-esp","Efecto de la emoción sobre la memoria prospectiva: un nuevo enfoque basado en procedimientos operantes","Gordillo León, Fernando, Arana Martínez, José M., Meilán, Juan J. G., Mestas Hernández, Lilia","Escritos de Psicología (Internet); 3(4); 40-47","Escritos de Psicología (Internet)","Espanhol","2010","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1989-38092010000300005&lang=pt" 
"S1851-17402010000200001-arg","La cuestión bibliotecológica o &quot;el factor humano&quot;","Parada, Alejandro E.","Información, cultura y sociedad; (23); 5-8","Información, cultura y sociedad","Espanhol","2010","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1851-17402010000200001&lang=pt" 
"S1851-17402010000200002-arg","La educación bibliotecológica: tema de estudio en el pensamiento de Judith Licea","Meneses Tello, Felipe","Información, cultura y sociedad; (23); 9-30","Información, cultura y sociedad","Espanhol","2010","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1851-17402010000200002&lang=pt" 
"S1851-17402010000200003-arg","Estrategias de difusión del conocimiento de los investigadores en la Facultad de Filosofía y Letras de la Universidad de Buenos Aires","Romanos de Tiratel, Susana, Contardi, Silvia, Giunti, Graciela M.","Información, cultura y sociedad; (23); 31-62","Información, cultura y sociedad","Espanhol","2010","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1851-17402010000200003&lang=pt" 
"S1851-17402010000200005-arg","Una relectura del encuentro entre la Historia del Libro y la Historia de la Lectura: Reflexiones desde la Bibliotecología / Ciencia de la Información","Parada, Alejandro E.","Información, cultura y sociedad; (23); 91-115","Información, cultura y sociedad","Espanhol","2010","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1851-17402010000200005&lang=pt" 
"S1851-17402010000200006-arg","Tipo abstracto de datos &quot;Biblioteca&quot;","Temesio Vizoso, Silvana","Información, cultura y sociedad; (23); 117-135","Información, cultura y sociedad","Espanhol","2010","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1851-17402010000200006&lang=pt" 
"S1851-17402010000200007-arg","Historia de la Biblioteca Nacional: Estado de una polémica","Laporte, Juan Pablo G","Información, cultura y sociedad; (23); 137-140","Información, cultura y sociedad","Espanhol","2010","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1851-17402010000200007&lang=pt" 
