"S0034-70942015000300177-scl","Anatomical basis for sciatic nerve block at the knee level","Barbosa, Fabiano Timbó, Barbosa, Tatiana Rosa Bezerra Wanderley, Cunha, Rafael Martins da, Rodrigues, Amanda Karine Barros, Ramos, Fernando Wagner da Silva, Sousa-Rodrigues, Célio Fernando de","Revista Brasileira de Anestesiologia; 65(3); 177-179","Revista Brasileira de Anestesiologia","Inglês, Espanhol, Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-70942015000300177&lang=pt" 
"S2175-62362015000200485-scl","Planejamento de Estratégias para o Processo de Inclusão: desafios em questão","Santiago, Mylene Cristina, Santos, Mônica Pereira dos","Educação &amp; Realidade; 40(2); 485-502","Educação &amp; Realidade","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S2175-62362015000200485&lang=pt" 
"S2175-62362015000200321-scl","Editorial","Gandin, Luís Armando, Icle, Gilberto, Farenzena, Nalú, Dorneles, Beatriz Vargas, McCowan, Tristan","Educação &amp; Realidade; 40(2); 321-326","Educação &amp; Realidade","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S2175-62362015000200321&lang=pt" 
"S2175-62362015000200399-scl","Entre Ciência, Arte e Vida: a didática como ato responsivo","Corsino, Patrícia","Educação &amp; Realidade; 40(2); 399-419","Educação &amp; Realidade","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S2175-62362015000200399&lang=pt" 
"S2175-62362015000200329-scl","A Didática Hoje: reinventando caminhos","Candau, Vera Maria Ferrão, Koff, Adélia Maria Nehme Simão e","Educação &amp; Realidade; 40(2); 329-348","Educação &amp; Realidade","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S2175-62362015000200329&lang=pt" 
"S1413-24782015000200293-scl","EDITORIAL","","Revista Brasileira de Educação; 20(61); 293-295","Revista Brasileira de Educação","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-24782015000200293&lang=pt" 
"S1413-24782015000200433-scl","Ativismo pedagógico e princípios da escola do trabalho nos primeiros tempos da educação soviética","BITTAR, MARISA, FERREIRA JR., AMARILIO","Revista Brasileira de Educação; 20(61); 433-456","Revista Brasileira de Educação","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-24782015000200433&lang=pt" 
"S2175-62362015000200613-scl","Ensino Desenvolvimental: contribuições à superação do dilema da didática","Freitas, Raquel Aparecida Marra da Madeira, Rosa, Sandra Valéria Limonta","Educação &amp; Realidade; 40(2); 613-627","Educação &amp; Realidade","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S2175-62362015000200613&lang=pt" 
"S2175-62362015000200421-scl","Questioning the Neutrality of Learning Strategies: teachers&#039; and pupils&#039; use of background knowledge","Haugen, Cecilie Rønning","Educação &amp; Realidade; 40(2); 421-441","Educação &amp; Realidade","Inglês, Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S2175-62362015000200421&lang=pt" 
"S1413-24782015000200317-scl","Relações entre sujeitos sociais e objetos técnicos uma reflexão necessária para investigar os processos educativos mediados por tecnologias","PEIXOTO, JOANA","Revista Brasileira de Educação; 20(61); 317-332","Revista Brasileira de Educação","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-24782015000200317&lang=pt" 
