"S1688-03902008000100006-ury","Granulomatosis de Wegener: clínica, diagnóstico y tratamiento a propósito de cinco casos","Cairoli, Ernesto, Silvariño, Ricardo, Méndez, Enrique","Revista Médica del Uruguay; 24(1); 37-41","Revista Médica del Uruguay","Espanhol","2008","http://www.scielo.edu.uy/scielo.php?script=sci_arttext&pid=S1688-03902008000100006&lang=pt" 
"S1688-03902008000100005-ury","Apósitos hidrocoloidales en la cicatrización por segunda intención de heridas quirúrgicas","Bazzano, Carlos, Álvarez, Mariela, Martínez, Miguel","Revista Médica del Uruguay; 24(1); 32-36","Revista Médica del Uruguay","Espanhol","2008","http://www.scielo.edu.uy/scielo.php?script=sci_arttext&pid=S1688-03902008000100005&lang=pt" 
"S1688-03902008000100004-ury","CADASIL: comunicación de una familia uruguaya con definición clínica, imagenológica, anatomopatológica y genética molecular","Vaglio, Alicia, Ferreira, Marnels, Panuncio, Ana Luisa, Castagnola, María Antonia, Pebet, Matías, De la Peña, Soledad, Quadrelli, Roberto","Revista Médica del Uruguay; 24(1); 24-31","Revista Médica del Uruguay","Espanhol","2008","http://www.scielo.edu.uy/scielo.php?script=sci_arttext&pid=S1688-03902008000100004&lang=pt" 
"S1414-32832008000100001-spa","A difusão da dimensão cuidadora da saúde, a invenção de mundos e a comunicação do conhecimento como superfícies de contágio","Ceccim, Ricardo Burg","Interface - Comunicação, Saúde, Educação; 12(24); 05-05","Interface - Comunicação, Saúde, Educação","Inglês, Português","2008","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1414-32832008000100001&lang=pt" 
"S1021-20192008000100001-sza","Why stabilise? Using triaxial tests for determining pavement stiffness and shear strength parameters of mechanically modified layers","Parrock, A L, Strydom, J S, Rieger, V J","Journal of the South African Institution of Civil Engineering; 50(1); 2-12","Journal of the South African Institution of Civil Engineering","Inglês","2008","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S1021-20192008000100001&lang=pt" 
"S1021-20192008000100002-sza","Finite element fracture modelling of concrete gravity dams","Cai, Q, Robberts, J M, van Rensburg, B W J","Journal of the South African Institution of Civil Engineering; 50(1); 13-24","Journal of the South African Institution of Civil Engineering","Inglês","2008","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S1021-20192008000100002&lang=pt" 
"S1021-20192008000100003-sza","The South African durability index tests in an international comparison","Beushausen, H, Alexander, M G","Journal of the South African Institution of Civil Engineering; 50(1); 25-31","Journal of the South African Institution of Civil Engineering","Inglês","2008","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S1021-20192008000100003&lang=pt" 
"S1688-03902008000100009-ury","La vía inhalatoria de infección en el ratón y su relevancia en la dilucidación de la patogenia de algunas micosis profundas Análisis de estudios pioneros realizados en Uruguay","Conti Díaz, Ismael A","Revista Médica del Uruguay; 24(1); 56-61","Revista Médica del Uruguay","Espanhol","2008","http://www.scielo.edu.uy/scielo.php?script=sci_arttext&pid=S1688-03902008000100009&lang=pt" 
"S0301-70362008000100010-mex","Integración comercial y crecimiento económico: una visión crítica","Fernández Puente, Adolfo C., Pérez González, Patricio","Problemas del desarrollo; 39(152); 193-206","Problemas del desarrollo","Espanhol","2008","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0301-70362008000100010&lang=pt" 
"S0301-70362008000100005-mex","La dimensión entrópica del sector externo en la economías abiertas","de la Reza, Germán A.","Problemas del desarrollo; 39(152); 69-86","Problemas del desarrollo","Espanhol","2008","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0301-70362008000100005&lang=pt" 
"S0301-70362008000100007-mex","La política fiscal desde una perspectiva de crecimiento endógeno, equilibrio presupuestal y fluctuaciones de corto plazo","Ramírez Cedillo, Eduardo","Problemas del desarrollo; 39(152); 113-137","Problemas del desarrollo","Espanhol","2008","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0301-70362008000100007&lang=pt" 
