"S0080-21072016000400377-scl","Social connection in organizations: the effects of local ties on job engagement and performance","Maciel, Cristiano de Oliveira, Camargo, Camila","Revista de Administração (São Paulo); 51(4); 377-385","Revista de Administração (São Paulo)","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0080-21072016000400377&lang=pt" 
"S0080-21072016000400397-scl","The influence of innovation environments in R&amp;D results","Schmidt, Serje, Balestrin, Alsones, Engelman, Raquel, Bohnenberger, Maria Cristina","Revista de Administração (São Paulo); 51(4); 397-408","Revista de Administração (São Paulo)","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0080-21072016000400397&lang=pt" 
"S0080-21072016000400331-scl","The relationship between equity ownership concentration and earnings quality: evidence from Brazil","Sousa, Erivelto Fioresi de, Galdi, Fernando Caio","Revista de Administração (São Paulo); 51(4); 331-341","Revista de Administração (São Paulo)","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0080-21072016000400331&lang=pt" 
"S2175-80262016000300209-scl","Letramentos em Língua Portuguesa e Inglesa na Educação Superior Brasileira: Marcos e Perspectivas","Cristovão, Vera Lúcia Lopes, Vieira, Isabela Rodrigues","Ilha do Desterro; 69(3); 209-221","Ilha do Desterro","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S2175-80262016000300209&lang=pt" 
"S2175-80262016000300029-scl","Práticas de Escrita e Argumentação em um Evento Científico para Graduandos: um Estudo Fundamentado no Conceito Bakhtiniano de Conclusibilidade do Enunciado","Lopes, Mariana Dutra de Carvalho, Castro, Carlos Henrique Silva de","Ilha do Desterro; 69(3); 29-43","Ilha do Desterro","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S2175-80262016000300029&lang=pt" 
"S0102-71822016000300616-scl","NOTAS SOBRE UM RECOMEÇO: REVISTA PSICOLOGIA &amp; SOCIEDADE (1996 - 2001)","Alves, Cecilia Pescatore, Crochík, José Leon","Psicologia &amp; Sociedade; 28(3); 616-621","Psicologia &amp; Sociedade","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-71822016000300616&lang=pt" 
"S0102-71822016000300627-scl","AS CONTRIBUIÇÕES DE JÜRGEN HABERMAS PARA A PSICOLOGIA SOCIAL CRÍTICA","Santos, Beatriz Oliveira, Amaro, Brígia da Silva, Lisbão, Yuri Marcondes, Félix, Thiago de Sousa, Castro, Emanuel Messias de Aguiar","Psicologia &amp; Sociedade; 28(3); 627-630","Psicologia &amp; Sociedade","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-71822016000300627&lang=pt" 
"S0102-71822016000300494-scl","LO COMUNITARIO EN LAS REPRESENTACIONES SOCIALES DE LA VIOLENCIA","Alba, Maylen Villamañan","Psicologia &amp; Sociedade; 28(3); 494-504","Psicologia &amp; Sociedade","Espanhol","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-71822016000300494&lang=pt" 
"S2175-80262016000300249-scl","Resenha","Soares, Vanessa Arlésia Souza Ferretti","Ilha do Desterro; 69(3); 249-252","Ilha do Desterro","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S2175-80262016000300249&lang=pt" 
"S2175-80262016000300189-scl","Milestones, Disciplines and the Future of Initiatives of Reading and Writing in Higher Education: An Analysis from Key Scholars in the Field in Latin America","Tapia-Ladino, Mónica, Reyes, Natalia Ávila, Navarro, Federico, Bazerman, Charles","Ilha do Desterro; 69(3); 189-208","Ilha do Desterro","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S2175-80262016000300189&lang=pt" 
