"S0798-97092009000200006-ven","empleo de los tiempos verbales en la re-narración: Un estudio de las producciones orales y escritas en niños pequeños","Sánchez Abchi, Verónica, Silva, María Luisa, Borzone, Ana María","Boletin de Linguistica; 21(32); 95-117","Boletin de Linguistica","Espanhol","2009","http://www.scielo.org.ve/scielo.php?script=sci_arttext&pid=S0798-97092009000200006&lang=pt" 
"S0798-97092009000200005-ven","Estudio lingüístico de la fitonimia científica de las orquídeas desde una perspectiva multidisciplinaria","López Trabanco, Pedro Jesús","Boletin de Linguistica; 21(32); 67-94","Boletin de Linguistica","Espanhol","2009","http://www.scielo.org.ve/scielo.php?script=sci_arttext&pid=S0798-97092009000200005&lang=pt" 
"S0798-97092009000200009-ven","","Fernández Gil, Greisy","Boletin de Linguistica; 21(32); 128-133","Boletin de Linguistica","Espanhol","2009","http://www.scielo.org.ve/scielo.php?script=sci_arttext&pid=S0798-97092009000200009&lang=pt" 
"S0798-97092009000200008-ven","Poética del habla cotidiana","Rodríguez, Jennifer","Boletin de Linguistica; 21(32); 124-128","Boletin de Linguistica","Espanhol","2009","http://www.scielo.org.ve/scielo.php?script=sci_arttext&pid=S0798-97092009000200008&lang=pt" 
"S0798-97092009000200004-ven","Notas sobre determinantes definidos y no definidos","Jiménez Juliá, Tomás","Boletin de Linguistica; 21(32); 47-66","Boletin de Linguistica","Espanhol","2009","http://www.scielo.org.ve/scielo.php?script=sci_arttext&pid=S0798-97092009000200004&lang=pt" 
"S0104-40362009000400002-scl","Uma nova maneira de avaliar as competências escritoras na redação do ENEM","Klein, Ruben, Fontanive, Nilma","Ensaio: Avaliação e Políticas Públicas em Educação; 17(65); 585-598","Ensaio: Avaliação e Políticas Públicas em Educação","Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-40362009000400002&lang=pt" 
"S0103-65642009000400001-scl","Editorial","Loffredo, Ana Maria","Psicologia USP; 20(4); ix-x","Psicologia USP","Português","2009","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-65642009000400001&lang=pt" 
"S0004-06492009000400007-ven","Generalidades en diarrea aguda","Díaz Mora, José Javier, Madera, Milanyela, Pérez, Yubelis, García, Maribel, León, Keira, Torres E, Marco","Archivos Venezolanos de Puericultura y Pediatría; 72(4); 139-145","Archivos Venezolanos de Puericultura y Pediatría","Espanhol","2009","http://www.scielo.org.ve/scielo.php?script=sci_arttext&pid=S0004-06492009000400007&lang=pt" 
"S0004-06492009000400006-ven","Mutación G47R en el gen SBSN causa Síndrome de Bartter con sordera en dos hermanas venezolanas","Revilla, Narkis, Maldonado, Nereida, García-Nieto, Víctor, Claverié-Martín, Félix","Archivos Venezolanos de Puericultura y Pediatría; 72(4); 129-134","Archivos Venezolanos de Puericultura y Pediatría","Espanhol","2009","http://www.scielo.org.ve/scielo.php?script=sci_arttext&pid=S0004-06492009000400006&lang=pt" 
"S0004-06492009000400005-ven","Lactantes menores alimentados con fórmula de soya: Evaluación de Hormonas Tiroideas","Conde, Arelis, Cárdenas, Lani, Carreño, Ammary, Caruso, Egimer, Bocaranda, Maria Beatriz, Guevara, Harold, Barbella, Sobeida","Archivos Venezolanos de Puericultura y Pediatría; 72(4); 129-134","Archivos Venezolanos de Puericultura y Pediatría","Espanhol","2009","http://www.scielo.org.ve/scielo.php?script=sci_arttext&pid=S0004-06492009000400005&lang=pt" 
"S0004-06492009000400004-ven","Biopsia Renal en Pediatría: Análisis de la casuística de 28 años. Hospital de niños de Valencia. Venezuela","Orta, Nelson, Coronel, Valerio, Lara, Elsa, Escalona, Betlys, Domínguez, Luís, Zibaoui, Patricia, Peralta, Carolina, Pinto, José A, Weffer, Maria I, Romero, Sandra, Daboín, Iraida, Planchart, Annie","Archivos Venezolanos de Puericultura y Pediatría; 72(4); 123-128","Archivos Venezolanos de Puericultura y Pediatría","Espanhol","2009","http://www.scielo.org.ve/scielo.php?script=sci_arttext&pid=S0004-06492009000400004&lang=pt" 
"S0004-06492009000400003-ven","Evaluación del conocimiento de las madres sobre Lactancia Materna: Estudio Multicéntrico en las áreas metropolitanas de Caracas y Maracaibo","Aznar, Flor Elena, Salazar, Scarlett, Delgado, Xiomara, Cani, Thaís, Cluet de Rodríguez, Isabel","Archivos Venezolanos de Puericultura y Pediatría; 72(4); 118-122","Archivos Venezolanos de Puericultura y Pediatría","Espanhol","2009","http://www.scielo.org.ve/scielo.php?script=sci_arttext&pid=S0004-06492009000400003&lang=pt" 
"S0004-06492009000400002-ven","Discurso del Dr. Nelson Orta Sibú en acto de inauguración del “LV congreso venezolano de pediatría “Dr. Nelson Orta Sibú” Maracaibo, 30 de agosto de 2009","","Archivos Venezolanos de Puericultura y Pediatría; 72(4); 113-117","Archivos Venezolanos de Puericultura y Pediatría","Espanhol","2009","http://www.scielo.org.ve/scielo.php?script=sci_arttext&pid=S0004-06492009000400002&lang=pt" 
"S0004-06492009000400001-ven","Discurso del Dr. Huníades Urbina Medina en el acto de inauguración del “IV congreso venezolano de pediatría “Dr. Nelson Orta Sibú” Maracaibo, 30 de agosto de 2009","","Archivos Venezolanos de Puericultura y Pediatría; 72(4); 111-112","Archivos Venezolanos de Puericultura y Pediatría","Espanhol","2009","http://www.scielo.org.ve/scielo.php?script=sci_arttext&pid=S0004-06492009000400001&lang=pt" 
"S0004-06492009000400009-ven","Hidratación parenteral","Rojas Marcano, Ileana, Castro, María José, Chacón, Luis, De Pablos, José Félix, López, Neiris, Urbina Medina, Huníades","Archivos Venezolanos de Puericultura y Pediatría; 72(4); 154-162","Archivos Venezolanos de Puericultura y Pediatría","Espanhol","2009","http://www.scielo.org.ve/scielo.php?script=sci_arttext&pid=S0004-06492009000400009&lang=pt" 
