"S0718-09342006000100002-chl","Aplicaciones del diálogo humano de tutoría al AutoTutor: Un sistema inteligente de tutoría","Tanner Jackson, G, Graesser, Arthur C","Revista signos; 39(60); 31-48","Revista signos","Espanhol","2006","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-09342006000100002&lang=pt" 
"S0718-09342006000100003-chl","Discurso y manipulación: Discusión teórica y algunas aplicaciones","van Dijk, Teun","Revista signos; 39(60); 49-74","Revista signos","Espanhol","2006","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-09342006000100003&lang=pt" 
"S0718-09342006000100001-chl","Comprensión macroestructural y reformulación resuntiva de textos teóricos en estudiantes de institutos de formación de docentes primarios","Arnoux, Elvira, Nogueira, Sylvia, Silvestri, Adriana","Revista signos; 39(60); 9-30","Revista signos","Espanhol","2006","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-09342006000100001&lang=pt" 
"S0718-09342006000100004-chl","La similitud léxico-semántica en artículos de investigación científica en español: Una aproximación desde el Análisis Semántico Latente","Venegas, René","Revista signos; 39(60); 75-106","Revista signos","Espanhol","2006","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-09342006000100004&lang=pt" 
"S0718-09342006000100005-chl","","González, Cristian","Revista signos; 39(60); 109-111","Revista signos","Espanhol","2006","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-09342006000100005&lang=pt" 
"S0036-36342006000700001-mex","México sin tabaco","Valdés Salgado, Raydel, Hernández-Ávila, Mauricio","Salud Pública de México; 48(); s1-s3","Salud Pública de México","Espanhol","2006","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0036-36342006000700001&lang=pt" 
"S0036-36342006000700002-mex","Regulación y control del tabaquismo","Lazcano-Ponce, Eduardo, Kuri-Morales, Pablo","Salud Pública de México; 48(); s4-s4","Salud Pública de México","Espanhol","2006","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0036-36342006000700002&lang=pt" 
"S0036-36342006000700003-mex","Los retos del convenio marco para el control del tabaco en México: un diagnóstico a partir de la Encuesta sobre Tabaquismo en Jóvenes","Valdés-Salgado, Raydel, Thrasher, James, Sánchez-Zamorano, Luisa María, Lazcano-Ponce, Eduardo, Reynales-Shigematsu, Luz Myriam, Meneses-González, Fernando, Hernández-Ávila, Mauricio","Salud Pública de México; 48(); s5-s16","Salud Pública de México","Espanhol","2006","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0036-36342006000700003&lang=pt" 
"S0036-36342006000700005-mex","El consumo de tabaco y alcohol en jóvenes de zonas urbanas marginadas de México: un análisis de decisiones relacionadas","Urquieta, José Edmundo, Hernández-Avila, Mauricio, Hernández, Bernardo","Salud Pública de México; 48(); s30-s40","Salud Pública de México","Espanhol","2006","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0036-36342006000700005&lang=pt" 
"S0036-36342006000700006-mex","El consumo inmoderado de alcohol como factor predictor de la persistencia del consumo de tabaco en jóvenes","Sánchez-Zamorano, Luisa María, Hernández-Avila, Mauricio, Lazcano-Ponce, Eduardo","Salud Pública de México; 48(); s41-s47","Salud Pública de México","Espanhol","2006","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0036-36342006000700006&lang=pt" 
