"S0120-07392010000100008-col","EFECTO DE LA INTERVENCIÓN ANTRÓPICA EN LA DISTRIBUCIÓN DE LAS SEMILLAS Y PLÁNTULAS DEL ROBLE (Quercus humboldtii Bonpl., FAGACEAE) EN LA CORDILLERA ORIENTAL COLOMBIANA","Guerrero-Rodríguez, Sandra Bibiana, Paz-Camacho, Erika Andrea, Parrado Rosselli, Ángela","Colombia Forestal; 13(1); 163-180","Colombia Forestal","Espanhol","2010","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0120-07392010000100008&lang=pt" 
"S0120-07392010000100005-col","DIVERSIDAD Y ESTRUCTURA DE UN ROBLEDAL EN LA RESERVA BIOLÓGICA CACHALÚ, ENCINO (SANTANDER-COLOMBIA)","A. Ávila, Fabio, Ángel, Sonia Patricia, López C., René","Colombia Forestal; 13(1); 87-116","Colombia Forestal","Espanhol","2010","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0120-07392010000100005&lang=pt" 
"S0120-07392010000100007-col","DIFERENCIAS EN LA PRODUCCIÓN DE FRUTOS DEL ROBLE Quercus Humboldtii Bonpl. EN DOS BOSQUES ANDINOS DE LA CORDILLERA ORIENTAL COLOMBIANA","González Melo, Andrés, Parrado Rosselli, Ángela","Colombia Forestal; 13(1); 141-162","Colombia Forestal","Espanhol","2010","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0120-07392010000100007&lang=pt" 
"S0120-07392010000100006-col","CARACTERIZACIÓN Y USOS TRADICIONALES DE PRODUCTOS FORESTALES NO MADERABLES (PFNM) EN EL CORREDOR DE CONSERVACIÓN GUANTIVA - LA RUSIA - IGUAQUE","Ariza Cortés, William, Huertas García, Claudia, Hernández Ortiz, Astrid, Geltvez Bernal, Johanna, González Rodríguez, Johanna, López Gutiérrez, Laura","Colombia Forestal; 13(1); 117-140","Colombia Forestal","Espanhol","2010","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0120-07392010000100006&lang=pt" 
"S0120-07392010000100001-col","NOTA EDITORIAL","Solano Gutiérrez, Clara","Colombia Forestal; 13(1); 3-4","Colombia Forestal","Espanhol","2010","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0120-07392010000100001&lang=pt" 
"S0120-07392010000100003-col","CATÁLOGO PRELIMINAR DE LA FLORA VASCULAR DE LOS BOSQUES SUBANDINOS DE LA RESERVA BIOLÓGICA CACHALÚ, SANTANDER (COLOMBIA)","Reina, Miriam, Medina, Ruth, A. Ávila, Fabio, Ángel, Sonia P., Cortés-B, Rocio","Colombia Forestal; 13(1); 27-54","Colombia Forestal","Espanhol","2010","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0120-07392010000100003&lang=pt" 
"S0120-07392010000100002-col","CONSERVACIÓN Y USO SOSTENIBLE DE LOS BOSQUES DE ROBLE EN EL CORREDOR DE CONSERVACIÓN GUANTIVA - LA RUSIA - IGUAQUE, DEPARTAMENTOS DE SANTANDER Y BOYACÁ, COLOMBIA","Avella Muñoz, Andrés, Cárdenas Camacho, Luis Mario","Colombia Forestal; 13(1); 5-26","Colombia Forestal","Espanhol","2010","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0120-07392010000100002&lang=pt" 
"S1850-373X2010000100001-arg","Alcances y limitaciones del derecho a la vivienda: Los asentamientos Rodrigo Bueno y la Aldea Gay y los programas de recuperación de terrenos","Yacovino, María Paula","Intersecciones en antropología; 11(1); 3-13","Intersecciones en antropología","Espanhol","2010","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1850-373X2010000100001&lang=pt" 
"S1850-373X2010000100002-arg","Debajo de la alfombra de los barrios del sur: Derecho a la ciudad o nuevas formas de higienismo","Thomasz, Ana Gretel","Intersecciones en antropología; 11(1); 15-27","Intersecciones en antropología","Espanhol","2010","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1850-373X2010000100002&lang=pt" 
"S1850-373X2010000100003-arg","Consumo de roedores en el sitio Villa la Punta, agro-alfarero temprano de la región Chaco-Santiagueña","del Papa, Luis Manuel, De Santis, Luciano José María, Togo, José","Intersecciones en antropología; 11(1); 29-40","Intersecciones en antropología","Espanhol","2010","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1850-373X2010000100003&lang=pt" 
"S1850-373X2010000100004-arg","Ocupaciones en antiguos ambientes de humedal de las tierras bajas del norte de Mendoza: sitio Tulumaya (PA70)","Chiavazza, Horacio D.","Intersecciones en antropología; 11(1); 47-57","Intersecciones en antropología","Espanhol","2010","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1850-373X2010000100004&lang=pt" 
"S1850-373X2010000100005-arg","El registro arqueológico de las antiguas poblaciones de los valles orientales de la Provincia Arce, Tarija, Bolivia","Ventura, Beatriz, Delcourt, Phillippe, Ortiz, Gabriela, Methfessel, Lilo, Greco, Catriel, Buitrago, Weimar, Paredes, Freddy","Intersecciones en antropología; 11(1); 59-72","Intersecciones en antropología","Espanhol","2010","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1850-373X2010000100005&lang=pt" 
"S1850-373X2010000100006-arg","¿Qué es el autismo?: La experiencia de padres inmersos en la incertidumbre","Ramos, María Alejandra","Intersecciones en antropología; 11(1); 73-88","Intersecciones en antropología","Espanhol","2010","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1850-373X2010000100006&lang=pt" 
"S1850-373X2010000100007-arg","Reconversión productiva y significaciones obreras: Transformaciones en las industrias frigorífica y siderúrgica","Soul, M. Julia, Vogelmann, Verónica","Intersecciones en antropología; 11(1); 89-101","Intersecciones en antropología","Espanhol","2010","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1850-373X2010000100007&lang=pt" 
"S1850-373X2010000100008-arg","Educación no formal y patrimonio arqueológico: Su articulación y conceptualización","Conforti, María Eugenia","Intersecciones en antropología; 11(1); 103-114","Intersecciones en antropología","Espanhol","2010","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1850-373X2010000100008&lang=pt" 
"S1850-373X2010000100009-arg","Localidad arqueológica Paso Mayor: nuevos estudios 40 años después","Bayón, Cristina, Pupio, Alejandra, Frontini, Romina, Vecchi, Rodrigo, Scabuzzo, Clara","Intersecciones en antropología; 11(1); 115-128","Intersecciones en antropología","Espanhol","2010","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1850-373X2010000100009&lang=pt" 
"S1850-373X2010000100010-arg","Monte adentro: Aproximaciones sobre la ocupación prehispánica de la serranía de Calilegua (prov. de Jujuy)","Cruz, Pablo","Intersecciones en antropología; 11(1); 129-144","Intersecciones en antropología","Espanhol","2010","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1850-373X2010000100010&lang=pt" 
"S1850-373X2010000100011-arg","La construcción de las decisiones de internación psiquiátrica: un análisis de los argumentos psicoanalíticos y los contextos de interacción social","Mantilla, María Jimena","Intersecciones en antropología; 11(1); 145-157","Intersecciones en antropología","Espanhol","2010","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1850-373X2010000100011&lang=pt" 
"S1850-373X2010000100012-arg","Tendencias del registro lítico durante el Holoceno medio: sitio Arroyo Malo 3, alto valle del río Atuel, sur de Mendoza","Pérez Winter, Cecilia","Intersecciones en antropología; 11(1); 159-172","Intersecciones en antropología","Espanhol","2010","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1850-373X2010000100012&lang=pt" 
"S1850-373X2010000100013-arg","Los juicios orales a personas menores de edad","Graziano, Florencia, Jorolinsky, Karen","Intersecciones en antropología; 11(1); 173-184","Intersecciones en antropología","Espanhol","2010","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1850-373X2010000100013&lang=pt" 
"S1850-373X2010000100014-arg","Familias y escuelas: aportes de una investigación etnográfica a la problematización de supuestos en torno a las condiciones de escolarización infantil y la categoría &quot;familia&quot;","Cerletti, Laura Beatriz","Intersecciones en antropología; 11(1); 185-198","Intersecciones en antropología","Espanhol","2010","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1850-373X2010000100014&lang=pt" 
"S1850-373X2010000100015-arg","Personas corporativas, sociedades corporativas: conflicto, prácticas sociales e incorporación en Cruz Vinto (Norte de Lípez, Potosí, Bolivia) durante el Período de Desarrollos Regionales Tardío (1200-1450 DC)","Vaquer, José María","Intersecciones en antropología; 11(1); 199-213","Intersecciones en antropología","Espanhol","2010","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1850-373X2010000100015&lang=pt" 
"S1850-373X2010000100016-arg","Etiología y riesgo en la construcción clínica de la enfermedad VIH-sida: Ensayo de antropología de la medicina","Margulies, Susana","Intersecciones en antropología; 11(1); 215-225","Intersecciones en antropología","Espanhol","2010","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1850-373X2010000100016&lang=pt" 
