"S0798-43242012000100014-ven","Un procedimiento para construir fórmulas proposicionales tautológicas dadas las variables de funciones veritativas","Nuño, Juan A","EPISTEME; 32(1-2); 121-132","EPISTEME","Espanhol","2012","http://www.scielo.org.ve/scielo.php?script=sci_arttext&pid=S0798-43242012000100014&lang=pt" 
"S0798-43242012000100017-ven","NUÑIANAS (I) Una aproximación a platón: Rememoraciones en homenaje al profesor Juan Nuño","Bruni Celli, Blas","EPISTEME; 32(1-2); 171-180","EPISTEME","Espanhol","2012","http://www.scielo.org.ve/scielo.php?script=sci_arttext&pid=S0798-43242012000100017&lang=pt" 
"S0798-43242012000100016-ven","Valuaciones booleanas, conjuntos verdaderos, compleción y consistencia. notas a “a procedure of building up tautologous propositional formulae from given variable truth-functions” de Juan Nuño","Baceta V, Jesús F","EPISTEME; 32(1-2); 151-170","EPISTEME","Espanhol","2012","http://www.scielo.org.ve/scielo.php?script=sci_arttext&pid=S0798-43242012000100016&lang=pt" 
"S0798-43242012000100005-ven","Juan Nuño: Un Solo Compromiso, La Razón","Marulanda, Valentina","EPISTEME; 32(1-2); 23-24","EPISTEME","Espanhol","2012","http://www.scielo.org.ve/scielo.php?script=sci_arttext&pid=S0798-43242012000100005&lang=pt" 
"S0798-43242012000100002-ven","Juan Nuño. Hacia un Racionalismo Crítico","Lo Monaco, Vincenzo P","EPISTEME; 32(1-2); 05-10","EPISTEME","Espanhol","2012","http://www.scielo.org.ve/scielo.php?script=sci_arttext&pid=S0798-43242012000100002&lang=pt" 
"S0798-43242012000100001-ven","Semblanzas. El Poder del Talento","Baceta V, Jesús F","EPISTEME; 32(1-2); 01-04","EPISTEME","Espanhol","2012","http://www.scielo.org.ve/scielo.php?script=sci_arttext&pid=S0798-43242012000100001&lang=pt" 
"S0798-43242012000100007-ven","Juan Antonio Nuño Montes: Semblanza","Sánchez M, Benjamín","EPISTEME; 32(1-2); 29-36","EPISTEME","Espanhol","2012","http://www.scielo.org.ve/scielo.php?script=sci_arttext&pid=S0798-43242012000100007&lang=pt" 
"S0798-43242012000100006-ven","Palabras en el Homenaje A Juan Nuño. Auditorium de La Apuc 29 de Marzo 2012","Moros Ghersi, Carlos Alberto","EPISTEME; 32(1-2); 25-28","EPISTEME","Espanhol","2012","http://www.scielo.org.ve/scielo.php?script=sci_arttext&pid=S0798-43242012000100006&lang=pt" 
"S0798-43242012000100015-ven","Problemas de Bioética","Ñuño, Juan","EPISTEME; 32(1-2); 133-150","EPISTEME","Espanhol","2012","http://www.scielo.org.ve/scielo.php?script=sci_arttext&pid=S0798-43242012000100015&lang=pt" 
"S0798-43242012000100003-ven","J. A. Nuño: Desmitificador de Oficio","Martín, J. H.","EPISTEME; 32(1-2); 11-18","EPISTEME","Espanhol","2012","http://www.scielo.org.ve/scielo.php?script=sci_arttext&pid=S0798-43242012000100003&lang=pt" 
