"S2318-03312017000100205-scl","Compensatory alternatives for flooding control in urban areas with tidal influence in Recife - PE","Silva Junior, Marcos Antonio Barbosa da, Silva, Simone Rosa da, Cabral, Jaime Joaquim da Silva Pereira","RBRH; 22(); -","RBRH","Inglês","2017","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S2318-03312017000100205&lang=pt" 
"S0102-33062017005001108-scl","Colleters in Chamaecrista (L.) Moench sect. Chamaecrista and sect. Caliciopsis (Leguminosae-Caesalpinioideae): anatomy and taxonomic implications","Silva, Marinalva dos Santos, Coutinho, Ítalo Antônio Cotta, Araújo, Maicon Nascimento, Meira, Renata Maria Strozi Alves","Acta Botanica Brasilica; (ahead); -","Acta Botanica Brasilica","Inglês","2017","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-33062017005001108&lang=pt" 
"S2318-03312017000100210-scl","Connectivity among Wetlands of EPA of Banhado Grande, RS","Simioni, João Paulo Delapasse, Guasselli, Laurindo Antonio, Etchelar, Cecilia Balsamo","RBRH; 22(); -","RBRH","Inglês","2017","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S2318-03312017000100210&lang=pt" 
"S0102-33062017005001103-scl","Trichomes that secrete substances of a mixed nature in the vegetative and reproductive organs of some species of Moraceae","Schnetzler, Bruna Noce, Teixeira, Simone Pádua, Marinho, and Cristina Ribeiro","Acta Botanica Brasilica; (ahead); -","Acta Botanica Brasilica","Inglês","2017","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-33062017005001103&lang=pt" 
"S1676-06032017000100306-scl","Phanerogamic flora and vegetation of Itacolomi State Park, Minas Gerais, Brazil","Messias, Maria Cristina T. Braga, Sousa, Hildeberto Caldas de, Scalon, Viviane Renata, Roschel, Miriam B., Cândido, Elisa Silva, Fujaco, Maria Augusta G.","Biota Neotropica; 17(1); -","Biota Neotropica","Inglês","2017","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1676-06032017000100306&lang=pt" 
"S0102-33062017005001102-scl","Beyond pollination: diversity of secretory structures during flower development in different legume lineages","Barros, Thais Cury De, Marinho, Cristina Ribeiro, Pedersoli, Giseli Donizete, Paulino, Juliana Vilella, Teixeira, Simone Pádua","Acta Botanica Brasilica; (ahead); -","Acta Botanica Brasilica","Inglês","2017","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-33062017005001102&lang=pt" 
"S1676-06032017000100307-scl","Fishes from the Jaru Biological Reserve, Machado River drainage, Madeira River basin, Rondônia State, northern Brazil","Costa, Igor David, Ohara, Willian Massaharu, Almeida, Missilene","Biota Neotropica; 17(1); -","Biota Neotropica","Inglês","2017","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1676-06032017000100307&lang=pt" 
"S0104-11692017000100300-scl","Exploration of priority actions for strengthening the role of nurses in achieving universal health coverage","Maaitah, Rowaida Al, AbuAlRub, Raeda Fawzi","Revista Latino-Americana de Enfermagem; 25(); -","Revista Latino-Americana de Enfermagem","Inglês, Português, Espanhol","2017","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-11692017000100300&lang=pt" 
"S0034-89102017000100501-spa","Governance and mental health: contributions for public policy approach","Díaz-Castro, Lina, Arredondo, Armando, Pelcastre-Villafuerte, Blanca Estela, Hufty, Marc","Revista de Saúde Pública; 51(); -","Revista de Saúde Pública","Inglês","2017","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0034-89102017000100501&lang=pt" 
"S0104-11692017000100305-scl","Educational intervention in Primary Care for the prevention of congenital syphilis","Lazarini, Flaviane Mello, Barbosa, Dulce Aparecida","Revista Latino-Americana de Enfermagem; 25(); -","Revista Latino-Americana de Enfermagem","Inglês, Português, Espanhol","2017","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-11692017000100305&lang=pt" 
"S0103-84782017000300301-scl","Influence of water regime on initial growth and essential oil of Eucalyptus globulus","Queiroz, Túlio Barroso, Pereira, Nayara Natacha de Jesus, Silva, Júlio Cesar Rodrigues Lopes, Fonseca, Francine Souza Alves da, Martins, Ernane Ronie","Ciência Rural; 47(3); -","Ciência Rural","Inglês","2017","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-84782017000300301&lang=pt" 
