"S1678-77572013000500460-scl","Oral squamous cell carcinoma: clinicopathological features from 346 cases from a single Oral Pathology service during an 8-year period","Pires, Fabio Ramoa, Ramos, Amanda Barreto, Oliveira, Jade Bittencourt Coutinho de, Tavares, Amanda Serra, Luz, Priscilla Silva Ribeiro da, Santos, Teresa Cristina Ribeiro Bartholomeu dos","Journal of Applied Oral Science; 21(5); 460-467","Journal of Applied Oral Science","Inglês","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1678-77572013000500460&lang=pt" 
"S1678-77572013000500397-scl","Importance of a distal proximal contact on load transfer by implant-supported single adjacent crowns in posterior region of the mandible: a photoelastic study","Aguiar Junior, Fabio Afranio de, Tiossi, Rodrigo, Macedo, Ana Paula, Mattos, Maria da Gloria Chiarello de, Ribeiro, Ricardo Faria, Rodrigues, Renata Cristina Silveira","Journal of Applied Oral Science; 21(5); 397-402","Journal of Applied Oral Science","Inglês","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1678-77572013000500397&lang=pt" 
"S1678-77572013000500409-scl","Etidronate from Medicine to Endodontics: effects of different irrigation regimes on root dentin roughness","Tartari, Talita, Duarte Junior, Anivaldo Pereira, Silva Junior, Jose Otavio Carrera, Klautau, Eliza Burlamaqui, Souza Junior, Mario Honorato Silva e, Souza Junior, Patricia de Almeida Rodrigues Silva e","Journal of Applied Oral Science; 21(5); 409-415","Journal of Applied Oral Science","Inglês","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1678-77572013000500409&lang=pt" 
"S1678-77572013000500490-scl","Mandibular metastasis of adenocarcinoma from prostate cancer: case report according to epidemiology and current therapeutical trends of the advanced prostate cancer","Menezes, Juliana Dreyer da Silva de, Cappellari, Pietro Franchon Marques, Capelari, Marcos Mauricio, Goncalves, Paulo Zupelari, Toledo, Gustavo Lopes, Filho, Joao Lopes Toledo, Sales-Peres, Arsenio, Marzola, Clovis","Journal of Applied Oral Science; 21(5); 490-495","Journal of Applied Oral Science","Inglês","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1678-77572013000500490&lang=pt" 
"S1806-11172013000300003-scl","O oscilador harmônico singular revisitado","Pimentel, Douglas R.M., Castro, Antonio S. de","Revista Brasileira de Ensino de Física; 35(3); -","Revista Brasileira de Ensino de Física","Português","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1806-11172013000300003&lang=pt" 
"S1806-11172013000300004-scl","Vórtices no estacionarios en un vaso de agua","Manjón, F.J., Villalba, J.M., Arribas, E., Nájera, A., Beléndez, A., Monsoriu, J.A.","Revista Brasileira de Ensino de Física; 35(3); -","Revista Brasileira de Ensino de Física","Espanhol","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1806-11172013000300004&lang=pt" 
"S1806-11172013000300009-scl","Decréscimos magnéticos no meio interplanetário","Costa Junior, Edio da, Alves, Maria Virgínia, Echer, Ezequiel","Revista Brasileira de Ensino de Física; 35(3); -","Revista Brasileira de Ensino de Física","Português","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1806-11172013000300009&lang=pt" 
"S1806-11172013000300011-scl","Modelo esférico quântico elementar","Bienzobaz, P.F., Salinas, S.R.","Revista Brasileira de Ensino de Física; 35(3); -","Revista Brasileira de Ensino de Física","Português","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1806-11172013000300011&lang=pt" 
"S1806-11172013000300016-scl","Andar ou correr na chuva: um problema não-trivial","Patriota, Henrique, Bertuola, Alberto Carlos, Peixoto, Paulo","Revista Brasileira de Ensino de Física; 35(3); -","Revista Brasileira de Ensino de Física","Português","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1806-11172013000300016&lang=pt" 
"S1806-11172013000300017-scl","Uma abordagem didática da natureza dos processos de aquecimento da atmosfera estelar","Nelson, Osman Rosso","Revista Brasileira de Ensino de Física; 35(3); -","Revista Brasileira de Ensino de Física","Português","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1806-11172013000300017&lang=pt" 
"S1806-11172013000300020-scl","Construção de conceitos de eletricidade nos anos iniciais do Ensino Fundamental com uso de experimentação virtual","Lima, Sorandra Corrêa de, Takahashi, Eduardo Kojy","Revista Brasileira de Ensino de Física; 35(3); -","Revista Brasileira de Ensino de Física","Português","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1806-11172013000300020&lang=pt" 
"S1806-11172013000300026-scl","Max Planck e os enunciados da segunda lei da termodinâmica","Nóbrega, M.L., Freire Jr., O., Pinho, S.T.R.","Revista Brasileira de Ensino de Física; 35(3); -","Revista Brasileira de Ensino de Física","Português","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1806-11172013000300026&lang=pt" 
"S1806-11172013000300027-scl","Consequências das descontextualizações em um livro didático: uma análise do tema radioatividade","Cordeiro, Marinês Domingues, Peduzzi, Luiz O. Q.","Revista Brasileira de Ensino de Física; 35(3); -","Revista Brasileira de Ensino de Física","Português","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1806-11172013000300027&lang=pt" 
"S1806-11172013000300028-scl","As contribuições de John Clauser para o primeiro teste experimental do teorema de Bell: uma análise das técnicas e da cultura material","Bispo, Wilson Fábio de Oliveira, David, Denis Francis Gilbert, Freire Jr., Olival","Revista Brasileira de Ensino de Física; 35(3); -","Revista Brasileira de Ensino de Física","Português","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1806-11172013000300028&lang=pt" 
"S1806-11172013000300029-scl","Função de Wigner-80 anos e as origens da geometria não-comutativa","Amorim, R.G.G., Fernandes, M.C.B., Queiroz, A.R., Santana, A.E., Viana, J.D.M.","Revista Brasileira de Ensino de Física; 35(3); -","Revista Brasileira de Ensino de Física","Português","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1806-11172013000300029&lang=pt" 
"S1413-294X2013000300001-scl","Julgamentos de infidelidade: um estudo exploratório dos seus determinantes","Viegas, Thaysa, Moreira, João Manuel","Estudos de Psicologia (Natal); 18(3); 411-418","Estudos de Psicologia (Natal)","Português","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-294X2013000300001&lang=pt" 
"S1413-294X2013000300002-scl","Gestantes portadoras de HIV/AIDS: aspectos psicológicos sobre a prevenção da transmissão vertical","Cartaxo, Charmênia Maria Braga, Nascimento, Carlos Alberto Domingues do, Diniz, Cinthia Martins Menino, Brasil, Danyelle Rodrigues Pinheiro de Araujo, Silva, Iris Fátima da","Estudos de Psicologia (Natal); 18(3); 419-427","Estudos de Psicologia (Natal)","Português","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-294X2013000300002&lang=pt" 
"S1413-294X2013000300005-scl","Ser adolescente e ser pai/mãe: gravidez adolescente em uma amostra brasileira","dei Schiro, Eva Diniz Bensaja, Koller, Silvia Helena","Estudos de Psicologia (Natal); 18(3); 447-455","Estudos de Psicologia (Natal)","Português","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-294X2013000300005&lang=pt" 
"S1413-294X2013000300007-scl","Jovens e metas para o futuro: uma revisão crítica da literatura","Ramos, Dandara de Oliveira, Seidl-de-Moura, Maria Lucia, Pessôa, Luciana Fontes","Estudos de Psicologia (Natal); 18(3); 467-475","Estudos de Psicologia (Natal)","Português","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-294X2013000300007&lang=pt" 
"S1413-294X2013000300009-scl","Ambientes restauradores: definição, histórico, abordagens e pesquisas","Gressler, Sandra Christina, Günther, Isolda de Araújo","Estudos de Psicologia (Natal); 18(3); 487-495","Estudos de Psicologia (Natal)","Português","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-294X2013000300009&lang=pt" 
"S1413-294X2013000300011-scl","Produção científica sobre adoção por casais homossexuais no contexto brasileiro","Cecílio, Mariana Silva, Scorsolini-Comin, Fabio, Santos, Manoel Antônio dos","Estudos de Psicologia (Natal); 18(3); 507-516","Estudos de Psicologia (Natal)","Português","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-294X2013000300011&lang=pt" 
"S1413-294X2013000300012-scl","O desenvolvimento das habilidades sociais em idosos e sua relação na satisfação com a vida","Carneiro, Rachel Shimba, Falcone, Eliane Mary de Oliveira","Estudos de Psicologia (Natal); 18(3); 518-526","Estudos de Psicologia (Natal)","Português","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-294X2013000300012&lang=pt" 
"S1413-294X2013000300003-scl","Depressão materna e riscos para o comportamento e a saúde mental das crianças: uma revisão","Pizeta, Fernanda Aguiar, Silva, Thaysa Brinck Fernandes, Cartafina, Maria Isabela Brasil, Loureiro, Sonia Regina","Estudos de Psicologia (Natal); 18(3); 429-437","Estudos de Psicologia (Natal)","Português","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1413-294X2013000300003&lang=pt" 
"S1809-98232013000300003-scl","Tradução, adaptação cultural e validação de uma escala para aferir limitação da atividade de subir e descer escadas","Mello, Paula Macedo Sant&#039;Anna de, Silva, Anni Amorelli da, Gonçalves, Priscila Pereira, Santos, Nathalia Lima Rosário dos, Toledano, Mariana, Mendes, Priscila Wane, Maciel, Marcella Haddad de Carvalho, Franzoi, Ana Cristina","Revista Brasileira de Geriatria e Gerontologia; 16(3); 433-441","Revista Brasileira de Geriatria e Gerontologia","Português","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1809-98232013000300003&lang=pt" 
"S1809-98232013000300005-scl","Efeitos do exercício na redução do risco de quedas em mulheres idosas com osteoporose","Teixeira, Lucas Emmanuel Pedro de Paiva, Peccin, Maria Stella, Silva, Kelson Nonato Gomes da, Oliveira, Aline Mizusaki Imoto de, Teixeira, Tiago José de Paiva, Costa, Joelma Magalhães da, Trevisani, Virgínia Fernandes Moça","Revista Brasileira de Geriatria e Gerontologia; 16(3); 461-471","Revista Brasileira de Geriatria e Gerontologia","Português","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1809-98232013000300005&lang=pt" 
"S1809-98232013000300006-scl","Avaliação da qualidade de vida de idosos em um município do Sul do Brasil","Linden Junior, Eduardo, Trindade, Jorge Luiz de Andrade","Revista Brasileira de Geriatria e Gerontologia; 16(3); 473-479","Revista Brasileira de Geriatria e Gerontologia","Português","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1809-98232013000300006&lang=pt" 
"S1809-98232013000300007-scl","Prevalência e fatores associados à hipertensão arterial em idosos de municípios da Amazônia Legal, MT","Esperandio, Eliane Maria, Espinosa, Mariano Martinez, Martins, Maria Silvia Amicucci, Guimarães, Lenir Vaz, Lopes, Maria Aparecida de Lima, Scala, Luiz César Nazário","Revista Brasileira de Geriatria e Gerontologia; 16(3); 481-493","Revista Brasileira de Geriatria e Gerontologia","Português","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1809-98232013000300007&lang=pt" 
"S1809-98232013000300008-scl","Efeitos da estimulação diafragmática elétrica transcutânea na função pulmonar em idosos","Santos, Laisa Antonela dos, Borgi, Juliana Rabechi, Daister, Jorge Luiz Nogueira, Pazzianotto-Forti, Eli Maria","Revista Brasileira de Geriatria e Gerontologia; 16(3); 495-502","Revista Brasileira de Geriatria e Gerontologia","Português","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1809-98232013000300008&lang=pt" 
"S1809-98232013000300009-scl","Doença de Parkinson em idosos: ingestão alimentar e estado nutricional","Morais, Maite Barcelos, Fracasso, Bianca de Moraes, Busnello, Fernanda Michielin, Mancopes, Renata, Rabito, Estela Iraci","Revista Brasileira de Geriatria e Gerontologia; 16(3); 503-511","Revista Brasileira de Geriatria e Gerontologia","Português","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1809-98232013000300009&lang=pt" 
"S1809-98232013000300011-scl","Effects of a group-based exercise program on muscle strength and postural control among community-dwelling elderly women: a randomized-controlled trial","Aveiro, Mariana Chaves, Driusso, Patricia, Santos, Julia Gianjoppe dos, Kiyoto, Viviane Dassi, Oishi, Jorge","Revista Brasileira de Geriatria e Gerontologia; 16(3); 527-540","Revista Brasileira de Geriatria e Gerontologia","Inglês","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1809-98232013000300011&lang=pt" 
"S1809-98232013000300012-scl","Estudo da acessibilidade de idosos ao centro da cidade de Caratinga, MG","Freire Júnior, Renato Campos, Arêas, Guilherme Peixoto Tinoco, Arêas, Fernando Zanela da Silva, Barbosa, Luis Guilherme","Revista Brasileira de Geriatria e Gerontologia; 16(3); 541-558","Revista Brasileira de Geriatria e Gerontologia","Português","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1809-98232013000300012&lang=pt" 
"S1809-98232013000300013-scl","Perfil das instituições de longa permanência para idosos em uma cidade no estado de São Paulo","Cornélio, Graziela Félix, Godoy, Ilda de","Revista Brasileira de Geriatria e Gerontologia; 16(3); 559-568","Revista Brasileira de Geriatria e Gerontologia","Português","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1809-98232013000300013&lang=pt" 
