"S1517-75992014000100019-scl","A obra de Elomar Figueira Mello: contexto e estilo além do popular e do erudito","Ribeiro, Eduardo de Carvalho","Per Musi; (29); 185-194","Per Musi","Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1517-75992014000100019&lang=pt" 
"S1517-75992014000100018-scl","A Bossa Nova e a música cearense dos anos 70","Costa, Nelson Barros da, Mendes, Maria das Dores Nogueira","Per Musi; (29); 176-184","Per Musi","Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1517-75992014000100018&lang=pt" 
"S1517-75992014000100016-scl","A linhagem samba-bossa-MPB: sobre a construção de um discurso de tradição da música popular brasileira","Baia, Silvano Fernandes","Per Musi; (29); 154-168","Per Musi","Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1517-75992014000100016&lang=pt" 
"S1517-75992014000100007-scl","Texto-música-imagem de Elis Regina: uma análise de Ladeira da Preguiça, de Gilberto Gil e Atrás da porta, de Chico Buarque e Francis Hime","Borém, Fausto, Taglianetti, Ana Paula","Per Musi; (29); 53-69","Per Musi","Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1517-75992014000100007&lang=pt" 
"S1517-75992014000100012-scl","O Modalismo em alguns compositores da música popular do Brasil pós Bossa Nova","Tiné, Paulo José de Siqueira","Per Musi; (29); 110-116","Per Musi","Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1517-75992014000100012&lang=pt" 
"S1517-75992014000100011-scl","Verbo fálico: sobre o erotismo divino na canção Sobre todas as coisas de Chico Buarque e Edu Lobo","Soares, Márcio Ronei Cravo","Per Musi; (29); 103-109","Per Musi","Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1517-75992014000100011&lang=pt" 
"S1517-75992014000100010-scl","Palavra escrita (Bilac, Iessiênin e Augusto de Campos) e palavra cantada (Toquinho e Belchior): aspectos estilísticos do poema e da canção na Literatura e na MPB","Carlos, Josely Teixeira","Per Musi; (29); 86-102","Per Musi","Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1517-75992014000100010&lang=pt" 
"S0100-879X2014000600522-scl","Successful domino liver transplantation in maple syrup urine disease using a related living donor","Feier, F.H., Miura, I.K., Fonseca, E.A., Porta, G., Pugliese, R., Porta, A., Schwartz, I.V.D., Margutti, A.V.B., Camelo Jr, J.S., Yamaguchi, S.N., Taveira, A.T., Candido, H., Benavides, M., Danesi, V., Guimaraes, T., Kondo, M., Chapchap, P., Neto, J. Seda","Brazilian Journal of Medical and Biological Research; 47(6); 522-526","Brazilian Journal of Medical and Biological Research","Inglês","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-879X2014000600522&lang=pt" 
"S1517-75992014000100015-scl","Convenções e invenções em torno da tópica 5 - #5 - 6 no processo musical nacionalista no Brasil","Farias, George Manoel","Per Musi; (29); 147-153","Per Musi","Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1517-75992014000100015&lang=pt" 
"S1807-86212014000200008-scl","Automated image analysis of seedlings for vigor evaluation of common bean seeds","Gomes Junior, Francisco Guilhien, Chamma, Helena Maria Carmignani Pescarin, Cicero, Silvio Moure","Acta Scientiarum. Agronomy; 36(2); 195-200","Acta Scientiarum. Agronomy","Inglês","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1807-86212014000200008&lang=pt" 
"S0213-91112014000300014-esp","Autopercepción de salud general y mortalidad en adultos mayores","Moreno, Ximena, Huerta, Martín, Albala, Cecilia","Gaceta Sanitaria; 28(3); 246-252","Gaceta Sanitaria","Espanhol","2014","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0213-91112014000300014&lang=pt" 
"S1645-91992014000200008-prt","A Grande Guerra e a ascensão da Ásia: a China e o Japão","Vaz-Pinto, Raquel","Relações Internacionais (R:I); (42); 107-116","Relações Internacionais (R:I)","Português","2014","http://www.scielo.mec.pt/scielo.php?script=sci_arttext&pid=S1645-91992014000200008&lang=pt" 
"S1645-91992014000200007-prt","Revisitando os Balcãs no Centenário","Šarenac, Danilo","Relações Internacionais (R:I); (42); 95-106","Relações Internacionais (R:I)","Português","2014","http://www.scielo.mec.pt/scielo.php?script=sci_arttext&pid=S1645-91992014000200007&lang=pt" 
"S1645-91992014000200005-prt","A Grande Guerra e as relações internacionais de Portugal: Da Monarquia à República","Castaño, David","Relações Internacionais (R:I); (42); 63-77","Relações Internacionais (R:I)","Português","2014","http://www.scielo.mec.pt/scielo.php?script=sci_arttext&pid=S1645-91992014000200005&lang=pt" 
