"S1870-35502012000200006-mex","La migración a Estados Unidos: una visión del primer decenio del siglo XXI","Herrera Lima, Fernando F.","Norteamérica; 7(2); 171-197","Norteamérica","Espanhol","2012","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S1870-35502012000200006&lang=pt" 
"S1870-35502012000200007-mex","The Spectacle of Drug Violence: American Public Discourse, Media, and Border Enforcement in the Texas-Tamaulipas Border Region During Drug-War Times","Correa-Cabrera, Guadalupe","Norteamérica; 7(2); 199-220","Norteamérica","Inglês","2012","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S1870-35502012000200007&lang=pt" 
"S0798-07522012000200008-ven","Educando en alimentación y nutrición","","Anales Venezolanos de Nutrición; 25(2); 104-105","Anales Venezolanos de Nutrición","Espanhol","2012","http://www.scielo.org.ve/scielo.php?script=sci_arttext&pid=S0798-07522012000200008&lang=pt" 
"S0798-07522012000200001-ven","Los pasos del Dr. José María Bengoa","Sifontes, Yaritza","Anales Venezolanos de Nutrición; 25(2); 54-54","Anales Venezolanos de Nutrición","Espanhol","2012","http://www.scielo.org.ve/scielo.php?script=sci_arttext&pid=S0798-07522012000200001&lang=pt" 
"S0798-07522012000200002-ven","Perfil clínico - metabólico relacionado con el riesgo cardiovascular en adolescentes escolarizados de Barquisimeto, Venezuela","Morales, Adaucio, Montilva, Mariela","Anales Venezolanos de Nutrición; 25(2); 55-63","Anales Venezolanos de Nutrición","Espanhol","2012","http://www.scielo.org.ve/scielo.php?script=sci_arttext&pid=S0798-07522012000200002&lang=pt" 
"S0798-07522012000200003-ven","Consumo de alimentos, factores socioeconómicos y anemia en mujeres gestantes","Quintero de Rivas, Yurimay, Bastardo, Gladys, Angarita, Coromoto, Paoli, Mariela, Sanz, Belquis, Rojas, Lizbeth, Da Silva, Glenda, Rodríguez, Lelis","Anales Venezolanos de Nutrición; 25(2); 64-72","Anales Venezolanos de Nutrición","Espanhol","2012","http://www.scielo.org.ve/scielo.php?script=sci_arttext&pid=S0798-07522012000200003&lang=pt" 
"S0798-07522012000200006-ven","El aceite canola y sus efectos en la salud","Giacopini de Zambrano, María Isabel","Anales Venezolanos de Nutrición; 25(2); 94-99","Anales Venezolanos de Nutrición","Espanhol","2012","http://www.scielo.org.ve/scielo.php?script=sci_arttext&pid=S0798-07522012000200006&lang=pt" 
"S0798-07522012000200007-ven","Laboratorio de Evaluación Nutricional Universidad Simón Bolívar (LEN-USB) mas de 20 años de fundado","Hernández H, Rosa A","Anales Venezolanos de Nutrición; 25(2); 100-103","Anales Venezolanos de Nutrición","Espanhol","2012","http://www.scielo.org.ve/scielo.php?script=sci_arttext&pid=S0798-07522012000200007&lang=pt" 
"S0798-07522012000200004-ven","El Derecho a la Alimentación en Venezuela","Landaeta-Jiménez, Maritza, Aliaga, Carla, Sifontes, Yaritza, Herrera, Marianella, Candel, Yngrid, Delgado Blanco, Andy, Díaz Polanco, Jorge, Angarita, Coromoto, Quintero, Yurimay, Bastardo, Gladys, Herrera, Héctor, Hernández, Rosa, Bernal, Jennifer, Montilva, Mariela, Martínez, Nixa","Anales Venezolanos de Nutrición; 25(2); 73-84","Anales Venezolanos de Nutrición","Espanhol","2012","http://www.scielo.org.ve/scielo.php?script=sci_arttext&pid=S0798-07522012000200004&lang=pt" 
"S0798-07522012000200005-ven","Helicobacter pylori: Rol del agua y los alimentos en su transmisión","Palomino Camargo, Carolina, Tomé Boschian, Elisabetta","Anales Venezolanos de Nutrición; 25(2); 85-93","Anales Venezolanos de Nutrición","Espanhol","2012","http://www.scielo.org.ve/scielo.php?script=sci_arttext&pid=S0798-07522012000200005&lang=pt" 
"S0798-72692012000400003-ven","Prevalencia de la Leptospirosis bovina sector norte del municipio Manuel Monge del estado Yaracuy periodo agosto-septiembre de 2008","Gutiérrez, María, Medina, Carlos, Mosquera, Ortelio, Mujica, Franklin, Quijada, Tony","Zootecnia Tropical; 30(4); 327-334","Zootecnia Tropical","Espanhol","2012","http://www.scielo.org.ve/scielo.php?script=sci_arttext&pid=S0798-72692012000400003&lang=pt" 
"S0798-72692012000400007-ven","Biometría del volador Dactylopterus volitans (Linnaeus; 1758) (Pisces: Dactylopteridae) de los alrededores de la isla de Cubagua, Venezuela","Lanza B, Noel, Longart R, Yelipza, Acosta, Vanesa, Parra, Berta","Zootecnia Tropical; 30(4); 361-368","Zootecnia Tropical","Espanhol","2012","http://www.scielo.org.ve/scielo.php?script=sci_arttext&pid=S0798-72692012000400007&lang=pt" 
"S0798-72692012000400005-ven","Evaluación preliminar del Yacure Pithecellobium dulce en raciones para cabras en crecimiento confinadas","Nouel-Borges, Gustavo, Rincón-González, José, Tovar, Yuri, Rojas, Jesús, Sánchez- Blanco, Roseliano","Zootecnia Tropical; 30(4); 343-350","Zootecnia Tropical","Espanhol","2012","http://www.scielo.org.ve/scielo.php?script=sci_arttext&pid=S0798-72692012000400005&lang=pt" 
"S0798-72692012000400008-ven","Efecto de la altura y frecuencia de corte sobre la producción de materia seca y proteína cruda de Tithonia diversifolia (Hemsl) A. Gray","Lugo Soto, Maria, Molina, Francelina, González, Ignacio, González, Johan, Sánchez, Eudomar","Zootecnia Tropical; 30(4); 369-382","Zootecnia Tropical","Espanhol","2012","http://www.scielo.org.ve/scielo.php?script=sci_arttext&pid=S0798-72692012000400008&lang=pt" 
"S0798-72692012000400002-ven","Evaluación de las buenas prácticas de fabricación del queso blanco en seis distribuidores del estado Lara","Vásquez Otalvora, Nubia Carolina, Duran, Luis, Sánchez, Cecilia, Acevedo, Iria","Zootecnia Tropical; 30(4); 317-326","Zootecnia Tropical","Espanhol","2012","http://www.scielo.org.ve/scielo.php?script=sci_arttext&pid=S0798-72692012000400002&lang=pt" 
"S0798-72692012000400001-ven","Granulometria do calcário: desempenho e qualidade dos ovos de poedeiras em final de produção","Garcia, Elis Regina de Moraes, Batista, Natália Ramos, da Cruz, Flávia Kleszcz, Filho, João Antonio Barbosa","Zootecnia Tropical; 30(4); 311-316","Zootecnia Tropical","Português","2012","http://www.scielo.org.ve/scielo.php?script=sci_arttext&pid=S0798-72692012000400001&lang=pt" 
"S0798-72692012000400006-ven","Crecimiento del hibrido Cachamoto (Colossoma Macropomum x Piaractus Brachypomus) en un sistema de recirculación de agua","López, Pedro, Anzoátegui, Denny","Zootecnia Tropical; 30(4); 351-360","Zootecnia Tropical","Espanhol","2012","http://www.scielo.org.ve/scielo.php?script=sci_arttext&pid=S0798-72692012000400006&lang=pt" 
"S0798-72692012000400004-ven","Comparación del peso desde el nacimiento hasta el destete de terneros de biotipos Braford y cuarterones en la región del NEA, Argentina","Schindler, Valeria, Feola, Ignacio","Zootecnia Tropical; 30(4); 335-342","Zootecnia Tropical","Espanhol","2012","http://www.scielo.org.ve/scielo.php?script=sci_arttext&pid=S0798-72692012000400004&lang=pt" 
"S1688-03902012000400006-ury","Trastornos respiratorios del sueño: guías clínicas para el diagnóstico y tratamiento","Arcos, José P, López, Victorina, Musetti, Ana, Mamchur, Mónica, Gutiérrez, Martha, Otaño, Nancy, Umpiérrez, Ana, Chiappella, Lilián, Frattini, Rosana, Barros, Alicia, Lorenzo, Daniel, Rodríguez, Zulma, Buño, Ana Graciela, Irrazábal, Ernesto, Pereda, Gustavo, Penela, Magdalena, Baz, Manuel","Revista Médica del Uruguay; 28(4); 274-308","Revista Médica del Uruguay","Espanhol","2012","http://www.scielo.edu.uy/scielo.php?script=sci_arttext&pid=S1688-03902012000400006&lang=pt" 
