"S2224-78902015000300016-sza","A two-phased multi-criteria decision-making approach for selecting the best smartphone","Yildiz, A., Ergul, E.U.","South African Journal of Industrial Engineering; 26(3); 194-215","South African Journal of Industrial Engineering","Inglês","2015","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S2224-78902015000300016&lang=pt" 
"S2224-78902015000300011-sza","Technology orientation and effectuation - Links to firm performance in the renewable energy sector of South Africa","Urban, B., Heydenrych, J.","South African Journal of Industrial Engineering; 26(3); 125-136","South African Journal of Industrial Engineering","Inglês","2015","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S2224-78902015000300011&lang=pt" 
"S2224-78902015000300004-sza","Production uncertainties modelling by Bayesian inference using Gibbs sampling","Azizi, A., bin Ali, A.Y., Ping, L.W., Mohammadzadeh, M.","South African Journal of Industrial Engineering; 26(3); 27-40","South African Journal of Industrial Engineering","Inglês","2015","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S2224-78902015000300004&lang=pt" 
"S2224-78902015000300002-sza","Validation of training priorities of engineers in the platinum mining industry in South Africa","Motsoeneng, D., Schultz, C., Bezuidenhout, A.","South African Journal of Industrial Engineering; 26(3); 1-11","South African Journal of Industrial Engineering","Inglês","2015","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S2224-78902015000300002&lang=pt" 
"S2224-78902015000300001-sza","Note from the Editor","Schutte, C.S.L.","South African Journal of Industrial Engineering; 26(3); iii-iii","South African Journal of Industrial Engineering","Inglês","2015","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S2224-78902015000300001&lang=pt" 
"S2224-78902015000300015-sza","The applicability of the Centeno, Chaudhary and Lopez repair time standard methodology in a rail maintenance environment","Rommelspacher, K.O., Fourie, C.J.","South African Journal of Industrial Engineering; 26(3); 183-193","South African Journal of Industrial Engineering","Inglês","2015","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S2224-78902015000300015&lang=pt" 
"S2224-78902015000300007-sza","Estimating the continuous risk of accidents occurring in the mining industry in South Africa","van den Honert, A.F., Vlok, P.J.","South African Journal of Industrial Engineering; 26(3); 71-85","South African Journal of Industrial Engineering","Inglês","2015","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S2224-78902015000300007&lang=pt" 
"S2224-78902015000300012-sza","Effect of milling strategy and tool geometry on machining cost when cutting titanium alloys","Conradie, P.J.T., Oosthuizen, G.A., Dimitrov, D.M., Saxer, M.","South African Journal of Industrial Engineering; 26(3); 137-151","South African Journal of Industrial Engineering","Inglês","2015","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S2224-78902015000300012&lang=pt" 
"S2224-78902015000300008-sza","Peculiarities of single track formation from TI6AL4V alloy at different laser power densities by selective laser melting","Yadroitsava, I., Els, J., Booysen, G., Yadroitsev, I.","South African Journal of Industrial Engineering; 26(3); 86-95","South African Journal of Industrial Engineering","Inglês","2015","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S2224-78902015000300008&lang=pt" 
"S2224-78902015000300010-sza","Cluster development in the SA tooling industry","von Leipzig, K., Dimitrov, D.","South African Journal of Industrial Engineering; 26(3); 110-124","South African Journal of Industrial Engineering","Inglês","2015","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S2224-78902015000300010&lang=pt" 
"S2224-78902015000300003-sza","The relationship between project management office maturity and organisational project management maturity: An empirical study of the South African government infrastructure departments","Khalema, L.S., van Waveren, C.C., Chan, K.-Y.","South African Journal of Industrial Engineering; 26(3); 12-26","South African Journal of Industrial Engineering","Inglês","2015","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S2224-78902015000300003&lang=pt" 
"S2224-78902015000300006-sza","Model and algorithms of the fuzzy three-dimensional axial assignment problem with an additional constraint","Lin, C.-J., Ma, K.-T.","South African Journal of Industrial Engineering; 26(3); 54-70","South African Journal of Industrial Engineering","Inglês","2015","http://www.scielo.org.za/scielo.php?script=sci_arttext&pid=S2224-78902015000300006&lang=pt" 
"S0718-22282015000200005-chl","Condicionamiento Cultural del MACI: Un Examen del Sesgo de Constructo en Chile","Saiz, José L, Vinet, Eugenia V, Barrera-Herrera, Ana","Psykhe (Santiago); 24(2); 1-10","Psykhe (Santiago)","Espanhol","2015","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-22282015000200005&lang=pt" 
"S0718-22282015000200011-chl","The Meaning of and Proposals for Latin-American Cooperation in Psychology","Garcia, Agnaldo, Acevedo-Triana, César Andrés, López-López, Wilson","Psykhe (Santiago); 24(2); 1-12","Psykhe (Santiago)","Inglês","2015","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-22282015000200011&lang=pt" 
"S0718-22282015000200008-chl","Reading Comprehension in Children With Specific Language Impairment: An Exploratory Study of Linguistic and Decoding Skills","Coloma, Carmen Julia, Silva, Macarena, Palma, Sandra, Holtheuer, Carolina","Psykhe (Santiago); 24(2); 1-8","Psykhe (Santiago)","Inglês","2015","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-22282015000200008&lang=pt" 
"S0718-22282015000200001-chl","Introducción a la Sección Especial","Saiz, José L","Psykhe (Santiago); 24(2); 1-2","Psykhe (Santiago)","Espanhol","2015","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-22282015000200001&lang=pt" 
