"S0120-35842013000200007-col","El uso de encajes en un marco de política monetaria óptima","Vargas, Hernando, Cardozo, Pamela","Desarrollo y Sociedad; (72); 225-257","Desarrollo y Sociedad","Espanhol","2013","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0120-35842013000200007&lang=pt" 
"S0120-35842013000200006-col","Retornos a la educación y migración rural-urbana en Colombia","Vargas Urrutia, Beatriz","Desarrollo y Sociedad; (72); 205-223","Desarrollo y Sociedad","Espanhol","2013","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0120-35842013000200006&lang=pt" 
"S0120-35842013000200005-col","Subempleo por ingresos y funcionamiento del mercado de trabajo en Colombia","Arango, Luis Eduardo, Escobar, Diana Carolina, Monsalve, Emma Mercedes","Desarrollo y Sociedad; (72); 157-203","Desarrollo y Sociedad","Espanhol","2013","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0120-35842013000200005&lang=pt" 
"S0120-35842013000200004-col","Segmentación del mercado de trabajo en la Argentina","Paz, Jorge","Desarrollo y Sociedad; (72); 105-156","Desarrollo y Sociedad","Espanhol","2013","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0120-35842013000200004&lang=pt" 
"S0120-35842013000200003-col","Crecimiento económico y transición demográfica: un modelo y el caso colombiano de los siglos XIX y XX","Posada, Carlos Esteban","Desarrollo y Sociedad; (72); 71-104","Desarrollo y Sociedad","Espanhol","2013","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0120-35842013000200003&lang=pt" 
"S0120-35842013000200002-col","Tropical Economic Miracles","Rodríguez Acosta, Mauricio","Desarrollo y Sociedad; (72); 11-69","Desarrollo y Sociedad","Inglês","2013","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0120-35842013000200002&lang=pt" 
"S0120-35842013000200001-col","","Zuleta González, Hernando","Desarrollo y Sociedad; (72); 7-9","Desarrollo y Sociedad","Espanhol","2013","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0120-35842013000200001&lang=pt" 
"S0120-35842013000200008-col","Desaceleración económica e inflación de activos financieros en Colombia","Clavijo Muñoz, Mateo","Desarrollo y Sociedad; (72); 259-299","Desarrollo y Sociedad","Espanhol","2013","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0120-35842013000200008&lang=pt" 
"S0186-03482013000300010-mex","Los dos príncipes: Juan D. Perón y Getulio Vargas: Un estudio comparado del populismo latinoamericano","Funkner, Mariana Elisabet","Secuencia; (87); 209-212","Secuencia","Espanhol","2013","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0186-03482013000300010&lang=pt" 
"S0186-03482013000300011-mex","Economía global: De los agitados años veinte a la primera crisis mundial del siglo XXI","Magaña Zepeda, Aline","Secuencia; (87); 212-217","Secuencia","Espanhol","2013","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0186-03482013000300011&lang=pt" 
"S2071-00542013000400009-cub","Análisis del potencial de uso de las tierras de la Unidad Básica de Producción Cooperativa “La Julia” para la explotación agrícola sostenible","Herrera Blen, Lázaro, Vargas Rodríguez, Heriberto, Torres Menéndez, Fabienne","Revista Ciencias Técnicas Agropecuarias; 22(4); 55-59","Revista Ciencias Técnicas Agropecuarias","Espanhol","2013","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S2071-00542013000400009&lang=pt" 
