"S0717-71942005000100018-chl","CARLOS MÉNDEZ NOTARI, Héroes del Silencio. Los Veteranos de la Guerra del Pacífico (1884-1924)","HOME VALENZUELA, DAVID","Historia (Santiago); 38(1); 201-204","Historia (Santiago)","Espanhol","2005","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-71942005000100018&lang=pt" 
"S0717-71942005000100019-chl","GENERAL MARIANO NAVARRETE, Mi actuación en las revoluciones de 1924 y 1925","ARANCIBIA CLAVEL, ROBERTO","Historia (Santiago); 38(1); 204-208","Historia (Santiago)","Espanhol","2005","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-71942005000100019&lang=pt" 
"S0717-71942005000100020-chl","CARLOS PARDO-FIGUEROA THAYS y JOSEPH DAGER ALVA (eds.), El virrey Amat y su tiempo","VALENZUELA MÁRQUEZ, JAIME","Historia (Santiago); 38(1); 208-213","Historia (Santiago)","Espanhol","2005","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-71942005000100020&lang=pt" 
"S0717-71942005000100021-chl","","FERMANDOIS, JOAQUÍN","Historia (Santiago); 38(1); 213-216","Historia (Santiago)","Espanhol","2005","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-71942005000100021&lang=pt" 
"S0717-71942005000100022-chl","RAFAEL SAGREDO BAEZA y JOSÉ IGNACIO GONZÁLEZ LEIVA, La Expedición Malaspina en la frontera Austral del Imperio Español","MARTINIC BEROS, MATEO","Historia (Santiago); 38(1); 216-224","Historia (Santiago)","Espanhol","2005","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-71942005000100022&lang=pt" 
"S0717-71942005000100023-chl","VERÓNICA VALDIVIA ORTIZ DE ZÁRATE, El golpe después del golpe. Leigh vs. Pinochet","FERMANDOIS, JOAQUÍN","Historia (Santiago); 38(1); 224-227","Historia (Santiago)","Espanhol","2005","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-71942005000100023&lang=pt" 
"S0717-71942005000100024-chl","ENRIQUE FLORESCANO, Quetzalcóatl y los mitos fundadores de Mesoamérica","ROSATI, HUGO","Historia (Santiago); 38(1); 228-229","Historia (Santiago)","Espanhol","2005","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-71942005000100024&lang=pt" 
"S0717-71942005000100025-chl","LUZ MARÍA MÉNDEZ BELTRÁN, La exportación minera en Chile 1800-1840: Un estudio de historia económica y social en la transición de la Colonia a la República","SILVA RIQUER, JORGE","Historia (Santiago); 38(1); 229-233","Historia (Santiago)","Espanhol","2005","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-71942005000100025&lang=pt" 
"S0717-71942005000100026-chl","SERGIO VILLALOBOS R. y RAFAEL SAGREDO B., Los estancos en Chile","SILVA RIQUER, JORGE","Historia (Santiago); 38(1); 233-237","Historia (Santiago)","Espanhol","2005","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-71942005000100026&lang=pt" 
"S0717-71942005000100027-chl","MATEO MARTINIC. Archipiélago patagónico: La última frontera","ARÁNGUIZ DONOSO, HORACIO","Historia (Santiago); 38(1); 237-238","Historia (Santiago)","Espanhol","2005","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-71942005000100027&lang=pt" 
"S0103-50532005000300007-scl","Bonding interactions of metal clusters [Mn (M= Cu, Ag, Au; n=1-4)] with ammonia. Are the metal clusters adequate as a model of surfaces?","Martínez, Ana","Journal of the Brazilian Chemical Society; 16(3a); 337-344","Journal of the Brazilian Chemical Society","Inglês","2005","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-50532005000300007&lang=pt" 
"S0103-50532005000300008-scl","An investigation of the dispersion forces in weakly bound complexes using quantum chemical and multipole expansion methods","De Almeida, Wagner B.","Journal of the Brazilian Chemical Society; 16(3a); 345-361","Journal of the Brazilian Chemical Society","Inglês","2005","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-50532005000300008&lang=pt" 
"S0103-50532005000300012-scl","An alternative approach to aminodiols from Baylis-Hillman adducts: stereoselective synthesis of chloramphenicol, fluoramphenicol and thiamphenicol","Mateus, Cristiano R., Coelho, Fernando","Journal of the Brazilian Chemical Society; 16(3a); 386-396","Journal of the Brazilian Chemical Society","Inglês","2005","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-50532005000300012&lang=pt" 
"S0103-50532005000300022-scl","Experimental and theoretical study of the products from the spontaneous dimerization of DL- and D-glyceraldehyde","García-Jiménez, Federico, Collera Zúñiga, Ofelia, Castells García, Yolanda, Cárdenas, Julio, Cuevas, Gabriel","Journal of the Brazilian Chemical Society; 16(3a); 467-476","Journal of the Brazilian Chemical Society","Inglês","2005","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-50532005000300022&lang=pt" 
"S0103-50532005000300026-scl","A concise total synthesis of (R)-fluoxetine, a potent and selective serotonin reuptake inhibitor","Fátima, Ângelo de, Lapis, Alexandre Augusto M., Pilli, Ronaldo A.","Journal of the Brazilian Chemical Society; 16(3a); 495-499","Journal of the Brazilian Chemical Society","Inglês","2005","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-50532005000300026&lang=pt" 
