"S0124-71072014000100007-col","Modelo de transitividad aplicado a la gestión de la salud mental comunitaria","Narváez, Jonnathan","Universidad y Salud; 16(1); 67-79","Universidad y Salud","Espanhol","2014","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0124-71072014000100007&lang=pt" 
"S0124-71072014000100005-col","Validez de apariencia del Gross Motor Function Measure - 88","Cobo-Mejía, Elisa Andrea, Quino-Ávila, Aura Cristina, Díaz-Vidal, Diana Milena, Chacón-Serna, Magda Juliette","Universidad y Salud; 16(1); 45-57","Universidad y Salud","Espanhol","2014","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0124-71072014000100005&lang=pt" 
"S0124-71072014000100011-col","Efectos de la quimioterapia en el sistema musculoesquelético de niños y adolescentes con leucemia linfoblástica aguda","Rodríguez-Reyes, María Cristina, Galván-Canchila, Diana Marcela","Universidad y Salud; 16(1); 112-119","Universidad y Salud","Espanhol","2014","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0124-71072014000100011&lang=pt" 
"S0124-71072014000100010-col","La anemia como signo de malnutrición en niños de un programa de recuperación nutricional domiciliaria en Antioquia, Colombia","Martínez-Sánchez, Lina María, Rodríguez-Gázquez, María de los Ángeles, Agudelo-Vélez, Camilo Andrés, Vargas-Grisales, Natalia, Peña-Londoño, Genny Alejandra","Universidad y Salud; 16(1); 103-111","Universidad y Salud","Espanhol","2014","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0124-71072014000100010&lang=pt" 
"S0874-02832014000200010-prt","Perceção do adolescente com paralisia cerebral acerca da qualidade da vinculação","Sousa, Maria do Carmo, Araújo, Beatriz, Vieira, Margarida","Revista de Enfermagem Referência; serIV(2); 93-100","Revista de Enfermagem Referência","Português","2014","http://www.scielo.mec.pt/scielo.php?script=sci_arttext&pid=S0874-02832014000200010&lang=pt" 
"S0874-02832014000200011-prt","Supervisão colaborativa e desenvolvimento profissional em Enfermagem","Pinheiro, Germana Manuela da Silva, Macedo, Ana Paula Morais de Carvalho, Costa, Nilza Maria Vilhena Nunes da","Revista de Enfermagem Referência; serIV(2); 101-109","Revista de Enfermagem Referência","Português","2014","http://www.scielo.mec.pt/scielo.php?script=sci_arttext&pid=S0874-02832014000200011&lang=pt" 
"S0874-02832014000200012-prt","Teste no tempo: da teoria clássica da administração à organização atual do trabalho de Enfermagem","Araújo, Denise Rocha, Sampaio, Francisco Miguel Correia, Castro, Marilisa Costa e, Pinheiro, Sofia Alexandra Vieira, Macedo, Ana Paula","Revista de Enfermagem Referência; serIV(2); 111-120","Revista de Enfermagem Referência","Português","2014","http://www.scielo.mec.pt/scielo.php?script=sci_arttext&pid=S0874-02832014000200012&lang=pt" 
"S0874-02832014000200013-prt","Tornar-se pai e mãe: um papel socialmente construído","Martins, Cristina Araújo, Abreu, Wilson Jorge Correia Pinto de, Figueiredo, Maria do Céu Aguiar Barbieri de","Revista de Enfermagem Referência; serIV(2); 121-131","Revista de Enfermagem Referência","Português","2014","http://www.scielo.mec.pt/scielo.php?script=sci_arttext&pid=S0874-02832014000200013&lang=pt" 
"S0874-02832014000200014-prt","Tradução, adaptação e validação do Relationship Questionnaire em jovens portugueses","Dixe, Maria dos Anjos Coelho Rodrigues, Catarino, Helena da Conceição Borges Pereira, Custódio, Susana Margarida Rodrigues, Veríssimo, Cristina Maria Figueira, Fabião, Joana Alice da Silva Amaro Oliveira, Sá, Maria da Conceição Gonçalves Marques Alegre de","Revista de Enfermagem Referência; serIV(2); 133-142","Revista de Enfermagem Referência","Português","2014","http://www.scielo.mec.pt/scielo.php?script=sci_arttext&pid=S0874-02832014000200014&lang=pt" 
"S0874-02832014000200015-prt","Necessidades do cuidador familiar no cuidado à pessoa dependente: uma revisão integrativa da literatura","Melo, Ricardo Manuel da Costa, Rua, Marília dos Santos, Santos, Célia Samarina Vilaça de Brito","Revista de Enfermagem Referência; serIV(2); 143-151","Revista de Enfermagem Referência","Português","2014","http://www.scielo.mec.pt/scielo.php?script=sci_arttext&pid=S0874-02832014000200015&lang=pt" 
"S0874-02832014000200016-prt","Escalas de avaliação de risco de quedas","Costa-Dias, Maria José Martins da, Ferreira, Pedro Lopes","Revista de Enfermagem Referência; serIV(2); 153-161","Revista de Enfermagem Referência","Português","2014","http://www.scielo.mec.pt/scielo.php?script=sci_arttext&pid=S0874-02832014000200016&lang=pt" 
