"S1984-29612012000200017-scl","Occurrence of anti-Neospora caninum antibodiesin dogs in rural areas in Minas Gerais, Brazil","Bruhn, Fábio Raphael Pascoti, Figueiredo, Vânia Chaves, Andrade, Gislaine da Silva, Costa-Júnior, Lívio Martins, Rocha, Christiane Maria Barcellos Magalhães da, Guimarães, Antônio Marcos","Revista Brasileira de Parasitologia Veterinária; 21(2); 161-164","Revista Brasileira de Parasitologia Veterinária","Inglês","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1984-29612012000200017&lang=pt" 
"S1983-40632012000200006-scl","Distribuição e probabilidade de ocorrência de precipitação em Cáceres (MT)","Pizzato, Jaqueline Aguilla, Dallacort, Rivanildo, Tieppo, Rafael César, Modolo, Alcir José, Cremon, Cassiano, Moreira, Patrícia Simone Palhana","Pesquisa Agropecuária Tropical; 42(2); 137-142","Pesquisa Agropecuária Tropical","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1983-40632012000200006&lang=pt" 
"S1983-40632012000200013-scl","Controle genético, químico e biológico de meloidoginose na cultura da soja","Araujo, Fabio Fernando de, Bragante, Rodrigo José, Bragante, Carlos Emanuel","Pesquisa Agropecuária Tropical; 42(2); 220-224","Pesquisa Agropecuária Tropical","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1983-40632012000200013&lang=pt" 
"S1678-86212012000200002-scl","Absortâncias e emitâncias efetivas de superfícies: um método para estimá-las, um modelo experimental e exemplos de suas importâncias","Roriz, Victor Figueiredo, Caram, Rosana Maria, Roriz, Maurício","Ambiente Construído; 12(2); 7-22","Ambiente Construído","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1678-86212012000200002&lang=pt" 
"S1678-86212012000200003-scl","Impacto de la aplicación de la Ley 13059 de Eficiencia Energética en relación a la nueva Ordenanza de Usos del Suelo de la ciudad de La Plata y la Norma IRAM 11900 de Etiquetado de Edificios","Vagge, Carolina Soledad, Czajkowski, Jorge Daniel","Ambiente Construído; 12(2); 23-35","Ambiente Construído","Espanhol","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1678-86212012000200003&lang=pt" 
"S1678-86212012000200004-scl","Iluminação natural: indicações de profundidade-limite de ambientes para iluminação natural no Regulamento Técnico da Qualidade do Nível de Eficiência Energética de Edifícios Residenciais - RTQ-R","Albuquerque, Milena Sampaio Cintra de, Amorim, Cláudia Naves David","Ambiente Construído; 12(2); 37-57","Ambiente Construído","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1678-86212012000200004&lang=pt" 
"S1678-86212012000200005-scl","Contribuição ao zoneamento bioclimático brasileiro: reflexões sobre o semiárido nordestino","Martins, Tathiane Agra de Lemos, Bittencourt, Leonardo Salazar, Krause, Cláudia Mariz de Lyra Barroso","Ambiente Construído; 12(2); 59-75","Ambiente Construído","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1678-86212012000200005&lang=pt" 
"S1678-86212012000200006-scl","Método para avaliação da qualidade de processos construtivos em empreendimentos habitacionais de interesse social","Berr, Letícia Ramos, Formoso, Carlos Torres","Ambiente Construído; 12(2); 77-96","Ambiente Construído","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1678-86212012000200006&lang=pt" 
"S1678-86212012000200007-scl","Processo de Projeto Integrado e desempenho ambiental de edificações: os casos do SAP Labs Brazil e da Ampliação do CENPES Petrobras","Figueiredo, Francisco Gitahy de, Silva, Vanessa Gomes da","Ambiente Construído; 12(2); 97-119","Ambiente Construído","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1678-86212012000200007&lang=pt" 
"S1678-86212012000200008-scl","Quantificação e classificação dos resíduos procedentes da construção civil e demolição no município de Pelotas, RS","Tessaro, Alessandra Buss, Sá, Jocelito Saccol de, Scremin, Lucas Bastianello","Ambiente Construído; 12(2); 121-130","Ambiente Construído","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1678-86212012000200008&lang=pt" 
"S1678-86212012000200009-scl","Chapas de cimento-madeira com resíduos da indústria madeireira da Região Amazônica","Macêdo, Alcebíades Negrão, Souza, Alberto Alexandre Costa e, Pompeu Neto, Bernardo Borges","Ambiente Construído; 12(2); 131-150","Ambiente Construído","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1678-86212012000200009&lang=pt" 
