"S1980-00372013000400001-scl","Is the environment near school associated with active commuting to school among preschoolers?","Melo, Edilanea Nunes, Barros, Mauro, Reis, Rodrigo Siqueira, Hino, Adriano Akira Ferreira, Santos, Carla Meneses, Farias Junior, Jose Cazuza","Revista Brasileira de Cineantropometria &amp; Desempenho Humano; 15(4); 393-404","Revista Brasileira de Cineantropometria &amp; Desempenho Humano","Inglês","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1980-00372013000400001&lang=pt" 
"S1980-00372013000400002-scl","Changes in adiposity levels in schoolchildren according to nutritional status: analysis over a 30-year period","Ferrari, Gerson Luis de Moraes, Bracco, Mario Maia, Matsudo, Victor Keihan Rodrigues, Fisberg, Mauro","Revista Brasileira de Cineantropometria &amp; Desempenho Humano; 15(4); 405-416","Revista Brasileira de Cineantropometria &amp; Desempenho Humano","Inglês","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1980-00372013000400002&lang=pt" 
"S1980-00372013000400003-scl","Motor performance of elderly in a community in southern Brazil","Confortin, Susana Cararo, Barbosa, Aline Rodrigues, Danielewicz, Ana Lúcia, Meneghini, Vandrize, Testa, Wagner Luiz","Revista Brasileira de Cineantropometria &amp; Desempenho Humano; 15(4); 417-426","Revista Brasileira de Cineantropometria &amp; Desempenho Humano","Inglês","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1980-00372013000400003&lang=pt" 
"S1980-00372013000400004-scl","Effects of a low intensity strength training program on overweight/obese and premenopausal/menopausal women","Álvarez, Cristian, Campillo, Rodrigo Ramírez","Revista Brasileira de Cineantropometria &amp; Desempenho Humano; 15(4); 427-436","Revista Brasileira de Cineantropometria &amp; Desempenho Humano","Inglês","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1980-00372013000400004&lang=pt" 
"S1980-00372013000400006-scl","Aerobic fitness and biological and sociodemographic indicators in female school children","Ribeiro, Roberto Régis, Santos, Keila Donassolo, Carvalho, Wellington Roberto Gomes, Gonçalves, Ezequiel Moreira, Roman, Everton Paulo, Minatto, Giseli","Revista Brasileira de Cineantropometria &amp; Desempenho Humano; 15(4); 448-457","Revista Brasileira de Cineantropometria &amp; Desempenho Humano","Inglês","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1980-00372013000400006&lang=pt" 
"S1980-00372013000400007-scl","Effects of a subsequent task after sit-to-stand movement on muscle activation and initiation of movement","Silva, Franciele Camila da, Rodrigues, Ana Melissa, Wiest, Matheus Joner","Revista Brasileira de Cineantropometria &amp; Desempenho Humano; 15(4); 458-466","Revista Brasileira de Cineantropometria &amp; Desempenho Humano","Inglês","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1980-00372013000400007&lang=pt" 
"S1980-00372013000400008-scl","Effect of fixed and self-suggested rest intervals between sets of resistance exercise on post-exercise cardiovascular behavior","Goessler, Karla Fabiana, Polito, Marcos Doederlein","Revista Brasileira de Cineantropometria &amp; Desempenho Humano; 15(4); 467-475","Revista Brasileira de Cineantropometria &amp; Desempenho Humano","Inglês","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1980-00372013000400008&lang=pt" 
"S1980-00372013000400009-scl","Nosographic profile of soccer injuries according to the age group","Silveira, Karoline Pegoraro da, Assunção, Vítor Hugo Santos, Guimarães Júnior, Nercílio Pereira, Barbosa, Suzi Rosa Miziara, Santos, Mara Lisiane Moraes dos, Christofoletti, Gustavo, Carregaro, Rodrigo Luiz, Oliveira Júnior, Silvio Assis de","Revista Brasileira de Cineantropometria &amp; Desempenho Humano; 15(4); 476-485","Revista Brasileira de Cineantropometria &amp; Desempenho Humano","Inglês","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1980-00372013000400009&lang=pt" 
"S1980-00372013000400010-scl","Exercícios físicos generalizados capacidade funcional e sintomas depressivos em idosos brasileiros","Nascimento, Carla Manuela Crispim, Ayan, Carlos, Cancela, Jose Maria, Pereira, Jessica Rodrigues, Andrade, Larissa Pires de, Garuffi, Marcelo, Gobbi, Sebastião, Stella, Florindo","Revista Brasileira de Cineantropometria &amp; Desempenho Humano; 15(4); 486-497","Revista Brasileira de Cineantropometria &amp; Desempenho Humano","Português","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1980-00372013000400010&lang=pt" 
"S1980-00372013000400011-scl","Relação entre índices fisiológicos aeróbios e desempenho em provas de curta e média duração em ciclistas de elite","Sangali, Eduardo Bernardo, Campos, Eduardo Zapaterra, Gobbo, Luigi Agostini, Andrade, Vitor Luiz de, Papoti, Marcelo, Freitas Júnior, Ismael Forte, Figueira, Tiago Rezende, Balikian Junior, Pedro","Revista Brasileira de Cineantropometria &amp; Desempenho Humano; 15(4); 498-506","Revista Brasileira de Cineantropometria &amp; Desempenho Humano","Português","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1980-00372013000400011&lang=pt" 
