"S0102-33062004000400012-scl","Fitossociologia do componente arbóreo na floresta turfosa do Parque Nacional da Lagoa do Peixe, Rio Grande do Sul, Brasil","Dorneles, Lúcia Patrícia Pereira, Waechter, Jorge Luiz","Acta Botanica Brasilica; 18(4); 815-824","Acta Botanica Brasilica","Português","2004","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-33062004000400012&lang=pt" 
"S0102-33062004000400014-scl","Tree mortality in a riparian forest at Rio Paraguai, Pantanal, Brazil, after an extreme flooding","Damasceno-Junior, Geraldo Alves, Semir, João, Santos, Flavio Antonio Maës dos, Leitão-Filho, Hermógenes de Freitas","Acta Botanica Brasilica; 18(4); 839-846","Acta Botanica Brasilica","Inglês","2004","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-33062004000400014&lang=pt" 
"S0102-33062004000400015-scl","Influência da luz e da temperatura na germinação de sementes de Marcetia taxifolia (A. St.-Hil.) DC. (Melastomataceae)","Silveira, Fernando A.O., Negreiros, Daniel, Fernandes, G. Wilson","Acta Botanica Brasilica; 18(4); 847-851","Acta Botanica Brasilica","Português","2004","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-33062004000400015&lang=pt" 
"S0102-33062004000400017-scl","Efeito da temperatura e do teor de umidade na iniciação e desenvolvimento do rizoma de Kohleria eriantha (Benth.) Hanst. (Gesneriaceae)","Almeida, Julieta Andrea Silva de, Pereira, Maria de Fátima Domingos Aleixo","Acta Botanica Brasilica; 18(4); 863-869","Acta Botanica Brasilica","Português","2004","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-33062004000400017&lang=pt" 
"S0102-33062004000400020-scl","Cololejeuneae (Lejeuneaceae, Hepaticae) na Estação Científica Ferreira Penna, Melgaço, PA, Brasil","Ilkiu-Borges, Anna Luiza, Lisboa, Regina Célia Lobato","Acta Botanica Brasilica; 18(4); 887-902","Acta Botanica Brasilica","Português","2004","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-33062004000400020&lang=pt" 
"S0102-33062004000400021-scl","Fitossociologia de um fragmento de cerrado sensu stricto na APA do Paranoá, DF, Brasil","Assunção, Sérgio Lelis, Felfili, Jeanine Maria","Acta Botanica Brasilica; 18(4); 903-909","Acta Botanica Brasilica","Português","2004","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-33062004000400021&lang=pt" 
"S0102-33062004000400022-scl","Atividade antimicrobiana de derivados fenólicos do líquen Ramalina sorediosa (B. de Lesd.) Laundron","Falcão, Emerson P. da Silva, Silva, Nicácio H. da, Gusmão, Norma B., Ribeiro, Sheyla Mara, Pereira, Eugênia C.","Acta Botanica Brasilica; 18(4); 911-918","Acta Botanica Brasilica","Português","2004","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-33062004000400022&lang=pt" 
"S0102-33062004000400023-scl","O gênero Staelia Cham. &amp; Schltdl. (Rubiaceae - Spermacoceae) no Estado de Pernambuco, Brasil","Souza, Elnatan Bezerra de, Sales, Margareth Ferreira de","Acta Botanica Brasilica; 18(4); 919-926","Acta Botanica Brasilica","Português","2004","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-33062004000400023&lang=pt" 
"S0102-33062004000400025-scl","Fitossociologia de trechos da vegetação do Complexo de Campo Maior, Campo Maior, PI, Brasil","Farias, Ruth Raquel Soares de, Castro, Antonio Alberto Jorge Farias","Acta Botanica Brasilica; 18(4); 949-963","Acta Botanica Brasilica","Português","2004","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-33062004000400025&lang=pt" 
"S0102-33062004000400027-scl","New records of Aphyllophorales (Basidiomycota) in the Atlantic Rain Forest in Northeast Brazil","Gibertoni, Tatiana Baptista, Ryvarden, Leif, Cavalcanti, Maria Auxiliadora de Queiroz","Acta Botanica Brasilica; 18(4); 975-979","Acta Botanica Brasilica","Inglês","2004","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-33062004000400027&lang=pt" 
