"S1414-32832015000601063-spa","Que no tengan miedo de nosotros:el Chagas según los propios protagonistas","Sanmartino, Mariana, Saavedra, Andrea Avaria, Prat, Jordi Gómez i, Barba, Ma. Cristina Parada, Albajar-Viñas, Pedro","Interface - Comunicação, Saúde, Educação; 19(55); 1063-1075","Interface - Comunicação, Saúde, Educação","Inglês, Espanhol","2015","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1414-32832015000601063&lang=pt" 
"S1414-32832015000401253-scl","Las necesidades sociales como eje de la formación médica","Gómez Correa, Jaime Arturo, Villa Vélez, Liliana, Kambourova, Miglena","Interface - Comunicação, Saúde, Educação; 19(55); 1253-1261","Interface - Comunicação, Saúde, Educação","Espanhol","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1414-32832015000401253&lang=pt" 
"S1414-32832015000401121-scl","Saúde mental na atenção primária e Saúde Mental Global: perspectivas internacionais e cenário brasileiro","Wenceslau, Leandro David, Ortega, Francisco","Interface - Comunicação, Saúde, Educação; 19(55); 1121-1132","Interface - Comunicação, Saúde, Educação","Inglês, Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1414-32832015000401121&lang=pt" 
"S1414-32832015000401169-scl","Casais de mesmo sexo e parentalidade: um olhar sobre o uso das tecnologias reprodutivas","Vitule, Camila, Couto, Marcia Thereza, Machin, Rosana","Interface - Comunicação, Saúde, Educação; 19(55); 1169-1180","Interface - Comunicação, Saúde, Educação","Inglês, Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1414-32832015000401169&lang=pt" 
"S1414-32832015000401221-scl","Potencialidades da Residência Multiprofissional em Saúde da Família: o olhar do trabalhador de saúde","Domingos, Carolina Milena, Nunes, Elisabete de Fátima Polo de Almeida, Carvalho, Brigida Gimenez","Interface - Comunicação, Saúde, Educação; 19(55); 1221-1232","Interface - Comunicação, Saúde, Educação","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1414-32832015000401221&lang=pt" 
"S1414-32832015000401263-scl","Formação de agentes de saúde como instituinte de novos modos de cuidado nos sistemas de saúde e proteção social na Europa: entrevista com Xavier Baylac e Fantxoa Hastaran","Franco, Túlio Batista","Interface - Comunicação, Saúde, Educação; 19(55); 1263-1272","Interface - Comunicação, Saúde, Educação","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1414-32832015000401263&lang=pt" 
"S1414-32832015000401287-scl","O modo de vida do idoso ribeirinho amazônico em imagens e linguajar cultural","Nascimento, Rodolfo Gomes do, Cardoso, Ronald de Oliveira, Santos, Zeneide Nazaré Lima dos, Pinto, Denise da Silva, Magalhães, Celina Maria Colino","Interface - Comunicação, Saúde, Educação; 19(55); 1287-1300","Interface - Comunicação, Saúde, Educação","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1414-32832015000401287&lang=pt" 
"S1414-32832015000601263-spa","Formação de agentes de saúde como instituinte de novos modos de cuidado nos sistemas de saúde e proteção social na Europa: entrevista com Xavier Baylac e Fantxoa Hastaran","Franco, Túlio Batista","Interface - Comunicação, Saúde, Educação; 19(55); 1263-1272","Interface - Comunicação, Saúde, Educação","Português","2015","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S1414-32832015000601263&lang=pt" 
"S1981-77462015000300819-scl","Origens da Pedagogia da Alternância no Brasil","Araujo, Ronaldo Marcos de Lima","Trabalho, Educação e Saúde; 13(3); 819-822","Trabalho, Educação e Saúde","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1981-77462015000300819&lang=pt" 
"S1981-77462015000300822-scl","Trabalhadores técnicos em saúde: aspectos da qualificação profissional no SUS","Martins, Maria Inês Carsalade","Trabalho, Educação e Saúde; 13(3); 822-824","Trabalho, Educação e Saúde","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1981-77462015000300822&lang=pt" 
