"S0103-84782012000300008-scl","Estimates of genetic parameters for physic nut traits based in the germplasm two years evaluation","Laviola, Bruno Galvêas, Alves, Alexandre Alonso, Gurgel, Fábio de Lima, Rosado, Tatiana Barbosa, Rocha, Rodrigo Barros, Albrecht, Julio Cesar","Ciência Rural; 42(3); 429-435","Ciência Rural","Inglês","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-84782012000300008&lang=pt" 
"S0103-84782012000300022-scl","Classical nonlinear models to describe the growth curve for Murrah buffalo breed","Araújo, Ronyere Olegário de, Marcondes, Cintia Righetti, Damé, Maria Cecília Florisbal, Garnero, Analía del Valle, Gunski, Ricardo José, Everling, Dionéia Magda, Rorato, Paulo Roberto Nogara","Ciência Rural; 42(3); 520-525","Ciência Rural","Inglês","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-84782012000300022&lang=pt" 
"S0103-84782012000300013-scl","A temperatura no desenvolvimento da atividade das enzimas (1-3, 1-4)- β-glucanases e degradação de β-glucanos durante a malteação","Beleti, Marcos Antônio, Duarte, Felipe, Georg-Kraemer, Janaína Endres","Ciência Rural; 42(3); 467-473","Ciência Rural","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-84782012000300013&lang=pt" 
"S0103-84782012000300025-scl","Exigência de lisina digestível e planos de nutrição para frangos de corte machos mantendo as relações metionina + cistina e treonina digestível na proteína ideal","Haese, Douglas, Kill, João Luís, Haddade, Ismail Ramalho, Saraiva, Alysson, Vitória, Edney Leandro, Del Puppo, Débora, Souza, Evelar Oliveira","Ciência Rural; 42(3); 538-544","Ciência Rural","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-84782012000300025&lang=pt" 
"S0103-84782012000300028-scl","Aspectos toxicológicos e ocorrência dos bifenilos policlorados em alimentos","Mohr, Susana, Costabeber, Ijoni Hilda","Ciência Rural; 42(3); 559-566","Ciência Rural","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-84782012000300028&lang=pt" 
"S0103-84782012000300012-scl","Ottoman forestry: socio-economic aspect and its influence today","Özden, Sezgin, Birben, Üstüner","Ciência Rural; 42(3); 459-466","Ciência Rural","Inglês","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-84782012000300012&lang=pt" 
"S1980-65742012000100016-scl","Respostas neuromusculares dos membros inferiores durante protocolo intermitente de saltos verticais em voleibolistas","Felicissimo, Caroline Tosini, Dantas, José Luiz, Moura, Melissa Luiza, Moraes, Antônio Carlos de","Motriz: Revista de Educação Física; 18(1); 153-164","Motriz: Revista de Educação Física","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1980-65742012000100016&lang=pt" 
"S1980-65742012000100017-scl","Efeitos da reposição hidroeletrolítica sobre parâmetros cardiorrespiratórios em exercício e recuperação","Moreno, Isadora Lessa, Pastre, Carlos Marcelo, Papoti, Marcelo, Vanderlei, Luiz Carlos Marques","Motriz: Revista de Educação Física; 18(1); 165-175","Motriz: Revista de Educação Física","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1980-65742012000100017&lang=pt" 
"S0370-44672012000100019-scl","Validação de novo amostrador de furos de desmonte para fins de reconciliação","Chieregati, Ana Carolina, Frontini, Bruno Brunetti, Carvalho, Daniel Bortowski, Pitard, Francis F., Esbensen, Kim H.","Rem: Revista Escola de Minas; 65(1); 135-140","Rem: Revista Escola de Minas","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0370-44672012000100019&lang=pt" 
"S0370-44672012000100017-scl","Programa de apoio à legalização mineral de olarias da região de Rio Claro (SP)","Ferreira, Gilda Carneiro, Daitx, Elias Carneiro, Oliveira, Celine Coutinho de, Lima, Pamela Ressignelli de","Rem: Revista Escola de Minas; 65(1); 119-126","Rem: Revista Escola de Minas","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0370-44672012000100017&lang=pt" 
"S0370-44672012000100016-scl","Utilização de critérios geoestatísticos para comparação de malha de sondagem visando à maximização da quantidade de recursos","Ribeiro, Diniz Tamantini, Monteiro Filho, Cid Gonçalves, Souza, Luis Eduardo de, Costa, João Felipe C. L., Almeida, Delia Del Pilar Montecinos de","Rem: Revista Escola de Minas; 65(1); 113-118","Rem: Revista Escola de Minas","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0370-44672012000100016&lang=pt" 
"S0370-44672012000100015-scl","Influência do tempo e deformação na microestrutura de ligas de alumínio reciclado condicionadas para tixoconformação","Alves, Gianni Ferreira, Vieira, Estéfano Aparecido, Oliveira, José Roberto de","Rem: Revista Escola de Minas; 65(1); 107-112","Rem: Revista Escola de Minas","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0370-44672012000100015&lang=pt" 
"S0370-44672012000100014-scl","Compacidade do suporte cerâmico cru versus propriedades do revestimento cerâmico cozido","Prado, Ana Candida de Almeida, Zanardo, Antenor, Moreno, Maria Margarita Torres, Menegazzo, Paula Margarido","Rem: Revista Escola de Minas; 65(1); 99-105","Rem: Revista Escola de Minas","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0370-44672012000100014&lang=pt" 
"S0370-44672012000100013-scl","Aplicação de SAM em liga de alumínio AA 2024-T3 com desengraxe alcalino","Viomar, Aline, Gallina, André Lazarin, Costa, Isolda, Cunha, Maico Taras da, Rodrigues, Paulo Rogério Pinto, Banckzek, Everson do Prado","Rem: Revista Escola de Minas; 65(1); 93-98","Rem: Revista Escola de Minas","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0370-44672012000100013&lang=pt" 
"S0370-44672012000100012-scl","Use of copper slag in cement mortar","Nazer, Amin Salvador, Pavez, Osvaldo, Rojas, Freddy","Rem: Revista Escola de Minas; 65(1); 87-91","Rem: Revista Escola de Minas","Inglês","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0370-44672012000100012&lang=pt" 
"S0370-44672012000100011-scl","Pozolanicidade dos resíduos industriais, lã de vidro e lã cerâmica","Evangelista, Neuza, Tenório, Jorge Alberto Soares, Oliveira, José Roberto de","Rem: Revista Escola de Minas; 65(1); 79-85","Rem: Revista Escola de Minas","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0370-44672012000100011&lang=pt" 
"S0370-44672012000100010-scl","Influência da areia de cura a frio reutilizada nas propriedades mecânicas e características superficiais de moldes empregados em fundição","Silva, Christian Egidio da, Oliveira, Diego Luiz, Silidônio Júnior, Luiz Carlos, Rivaroli Júnior, Amir","Rem: Revista Escola de Minas; 65(1); 73-78","Rem: Revista Escola de Minas","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0370-44672012000100010&lang=pt" 
"S0370-44672012000100008-scl","Mineralogy and chemistry of the green stone artifacts (muiraquitãs) of the museums of the Brazilian State of Pará","Meirelles, Anna Cristina Resque, Costa, Marcondes Lima da","Rem: Revista Escola de Minas; 65(1); 59-64","Rem: Revista Escola de Minas","Inglês","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0370-44672012000100008&lang=pt" 
"S0370-44672012000100003-scl","Reforço à flexão de vigas em concreto armado pelo acréscimo de altura na região comprimida, utilizando-se concreto de alta resistência","Ando, Eunice Sumie, Moreno Junior, Armando Lopes, Oliveira, Clayton Reis de","Rem: Revista Escola de Minas; 65(1); 13-17","Rem: Revista Escola de Minas","Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0370-44672012000100003&lang=pt" 
"S0370-44672012000100001-scl","","Coelho, Jório","Rem: Revista Escola de Minas; 65(1); 07-07","Rem: Revista Escola de Minas","Inglês, Português","2012","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0370-44672012000100001&lang=pt" 
