"S0100-83582007000200010-scl","Impacto da temperatura, irradiância e profundidade das sementes na emergência e germinação de Conyza bonariensis e Conyza canadensis resistentes ao glyphosate","Vidal, R.A., Kalsing, A., Goulart, I.C.G.R., Lamego, F.P., Christoffoleti, P.J.","Planta Daninha; 25(2); 309-315","Planta Daninha","Português","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-83582007000200010&lang=pt" 
"S0100-83582007000200013-scl","Doses e épocas de aplicação de redutor de crescimento afetando cultivares de trigo em duas doses de nitrogênio","Zagonel, J., Fernandes, E.C.","Planta Daninha; 25(2); 331-339","Planta Daninha","Português","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-83582007000200013&lang=pt" 
"S0100-83582007000200018-scl","Seletividade de diferentes herbicidas à base de glyphosate a soja RR","Correia, N. M., Durigan, J.C.","Planta Daninha; 25(2); 375-379","Planta Daninha","Português","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-83582007000200018&lang=pt" 
"S0100-83582007000200017-scl","Utilização de chlorimuron-ethyl e imazethapyr na cultura da soja Roundup Ready®","Procópio, S.O., Menezes, C.C.E., Betta, L., Betta, M.","Planta Daninha; 25(2); 365-373","Planta Daninha","Português","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-83582007000200017&lang=pt" 
"S0100-83582007000200023-scl","Influência de sais e do pH da água na eficiência de imazethapyr + imazapic no controle de arroz-vermelho","Sanchotene, D.M., Dornelles, S.H.B., Debortoli, M.P., Capitanio, JR., Mezzomo, R.F., Gonçalves, R.A.","Planta Daninha; 25(2); 415-419","Planta Daninha","Português","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-83582007000200023&lang=pt" 
"S0100-83582007000200024-scl","Plasmodesmos: transporte simplástico de herbicidas na planta","Concenço, G., Ferreira, E.A., Ferreira, F.A., Santos, J.B.","Planta Daninha; 25(2); 423-432","Planta Daninha","Português","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-83582007000200024&lang=pt" 
"S0085-56262007000200018-scl","Improvement of a test-chamber for behavioral studies on adult females of Aedes aegypti (Linnaeus) (Diptera, Culicidae)","Cabrini, Isaías, Andrade, Carlos Fernando S.","Revista Brasileira de Entomologia; 51(2); 252-254","Revista Brasileira de Entomologia","Inglês","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0085-56262007000200018&lang=pt" 
"S0085-56262007000200008-scl","Novos Cerambycinae neotropicais e transferência de Tippmannia Monné para Hesperophanini (Coleoptera, Cerambycidae)","Martins, Ubirajara R., Napp, Dilma Solange","Revista Brasileira de Entomologia; 51(2); 190-196","Revista Brasileira de Entomologia","Português","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0085-56262007000200008&lang=pt" 
"S0085-56262007000200003-scl","Dos nuevas especies de Iridopsis Warren (Lepidoptera, Geometridae) del norte de Chile","Vargas, Héctor A.","Revista Brasileira de Entomologia; 51(2); 138-141","Revista Brasileira de Entomologia","Espanhol","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0085-56262007000200003&lang=pt" 
"S0085-56262007000200001-scl","Description of Photuris fulvipes (Blanchard) immatures (Coleoptera, Lampyridae, Photurinae) and bionomic aspects under laboratory conditions","Rosa, Simone Policena","Revista Brasileira de Entomologia; 51(2); 125-130","Revista Brasileira de Entomologia","Inglês","2007","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0085-56262007000200001&lang=pt" 
