"S0871-018X2013000200012-prt","Concentração de As, Cu, Hg e Zn em solos e produtos agrícolas (Brassica oleracea L., Lycopersicon esculentum Mill e Zea mays L.) numa área industrial no NW de Portugal","Inácio, Manuela, Neves, Orquídia, Pereira, Virgínia, Silva, Eduardo","Revista de Ciências Agrárias; 36(2); 229-237","Revista de Ciências Agrárias","Português","2013","http://www.scielo.mec.pt/scielo.php?script=sci_arttext&pid=S0871-018X2013000200012&lang=pt" 
"S0871-018X2013000200013-prt","As práticas de gestão e a qualidade do solo em pomares de pereira ‘Rocha’","Rodrigues, Ana Raquel, Coutinho, João, Madeira, Manuel","Revista de Ciências Agrárias; 36(2); 238-249","Revista de Ciências Agrárias","Português","2013","http://www.scielo.mec.pt/scielo.php?script=sci_arttext&pid=S0871-018X2013000200013&lang=pt" 
"S0871-018X2013000200014-prt","Na linha dos descobrimentos dos séculos XV e XVI Intercâmbio de plantas entre a África Ocidental e a América","Ferrão, José Eduardo Mendes","Revista de Ciências Agrárias; 36(2); 250-269","Revista de Ciências Agrárias","Português","2013","http://www.scielo.mec.pt/scielo.php?script=sci_arttext&pid=S0871-018X2013000200014&lang=pt" 
"S0102-695X2013000200008-scl","Influence of rosmarinic acid and Salvia officinalis extracts on melanogenesis of B16F10 cells","Oliveira, Karina B., Palú, Érika, Weffort-Santos, Almeriane M., Oliveira, Brás H.","Revista Brasileira de Farmacognosia; 23(2); 249-258","Revista Brasileira de Farmacognosia","Inglês","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-695X2013000200008&lang=pt" 
"S0102-695X2013000200001-scl","Brazilian scientific journals must be professionalized","Santos, Cid Aimbiré M.","Revista Brasileira de Farmacognosia; 23(2); 198-199","Revista Brasileira de Farmacognosia","Inglês","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-695X2013000200001&lang=pt" 
"S0102-695X2013000200025-scl","Maternal exposure to Cochlospermum regium: a toxicological evaluation","Cunha-Laura, Andréa Luiza, Oliveira, Rodrigo Juliano, Barros, Andrea Lantieri Correa de, Siqueira, João Máximo de, Vieira, Maria do Carmo, Auharek, Sarah Alves","Revista Brasileira de Farmacognosia; 23(2); 374-378","Revista Brasileira de Farmacognosia","Inglês","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-695X2013000200025&lang=pt" 
"S0102-695X2013000200016-scl","Evaluation of wound healing activity of atranorin, a lichen secondary metabolite, on rodents","Barreto, Rosana S. S., Albuquerque-Júnior, Ricardo L. C., Pereira-Filho, Rose Nely, Quintans, Jullyana S. S., Barreto, André S., DeSantana, Josimari M., Santana-Filho, Valter J., Santos, Marcio R. V., Bonjardim, Leonardo R., Araújo, Adriano A. S., Quintans-Júnior, Lucindo J.","Revista Brasileira de Farmacognosia; 23(2); 310-319","Revista Brasileira de Farmacognosia","Inglês","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-695X2013000200016&lang=pt" 
"S0102-695X2013000200018-scl","Assessment of mutagenic, antimutagenic and genotoxicity effects of Mimosa tenuiflora","Silva, Viviane A., Gonçalves, Gregório F., Pereira, Maria S. V., Gomes, Isis F., Freitas, Andréa F. R., Diniz, Margareth F. F. M., Pessôa, Hilzeth L. F.","Revista Brasileira de Farmacognosia; 23(2); 329-334","Revista Brasileira de Farmacognosia","Inglês","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-695X2013000200018&lang=pt" 
"S0102-695X2013000200026-scl","Herbal medicines: old and new concepts, truths and misunderstandings","Carmona, Fabio, Pereira, Ana Maria Soares","Revista Brasileira de Farmacognosia; 23(2); 379-385","Revista Brasileira de Farmacognosia","Inglês","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-695X2013000200026&lang=pt" 
"S0102-695X2013000200003-scl","A report on pharmacognostical evaluation of four Adiantum species, Pteridophyta, for their authentication and quality control","Singh, Shweta, Khatoon, Sayyada, Singh, Harsh, Behera, S. K., Khare, P. B., Rawat, A. K. S.","Revista Brasileira de Farmacognosia; 23(2); 207-216","Revista Brasileira de Farmacognosia","Inglês","2013","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-695X2013000200003&lang=pt" 
