"S1853-04002016000100011-arg","Lic. Jorge Eduardo Perez Comesaña (1959-2015)","Chiaramonte, Gustavo E","Revista del Museo Argentino de  Ciencias Naturales; 18(1); 103-104","Revista del Museo Argentino de  Ciencias Naturales","Espanhol","2016","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1853-04002016000100011&lang=pt" 
"S1853-04002016000100005-arg","Marco legal de la geoconservación: Presencia de la geología en las leyes de áreas protegidas de la República Argentina","Medina, Walter, Vejsbjerg, Laila, Aceñolaza, Guillermo","Revista del Museo Argentino de  Ciencias Naturales; 18(1); 53-64","Revista del Museo Argentino de  Ciencias Naturales","Espanhol","2016","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1853-04002016000100005&lang=pt" 
"S1853-04002016000100004-arg","Registros biosilíceos en sitios arqueológicos de las sierras de Tandilia Oriental, Argentina (Pleistoceno Tardío-Holoceno Tardío): Consideraciones paleoambientales","Colobig, María de los Milagros, Zucol, Alejandro Fabián, Mazzanti, Diana Leonis, Martínez, Gustavo, Passeggi, Esteban","Revista del Museo Argentino de  Ciencias Naturales; 18(1); 39-52","Revista del Museo Argentino de  Ciencias Naturales","Espanhol","2016","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1853-04002016000100004&lang=pt" 
"S1853-04002016000100003-arg","Interacciones competitivas en una comunidad de líquenes Murícola","García, Renato, Kristensen, María J, Rosato, Vilma","Revista del Museo Argentino de  Ciencias Naturales; 18(1); 31-37","Revista del Museo Argentino de  Ciencias Naturales","Espanhol","2016","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1853-04002016000100003&lang=pt" 
"S1853-04002016000100001-arg","","Arribas, Lorena P, Bagur, María, Soria, Sabrina A, Gutiérrez, Jorge L, Palomo, M. Gabriela","Revista del Museo Argentino de  Ciencias Naturales; 18(1); 1-7","Revista del Museo Argentino de  Ciencias Naturales","Inglês","2016","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1853-04002016000100001&lang=pt" 
"S1853-04002016000100006-arg","Nueva especie de Plebeia Schwarz, clave para las especies argentinas de Plebeia y comentarios sobre Plectoplebeia en la Argentina (Hymenoptera: Meliponini)","Alvarez, Leopoldo J, Rasmussen, Claus, Abrahamovich, Alberto H","Revista del Museo Argentino de  Ciencias Naturales; 18(1); 65-74","Revista del Museo Argentino de  Ciencias Naturales","Espanhol","2016","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1853-04002016000100006&lang=pt" 
"S1853-04002016000100007-arg","Una nueva especie del género Epicratinus Jocqué &amp; Baert de Bolivia (Araneae: Zodariidae)","Grismado, Cristian J, Izquierdo, Matías A","Revista del Museo Argentino de  Ciencias Naturales; 18(1); 75-83","Revista del Museo Argentino de  Ciencias Naturales","Espanhol","2016","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1853-04002016000100007&lang=pt" 
"S1853-04002016000100008-arg","First record of Hypostomus boulengeri (Siluriformes: Loricariidae) from Bermejo River basin","Alonso, Felipe, Terán, Guillermo Enrique, Aguilera, Gastón, Mirande, Juan Marcos","Revista del Museo Argentino de  Ciencias Naturales; 18(1); 85-88","Revista del Museo Argentino de  Ciencias Naturales","Inglês","2016","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1853-04002016000100008&lang=pt" 
"S1853-04002016000100012-arg","Dr. Sergio Enrique Gomez (1957-2016)","Iwaszkiw, Juan M","Revista del Museo Argentino de  Ciencias Naturales; 18(1); 105-106","Revista del Museo Argentino de  Ciencias Naturales","Espanhol","2016","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1853-04002016000100012&lang=pt" 
"S1853-04002016000100009-arg","Modelación del peligro a deslizamientos en el Municipio Santiago de Cuba considerando el peso de las variables determinantes","Galbán Rodríguez, Liber, Guardado Lacaba, Rafael","Revista del Museo Argentino de  Ciencias Naturales; 18(1); 89-99","Revista del Museo Argentino de  Ciencias Naturales","Espanhol","2016","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1853-04002016000100009&lang=pt" 
