"S0101-81082008000400014-scl","Rimonabanto: perspectivas e controvérsias","Zortéa, Karine, Tartari, Rafaela Festugatto","Revista de Psiquiatria do Rio Grande do Sul; 30(3); 241-242","Revista de Psiquiatria do Rio Grande do Sul","Inglês, Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-81082008000400014&lang=pt" 
"S1130-14732008000600008-esp","Extremely delayed renal cell carcinoma metastasis mimicking convexity meningioma","Bademci, G., Bozdogan, O., Berdan, F., Evliyaoglu, C.","Neurocirugía; 19(6); 562-564","Neurocirugía","Inglês","2008","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1130-14732008000600008&lang=pt" 
"S0120-35922008000300001-col","Editorial","","Cuadernos de Administración; 21(37); 7-10","Cuadernos de Administración","Espanhol","2008","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0120-35922008000300001&lang=pt" 
"S0120-35922008000300002-col","Managerial consequences of credit system introduction: a Colombian case","Restrepo Abondano, José Manuel","Cuadernos de Administración; 21(37); 11-36","Cuadernos de Administración","Inglês","2008","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0120-35922008000300002&lang=pt" 
"S0120-35922008000300003-col","Relevancia del estudio del lenguaje teórico sobre las organizaciones","Ríos Szalay, Jorge","Cuadernos de Administración; 21(37); 37-60","Cuadernos de Administración","Espanhol","2008","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0120-35922008000300003&lang=pt" 
"S0120-35922008000300004-col","Las estrategias corporativas y los resultados empresariales: un análisis por tipo de estrategia corporativa y sector industrial en España","Huerta Riveros, Patricia, Pedraja-Rejas, Liliana, Navas López, José Emilio, Almodóvar Martínez, Paloma","Cuadernos de Administración; 21(37); 61-79","Cuadernos de Administración","Espanhol","2008","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0120-35922008000300004&lang=pt" 
"S0120-35922008000300005-col","Aprendizaje organizativo en la gestión empresarial y escuelas de pensamiento: evidencias empíricas","López Sánchez, José Ángel, Santos Vijande, María Leticia, Trespalacios Gutiérrez, Juan Antonio","Cuadernos de Administración; 21(37); 81-107","Cuadernos de Administración","Espanhol","2008","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0120-35922008000300005&lang=pt" 
"S0120-35922008000300006-col","Las redes de servicios de salud: las alianzas estratégicas de Colmédica, Colombia","Gorbaneff, Yuri, Torres Valdivieso, Sergio, Contreras Caballero, Nelson","Cuadernos de Administración; 21(37); 109-132","Cuadernos de Administración","Espanhol","2008","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0120-35922008000300006&lang=pt" 
"S0120-35922008000300007-col","La innovación tecnológica en el contexto de los clusters regionales","Becerra Rodríguez, Fredy, Naranjo Valencia, Julia Clemencia","Cuadernos de Administración; 21(37); 133-159","Cuadernos de Administración","Espanhol","2008","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0120-35922008000300007&lang=pt" 
"S0120-35922008000300008-col","Innovación e incumbent failure: una ilustración en la industria de las telecomunicaciones en Colombia","Herrera Echeverry, Hernán","Cuadernos de Administración; 21(37); 161-183","Cuadernos de Administración","Espanhol","2008","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0120-35922008000300008&lang=pt" 
"S0120-35922008000300009-col","Visión directiva y elección estratégica: su influencia en los tipos básicos de trabajo","Zapata Rotundo, Gerardo José, Canet Giner, María Teresa, Peris Bonet, Fernando Juan","Cuadernos de Administración; 21(37); 185-209","Cuadernos de Administración","Espanhol","2008","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0120-35922008000300009&lang=pt" 
"S0120-35922008000300013-col","El liderazgo de los gerentes de las pymes de Tamaulipas, México, mediante el inventario de las prácticas de liderazgo","Robles Francia, Víctor Hugo, de la Garza Ramos, María Isabel, Medina Quintero, José Melchor","Cuadernos de Administración; 21(37); 293-310","Cuadernos de Administración","Espanhol","2008","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0120-35922008000300013&lang=pt" 
"S0120-35922008000300012-col","Estudio exploratorio de los factores que influyen en la selección de un mecanismo de sucesión patrimonial en las empresas familiares colombianas","Gómez-Betancourt, Gonzalo, López Vergara, María Piedad, Betancourt Ramírez, José Bernardo","Cuadernos de Administración; 21(37); 269-292","Cuadernos de Administración","Espanhol","2008","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0120-35922008000300012&lang=pt" 
"S0120-35922008000300011-col","Elementos del proceso de formación de descendientes antes de su vinculación a la empresa familiar: un estudio de casos colombianos","Lozano Posso, Melquicedec","Cuadernos de Administración; 21(37); 243-268","Cuadernos de Administración","Espanhol","2008","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0120-35922008000300011&lang=pt" 
"S0120-35922008000300010-col","Informalidad y subempleo en Colombia: dos caras de la misma moneda","Uribe García, José Ignacio, Ortiz Quevedo, Carlos Humberto, García Cruz, Gustavo Adolfo","Cuadernos de Administración; 21(37); 211-241","Cuadernos de Administración","Espanhol","2008","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0120-35922008000300010&lang=pt" 
"S0120-35922008000300014-col","Sistemas adaptativos de inferencia neurodifusa con errores heterocedásticos para el modelado de series financieras","Zapata Gómez, Elizabeth Catalina, Velásquez Henao, Juan David, Smith Quintero, Ricardo Agustín","Cuadernos de Administración; 21(37); 311-334","Cuadernos de Administración","Espanhol","2008","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0120-35922008000300014&lang=pt" 
