"S0213-91112014000400019-spa","Physical activity environment measurement and same source bias","Gullón, Pedro, Bilal, Usama, Franco, Manuel","Gaceta Sanitaria; 28(4); 344-345","Gaceta Sanitaria","Inglês","2014","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0213-91112014000400019&lang=pt" 
"S0213-91112014000400020-spa","Réplica: Evaluación de las relaciones entre las características del entorno de residencia y los niveles de actividad física","Rodríguez-Romo, Gabriel, Garrido-Muñoz, María, Lucia, Alejandro, Ruiz, Jonatan R.","Gaceta Sanitaria; 28(4); 345-345","Gaceta Sanitaria","Espanhol","2014","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0213-91112014000400020&lang=pt" 
"S0213-91112014000400021-spa","De riesgos y placeres: Manual para entender las drogas","Clua García, Rafael","Gaceta Sanitaria; 28(4); 346-346","Gaceta Sanitaria","Espanhol","2014","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0213-91112014000400021&lang=pt" 
"S0213-91112014000400022-spa","","Monge, Susana","Gaceta Sanitaria; 28(4); 347-347","Gaceta Sanitaria","Espanhol","2014","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0213-91112014000400022&lang=pt" 
"S0101-60832014000400090-scl","Evaluation of the efficacy of the continuation electroconvulsive therapy in treatment-resistant schizophrenia","Gul, Isil Gogcegoz, Eryilmaz, Gul, Sayar, Gokben Hizli, Ozten, Eylem, Arat, Mustafa Murat, Tarhan, Nevzat","Archives of Clinical Psychiatry (São Paulo); 41(4); 90-94","Archives of Clinical Psychiatry (São Paulo)","Inglês","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-60832014000400090&lang=pt" 
"S0101-60832014000400095-scl","Influence of personality traits in coping skills in individuals with bipolar disorder","Souza, Érika Leonardo de, Grassi-Oliveira, Rodrigo, Brietzke, Elisa, Sanvicente-Vieira, Breno, Daruy-Filho, Ledo, Moreno, Ricardo Alberto","Archives of Clinical Psychiatry (São Paulo); 41(4); 95-100","Archives of Clinical Psychiatry (São Paulo)","Inglês","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-60832014000400095&lang=pt" 
"S0101-60832014000400112-scl","Schizophrenia: if death occurs without warning, what we should propose for the near future?","Scorza, Fulvio A., Zarate Jr, Carlos A.","Archives of Clinical Psychiatry (São Paulo); 41(4); 112-113","Archives of Clinical Psychiatry (São Paulo)","Inglês","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-60832014000400112&lang=pt" 
"S0101-60832014000400114-scl","The role of daily contexts in the activation of basic emotions: a study based on Ekman’s theory as applied to daily drivers","Reis, Anabela Marinho, Horta, Purificação","Archives of Clinical Psychiatry (São Paulo); 41(4); 114-115","Archives of Clinical Psychiatry (São Paulo)","Inglês","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-60832014000400114&lang=pt" 
"S0213-91112014000400012-spa","Estrategia Instituciones Amigas de la Mujer y la Infancia, con enfoque integral en Colombia","Farías-Jiménez, Patricia, Arocha-Zuluaga, Gina Paola, Trujillo-Ramírez, Kenny Margarita, Botero-Uribe, Inés","Gaceta Sanitaria; 28(4); 326-329","Gaceta Sanitaria","Espanhol","2014","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0213-91112014000400012&lang=pt" 
"S0213-91112014000400017-spa","Administración sanitaria y crisis económica: a propósito de un caso","Domínguez-Rodríguez, Alberto, Méndez-Vargas, Corabel, Sánchez-Grande, Alejandro, Avanzas, Pablo, Abreu-González, Pedro","Gaceta Sanitaria; 28(4); 342-343","Gaceta Sanitaria","Espanhol","2014","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0213-91112014000400017&lang=pt" 
