"S1414-98932016000200497-scl","Errata","","Psicologia: Ciência e Profissão; 36(2); 497-497","Psicologia: Ciência e Profissão","Português","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1414-98932016000200497&lang=pt" 
"S0718-93032016000100010-chl","Inmaculada Penadés Martínez. Para un diccionario de locuciones. De la lingüística teórica a la fraseografía práctica","Ruiz Martínez, Ana María","Boletín de filología; 51(1); 267-273","Boletín de filología","Espanhol","2016","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-93032016000100010&lang=pt" 
"S0034-737X2016000300323-scl","Ingestive behavior of finishing sheep fed detoxified castor bean meal","Silva, Daniel Cézar da, Fernandes, Beatriz Dantas, Lima, Jéssica Monique dos Santos, Souza, Francisco Jocélio Cavalcante de, Moreira Filho, Miguel Arcanjo, Alves, Arnaud Azevêdo","Revista Ceres; 63(3); 323-328","Revista Ceres","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-737X2016000300323&lang=pt" 
"S0717-75262016000300011-chl","Resultados perinatales en el síndrome de transfusión feto fetal manejados con la técnica de Solomon: Revisión de la literatura","Molina G, Saulo, Casas P, Rodolfo, Ortiz M, Roberth","Revista chilena de obstetricia y ginecología; 81(3); 234-242","Revista chilena de obstetricia y ginecología","Espanhol","2016","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-75262016000300011&lang=pt" 
"S0717-75262016000300005-chl","Prevalencia del síndrome de HELLP en gestantes críticas: Maternidad &quot;Dr. Armando Castillo Plaza&quot;, Maracaibo, Venezuela","Labarca, Laurenis, Urdaneta M, José Ramón, González I, María Elena, Contreras Benítez, Alfi, Baabel Z, Nasser Saleh, Fernández Correa, Mariem, Silva Bentacourt, Ángel, Nava, María Lorena","Revista chilena de obstetricia y ginecología; 81(3); 194-201","Revista chilena de obstetricia y ginecología","Espanhol","2016","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-75262016000300005&lang=pt" 
"S0717-75262016000300010-chl","Estenosis aórtica crítica y síndrome de corazón izquierdo hipoplásico de diagnóstico precoz en un hospital de segundo nivel","Mejias Quintero, Mileidy Egleet, Román Barba, Violeta, Huertas González, José María, Salem Salem, Haidar, Galindo Izquierdo, Alberto","Revista chilena de obstetricia y ginecología; 81(3); 229-233","Revista chilena de obstetricia y ginecología","Espanhol","2016","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-75262016000300010&lang=pt" 
"S1984-70332016000200115-scl","Estimate of genetic parameters in Brachiaria decumbens hybrids","Matias, Filipe Inácio, Barrios, Sanzio Carvalho Lima, Valle, Cacilda Borges do, Mateus, Rogério Gonçalves, Martins, Lucas Bearari, Moro, Gustavo Vitti","Crop Breeding and Applied Biotechnology; 16(2); 115-122","Crop Breeding and Applied Biotechnology","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1984-70332016000200115&lang=pt" 
"S0718-93032016000100003-chl","La interferencia lingüística de frecuencia","Echeverría Arriagada, Carlos I","Boletín de filología; 51(1); 93-115","Boletín de filología","Espanhol","2016","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-93032016000100003&lang=pt" 
"S0717-75262016000300003-chl","Factores de riesgo para morbilidad materna extrema en gestantes sin demora en la atención médica según la estrategia camino para la supervivencia","Acelas-Granados, David F, Orostegui, Andrea, Alarcón-Nivia, Miguel Ángel","Revista chilena de obstetricia y ginecología; 81(3); 181-188","Revista chilena de obstetricia y ginecología","Espanhol","2016","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-75262016000300003&lang=pt" 
"S1516-635X2016000200217-scl","Evaluation of Disinfectants Used in Pre-Chilling water Tanks of Poultry Processing Plants","Guastalli, BHL, Batista, DFA, Souza, AIS, Guastalli, EAL, Lopes, PD, Almeida, AM, Prette, N, Barbosa, FO, Stipp, DT, Freitas Neto, OC","Revista Brasileira de Ciência Avícola; 18(2); 217-224","Revista Brasileira de Ciência Avícola","Inglês","2016","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-635X2016000200217&lang=pt" 
