"S0100-736X2014000300013-scl","The seasonal and ovarian status effects on in vitro production of domestic cat embryos between Equator and Tropic of Capricorn","Martins, Lílian R., Fernandes, Claudia B., Villaverde, Ana I.S.B., Landim-Alvarenga, Fernanda C., Lopes, Maria D.","Pesquisa Veterinária Brasileira; 34(3); 277-280","Pesquisa Veterinária Brasileira","Inglês","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-736X2014000300013&lang=pt" 
"S0100-736X2014000300007-scl","Detection of specific antibodies in cows after injection of PPD","Marassi, Carla D., Zarden, Carlos, Oelemann, Walter, Lilenbaum, Walter","Pesquisa Veterinária Brasileira; 34(3); 241-243","Pesquisa Veterinária Brasileira","Inglês","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-736X2014000300007&lang=pt" 
"S0123-59232014000100003-col","Orientación de las organizaciones públicas al aprendizaje organizacional. El caso de los organismos descentralizados en el Estado de Sonora, México","Encinas Orozco, Francisca Cecilia","Estudios Gerenciales; 30(130); 10-17","Estudios Gerenciales","Espanhol","2014","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0123-59232014000100003&lang=pt" 
"S0123-59232014000100002-col","Economías de escala publicitarias en grandes empresas en México 2008-2011","Cruz Rodríguez, Ignacio Javier","Estudios Gerenciales; 30(130); 3-9","Estudios Gerenciales","Espanhol","2014","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0123-59232014000100002&lang=pt" 
"S0123-59232014000100005-col","Customer segmentation model based on value generation for marketing strategies formulation","Cuadros, Alvaro Julio, Domínguez, Victoria Eugenia","Estudios Gerenciales; 30(130); 25-30","Estudios Gerenciales","Inglês","2014","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0123-59232014000100005&lang=pt" 
"S0123-59232014000100004-col","Cuantificación de la importancia del Fondo Nacional de Garantías en la movilización de créditos a las pymes","Castillo Bonilla, José Augusto, Girón, Luis Eduardo","Estudios Gerenciales; 30(130); 18-24","Estudios Gerenciales","Espanhol","2014","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0123-59232014000100004&lang=pt" 
"S0123-59232014000100006-col","Predicción de la satisfacción y el bienestar en el trabajo: hacia un modelo de organización saludable en Colombia","Nader, Martín, Peña Bernate, Sandra Patricia, Santa-Bárbara, Emilio Sánchez","Estudios Gerenciales; 30(130); 31-39","Estudios Gerenciales","Espanhol","2014","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0123-59232014000100006&lang=pt" 
"S0123-59232014000100001-col","Presentación","","Estudios Gerenciales; 30(130); 1-2","Estudios Gerenciales","Espanhol","2014","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0123-59232014000100001&lang=pt" 
"S0123-59232014000100007-col","Cómo una microempresa logró un desarrollo de productos ágil y generador de valor empleando Lean","Barón Maldonado, Diana Isabel, Rivera Cadavid, Leonardo","Estudios Gerenciales; 30(130); 40-47","Estudios Gerenciales","Espanhol","2014","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0123-59232014000100007&lang=pt" 
"S0123-59232014000100009-col","Estrategia de cobertura con productos derivados para el mercado energético colombiano","Díaz Contreras, Jhon Alexis, Macías Villalba, Gloría Inés, Luna González, Edgar","Estudios Gerenciales; 30(130); 55-64","Estudios Gerenciales","Espanhol","2014","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0123-59232014000100009&lang=pt" 
"S0123-59232014000100008-col","El uso de los arquetipos en la industria de la moda en Colombia","Ceballos, Lina María, Villegas Gómez, Juliana","Estudios Gerenciales; 30(130); 48-54","Estudios Gerenciales","Espanhol","2014","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0123-59232014000100008&lang=pt" 
"S2007-09342014000200008-mex","Aplicación de métodos multivariados para identificar cultivares sobresalientes de haba para el Estado de México, México","Pérez López, Delfina de Jesús, González Huerta, Andrés, Franco Mora, Omar, Rubí Arriaga, Martín, Ramírez Dávila, José Francisco, Castañeda Vildózola, Álvaro, Aquino Martínez, Jesús Gaudencio","Revista mexicana de ciencias agrícolas; 5(2); 265-278","Revista mexicana de ciencias agrícolas","Espanhol","2014","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S2007-09342014000200008&lang=pt" 
"S2007-09342014000200009-mex","Participación en el consejo municipal de desarrollo rural sustentable: Texcoco, Estado de México","Lucero Pallares, Marcela, Hernández Juárez, Martín, Jiménez Sánchez, Leobardo, Sangerman-Jarquín, Dora Ma., Jiménez Velázquez, Mercedes, León Merino, Aurelio","Revista mexicana de ciencias agrícolas; 5(2); 279-292","Revista mexicana de ciencias agrícolas","Espanhol","2014","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S2007-09342014000200009&lang=pt" 
