"S0864-34662004000100001-cub","XXX Aniversario","Rojas Ochoa, Francisco","Revista Cubana de Salud Pública; 30(1); -","Revista Cubana de Salud Pública","Espanhol","2004","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0864-34662004000100001&lang=pt" 
"S0864-34662004000100002-cub","Economía de la salud","Hidalgo Prado, Pedro Luis","Revista Cubana de Salud Pública; 30(1); -","Revista Cubana de Salud Pública","Espanhol","2004","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0864-34662004000100002&lang=pt" 
"S0864-34662004000100004-cub","Indicadores de calidad y eficiencia de los servicios hospitalarios: Una mirada actual","Jiménez Paneque, Rosa E","Revista Cubana de Salud Pública; 30(1); -","Revista Cubana de Salud Pública","Espanhol","2004","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0864-34662004000100004&lang=pt" 
"S0864-34662004000100005-cub","Guía metodológica para la evaluación económica en salud: Cuba, 2003","Gálvez González, Ana María","Revista Cubana de Salud Pública; 30(1); -","Revista Cubana de Salud Pública","Espanhol","2004","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0864-34662004000100005&lang=pt" 
"S0864-34662004000100006-cub","El desarrollo humano y la equidad en Cuba: una visión actualizada","López Pardo, Cándido M","Revista Cubana de Salud Pública; 30(1); -","Revista Cubana de Salud Pública","Espanhol","2004","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0864-34662004000100006&lang=pt" 
"S0864-34662004000100007-cub","Factibilidad del Programa de Fluoruración de la Sal de Consumo Humano en Cuba","Sosa Rosales, Maritza de la Caridad, García Melián, Maricel, Gómez, Asela, Cuéllar, Liliam, Mojáiber de la Peña, Armando","Revista Cubana de Salud Pública; 30(1); -","Revista Cubana de Salud Pública","Espanhol","2004","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0864-34662004000100007&lang=pt" 
"S0864-34662004000100008-cub","Costos para la mujer durante la atención prenatal: Ciudad de La Habana, 2000","Sanabria Ramos, Giselda, Gálvez González, María, Álvarez Muñiz, Manuel","Revista Cubana de Salud Pública; 30(1); -","Revista Cubana de Salud Pública","Espanhol","2004","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0864-34662004000100008&lang=pt" 
"S0864-34662004000100009-cub","Sobrevivencia de Escherichia coli y Staphylococcus aureus en frutos mínimamente procesados","Castro del Campo, Nohelia, Chaidez Quiroz, Cristóbal, Rubio Carrasco, Werner, Benigno Valdez Torres, José","Revista Cubana de Salud Pública; 30(1); -","Revista Cubana de Salud Pública","Espanhol","2004","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0864-34662004000100009&lang=pt" 
"S0864-34662004000100010-cub","Reflexiones en torno a la eutanasia como problema de salud pública: euthanasia","Barreto Vaquero, Dimitri","Revista Cubana de Salud Pública; 30(1); -","Revista Cubana de Salud Pública","Espanhol","2004","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0864-34662004000100010&lang=pt" 
"S0864-34662004000100011-cub","VI Simposio Internacional de Economía de la Salud","","Revista Cubana de Salud Pública; 30(1); -","Revista Cubana de Salud Pública","Espanhol","2004","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0864-34662004000100011&lang=pt" 
"S0864-34662004000100003-cub","Diagnóstico de la evaluación económica en salud en Cuba","Gálvez González, Ana María, Álvarez Muñiz, Manuel, Sarduy Domínguez, Yanetsys, Morales Laberón, Martha","Revista Cubana de Salud Pública; 30(1); -","Revista Cubana de Salud Pública","Espanhol","2004","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0864-34662004000100003&lang=pt" 
"S0210-48062004000300011-esp","Duloxetina y otros antidepresivos tricíclicos: efectos farmacodinámicos en el tracto urinario inferior","Vela Navarrete, R., Pérez Martínez, F.C., Ramírez Pérez del Yerro, M., Cabrera Pérez, J., González Enguita, C.","Actas Urológicas Españolas; 28(3); 252-252","Actas Urológicas Españolas","Espanhol","2004","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0210-48062004000300011&lang=pt" 
"S0210-48062004000300012-esp","Calcificación de la arteria renal: Imagen en la placa simple de abdomen","Casasola Chamorro, J., Gutiérrez García, S., García Díez, F.","Actas Urológicas Españolas; 28(3); 253-253","Actas Urológicas Españolas","Espanhol","2004","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0210-48062004000300012&lang=pt" 
"S0210-48062004000300006-esp","Liposarcoma retroperitoneal calcificado","Ferrero Doria, R., Moreno Pérez, F., Huertas Valero, E., García Víctor, F., Gassó Matoses, M., Calatrava Gadea, S., Díaz Calleja, E.","Actas Urológicas Españolas; 28(3); 234-237","Actas Urológicas Españolas","Espanhol","2004","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0210-48062004000300006&lang=pt" 
"S0210-48062004000300010-esp","Duplicidad pieloureteral y riñón intratorácico","Beltrán Armada, J.R., Serrano Durbá, A., Coronel Sánchez, B., Domínguez Hinarejos, C., Estornell Moragues, F., García Ibarra, F.","Actas Urológicas Españolas; 28(3); 249-251","Actas Urológicas Españolas","Espanhol","2004","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0210-48062004000300010&lang=pt" 
"S0717-69962004005600002-chl","Ortopedia social","Baros, Mauricio","ARQ (Santiago); (56); 5-8","ARQ (Santiago)","Espanhol","2004","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-69962004005600002&lang=pt" 
"S0717-69962004005600003-chl","La educación en el cambio de siglo","Villalón, Malva","ARQ (Santiago); (56); 8-12","ARQ (Santiago)","Espanhol","2004","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-69962004005600003&lang=pt" 
"S0717-69962004005600004-chl","Exteriores de los edificios educacionales","Browne, Tomás","ARQ (Santiago); (56); 12-15","ARQ (Santiago)","Espanhol","2004","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-69962004005600004&lang=pt" 
"S0717-69962004005600005-chl","Escuela Juan de Dios Aldea","García, Pilar, Aguiló, Diego, Arteaga, Gonzalo, Pedraza, Rodrigo","ARQ (Santiago); (56); 18-23","ARQ (Santiago)","Espanhol","2004","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-69962004005600005&lang=pt" 
"S0717-69962004005600006-chl","Biblioteca pública","Mansilla, Luis M., Tuñón, Emilio, Díaz-Mauriño, Luis","ARQ (Santiago); (56); 24-25","ARQ (Santiago)","Espanhol","2004","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-69962004005600006&lang=pt" 
"S0717-69962004005600007-chl","Escuelas Básicas","Ross, Alicia, Undurraga, Cristián, Devés, Ana Luisa","ARQ (Santiago); (56); 26-31","ARQ (Santiago)","Espanhol","2004","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-69962004005600007&lang=pt" 
