"S1678-77572008000600007-scl","Electromyographic activity of sternocleidomastoid and masticatory muscles in patients with vestibular lesions","Tartaglia, Gianluca M., Barozzi, Stefania, Federico, Marin, Cesarani, Antonio, Ferrario, Virgilio F.","Journal of Applied Oral Science; 16(6); 391-396","Journal of Applied Oral Science","Inglês","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1678-77572008000600007&lang=pt" 
"S1678-77572008000600009-scl","Evaluation of genotypic diversity of Streptococcus mutans using distinct arbitrary primers","Tabchoury, Cínthia Pereira Machado, Sousa, Maria Clara K., Arthur, Rodrigo Alex, Mattos-Graner, Renata Oliveira, Del Bel Cury, Altair Antoninha, Cury, Jaime Aparecido","Journal of Applied Oral Science; 16(6); 403-407","Journal of Applied Oral Science","Inglês","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1678-77572008000600009&lang=pt" 
"S1678-77572008000600011-scl","p53 and MDM2 protein expression in actinic cheilitis","Freitas, Maria da Conceição Andrade de, Ramalho, Luciana Maria Pedreira, Xavier, Flávia Caló Aquino, Moreira, André Luis Gomes, Reis, Sílvia Regina Almeida","Journal of Applied Oral Science; 16(6); 414-419","Journal of Applied Oral Science","Inglês","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1678-77572008000600011&lang=pt" 
"S0103-84782008000900052-scl","Crescimento e esporulação de Bipolaris euphorbiae cultivado sob diferentes condições nutricionais: v.38, n.7, p.1907-1913, out, 2008","","Ciência Rural; 38(9); 2684-2684","Ciência Rural","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-84782008000900052&lang=pt" 
"S0103-84782008000900051-scl","Atividade física leve causa mudanças adaptativas musculares em eqüinos jovens da raça Brasileiro de Hipismo: v.38, n.5, p.1313-1318, ago, 2008","","Ciência Rural; 38(9); 2683-2683","Ciência Rural","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-84782008000900051&lang=pt" 
"S0103-84782008000900050-scl","Análise da contaminação parasitária em compostos orgânicos produzidos com biossólidos de esgoto doméstico e resíduos agropecuários: v.38, n.5, p.1279-1285, ago, 2008","","Ciência Rural; 38(9); 2682-2682","Ciência Rural","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-84782008000900050&lang=pt" 
"S0103-84782008000900049-scl","Desempenho reprodutivo de vacas de corte em lactação e solteiras submetidas à indução/sincronização de estro: v.38, n.4, p.1067-1072, jul, 2008","","Ciência Rural; 38(9); 2681-2681","Ciência Rural","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-84782008000900049&lang=pt" 
"S0103-84782008000900048-scl","Qualidade pós-colheita de frutos de butiá em função do estádio de maturação na colheita e do manejo da temperatura: v.38, n.1, p.46-53, jan-fev, 2008","","Ciência Rural; 38(9); 2680-2680","Ciência Rural","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-84782008000900048&lang=pt" 
"S0103-84782008000900046-scl","Modelagem da dinâmica de rebanho de bovino de corte por meio de cadeia de Markov","Abreu, Urbano Gomes Pinto de, Santos, Sandra Aparecida, Lopes, Paulo Sávio, Torres, Robledo de Almeida, Santos, Heleno do Nascimento","Ciência Rural; 38(9); 2666-2669","Ciência Rural","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-84782008000900046&lang=pt" 
"S0103-84782008000900006-scl","Coordenadas geográficas na estimativa das temperaturas máxima e média decendiais do ar no Estado do Rio Grande do Sul","Cargnelutti Filho, Alberto, Maluf, Jaime Ricardo Tavares, Matzenauer, Ronaldo","Ciência Rural; 38(9); 2448-2456","Ciência Rural","Português","2008","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-84782008000900006&lang=pt" 
