"S0365-05962006000300002-scl","Sarcomas cutâneos primários","Fleury Jr, Luiz Fernando Fróes, Sanches Jr, José Antonio","Anais Brasileiros de Dermatologia; 81(3); 207-221","Anais Brasileiros de Dermatologia","Inglês, Português","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0365-05962006000300002&lang=pt" 
"S0042-96862006000600012-spa","Cost and cost-effectiveness of PPM-DOTS for tuberculosis control: evidence from India","Floyd, Katherine, Arora, VK, Murthy, KJR, Lonnroth, Knut, Singla, Neeta, Akbar, Y, Zignol, Matteo, Uplekar, Mukund","Bulletin of the World Health Organization; 84(6); 437-445","Bulletin of the World Health Organization","Inglês","2006","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0042-96862006000600012&lang=pt" 
"S0042-96862006000600013-spa","Cross-sectional associations between intensity of animal and human infection with Schistosoma japonicum in Western Samar province, Philippines","McGarvey, Stephen T, Carabin, Hélène, Balolong Jr, Ernesto, Bélisle, Patrick, Fernandez, Tomas, Joseph, Lawrence, Tallo, Veronica, Gonzales, Ryan, Tarafder, Mushfiqur R, Alday, Portia, Willingham, Arve Lee, Olveda, Remigio","Bulletin of the World Health Organization; 84(6); 446-452","Bulletin of the World Health Organization","Inglês","2006","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0042-96862006000600013&lang=pt" 
"S0042-96862006000600014-spa","Multicentre study of acute alcohol use and non-fatal injuries: data from the WHO collaborative study on alcohol and injuries","Borges, Guilherme, Cherpitel, Cheryl, Orozco, Ricardo, Bond, Jason, Ye, Yu, Macdonald, Scott, Rehm, Jürgen, Poznyak, Vladimir","Bulletin of the World Health Organization; 84(6); 453-460","Bulletin of the World Health Organization","Inglês","2006","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0042-96862006000600014&lang=pt" 
"S0042-96862006000600015-spa","Methods for establishing a surveillance system for cardiovascular diseases in Indian industrial populations","Reddy, KS, Prabhakaran, D, Chaturvedi, V, Jeemon, P, Thankappan, KR, Ramakrishnan, L, Mohan, BVM, Pandav, CS, Ahmed, FU, Joshi, PP, Meera, R, Amin, RB, Ahuja, RC, Das, MS, Jaison, TM","Bulletin of the World Health Organization; 84(6); 461-469","Bulletin of the World Health Organization","Inglês","2006","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0042-96862006000600015&lang=pt" 
"S0042-96862006000600016-spa","Health transitions in sub-Saharan Africa: overview of mortality trends in children under 5 years old (1950-2000)","Garenne, Michel, Gakusi, Enéas","Bulletin of the World Health Organization; 84(6); 470-478","Bulletin of the World Health Organization","Inglês","2006","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0042-96862006000600016&lang=pt" 
"S0036-36342006000300001-mex","La influenza viral: un problema de salud pública","","Salud Pública de México; 48(3); 181-181","Salud Pública de México","Espanhol","2006","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0036-36342006000300001&lang=pt" 
"S0036-36342006000300004-mex","Adaptación y validación del instrumento de calidad de vida Diabetes 39 en pacientes mexicanos con diabetes mellitus tipo 2","López-Carmona, Juan Manuel, Rodríguez-Moctezuma, Raymundo","Salud Pública de México; 48(3); 200-211","Salud Pública de México","Espanhol","2006","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0036-36342006000300004&lang=pt" 
"S0036-36342006000300005-mex","Niveles de plomo en la población de alto riesgo y su entorno en San Ignacio, Fresnillo, Zacatecas, México","Manzanares-Acuña, Eduardo, Vega-Carrillo, Héctor René, Salas-Luévano, Miguel Ángel, Hernández-Dávila, Víctor Martín, Letechipía-de León, Consuelo, Bañuelos-Valenzuela, Rómulo","Salud Pública de México; 48(3); 212-219","Salud Pública de México","Espanhol","2006","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0036-36342006000300005&lang=pt" 
"S0036-36342006000300006-mex","Prevalencia de anticuerpos contra dengue y leptospira en la población de Jáltipan, Veracruz","Navarrete-Espinosa, Joel, Acevedo-Vales, Juan Antonio, Huerta-Hernández, Emilia, Torres-Barranca, Jorge, Gavaldón-Rosas, Dolores Guadalupe","Salud Pública de México; 48(3); 220-228","Salud Pública de México","Espanhol","2006","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0036-36342006000300006&lang=pt" 
"S0036-36342006000300007-mex","Análisis integral de las prácticas pedagógicas de un programa educativo en Colombia","Peñaranda-Correa, Fernando, Bastidas-Acevedo, Miriam, Escobar-Paucar, Gloria, Nicolás Torres-Ospina, Julio, Arango-Córdoba, Adriana","Salud Pública de México; 48(3); 229-235","Salud Pública de México","Espanhol","2006","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0036-36342006000300007&lang=pt" 
"S0036-36342006000300009-mex","La influenza, un problema vigente de salud pública","García-García, Juan, Ramos, Celso","Salud Pública de México; 48(3); 244-267","Salud Pública de México","Espanhol","2006","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0036-36342006000300009&lang=pt" 
"S0036-36342006000300010-mex","&amp;#191La próxima pandemia?","Garret, Laurie","Salud Pública de México; 48(3); 268-278","Salud Pública de México","Espanhol","2006","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0036-36342006000300010&lang=pt" 
"S0036-36342006000300011-mex","En previsión de la próxima pandemia","","Salud Pública de México; 48(3); 279-285","Salud Pública de México","Espanhol","2006","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0036-36342006000300011&lang=pt" 
"S0036-36342006000300012-mex","Sobrepeso y obesidad: epidemiología, evaluación y tratamiento","Gómez Dantés, Héctor","Salud Pública de México; 48(3); 286-287","Salud Pública de México","Espanhol","2006","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0036-36342006000300012&lang=pt" 
"S0036-36342006000300002-mex","Mortalidad materna en Guatemala: diferencias entre muerte hospitalaria y no hospitalaria","Tzul, Ana Marina, Kestler, Edgar, Hernández-Prado, Bernardo, Hernández-Girón, Carlos","Salud Pública de México; 48(3); 183-192","Salud Pública de México","Espanhol","2006","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0036-36342006000300002&lang=pt" 
"S0036-36342006000300001-spa","La influenza viral: un problema de salud pública","","Salud Pública de México; 48(3); 181-181","Salud Pública de México","Espanhol","2006","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0036-36342006000300001&lang=pt" 
"S0036-36342006000300012-spa","Sobrepeso y obesidad: epidemiología, evaluación y tratamiento","Gómez Dantés, Héctor","Salud Pública de México; 48(3); 286-287","Salud Pública de México","Espanhol","2006","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0036-36342006000300012&lang=pt" 
"S0036-36342006000300011-spa","En previsión de la próxima pandemia","","Salud Pública de México; 48(3); 279-285","Salud Pública de México","Espanhol","2006","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0036-36342006000300011&lang=pt" 
"S0036-36342006000300010-spa","&amp;#191La próxima pandemia?","Garret, Laurie","Salud Pública de México; 48(3); 268-278","Salud Pública de México","Espanhol","2006","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0036-36342006000300010&lang=pt" 
"S0036-36342006000300007-spa","Análisis integral de las prácticas pedagógicas de un programa educativo en Colombia","Peñaranda-Correa, Fernando, Bastidas-Acevedo, Miriam, Escobar-Paucar, Gloria, Nicolás Torres-Ospina, Julio, Arango-Córdoba, Adriana","Salud Pública de México; 48(3); 229-235","Salud Pública de México","Espanhol","2006","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0036-36342006000300007&lang=pt" 
"S0036-36342006000300006-spa","Prevalencia de anticuerpos contra dengue y leptospira en la población de Jáltipan, Veracruz","Navarrete-Espinosa, Joel, Acevedo-Vales, Juan Antonio, Huerta-Hernández, Emilia, Torres-Barranca, Jorge, Gavaldón-Rosas, Dolores Guadalupe","Salud Pública de México; 48(3); 220-228","Salud Pública de México","Espanhol","2006","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0036-36342006000300006&lang=pt" 
"S0036-36342006000300005-spa","Niveles de plomo en la población de alto riesgo y su entorno en San Ignacio, Fresnillo, Zacatecas, México","Manzanares-Acuña, Eduardo, Vega-Carrillo, Héctor René, Salas-Luévano, Miguel Ángel, Hernández-Dávila, Víctor Martín, Letechipía-de León, Consuelo, Bañuelos-Valenzuela, Rómulo","Salud Pública de México; 48(3); 212-219","Salud Pública de México","Espanhol","2006","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0036-36342006000300005&lang=pt" 
"S0036-36342006000300004-spa","Adaptación y validación del instrumento de calidad de vida Diabetes 39 en pacientes mexicanos con diabetes mellitus tipo 2","López-Carmona, Juan Manuel, Rodríguez-Moctezuma, Raymundo","Salud Pública de México; 48(3); 200-211","Salud Pública de México","Espanhol","2006","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0036-36342006000300004&lang=pt" 
"S0036-36342006000300002-spa","Mortalidad materna en Guatemala: diferencias entre muerte hospitalaria y no hospitalaria","Tzul, Ana Marina, Kestler, Edgar, Hernández-Prado, Bernardo, Hernández-Girón, Carlos","Salud Pública de México; 48(3); 183-192","Salud Pública de México","Espanhol","2006","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0036-36342006000300002&lang=pt" 
"S1516-14392006000200002-scl","Mechanical performance of carbon-epoxy laminates. Part I: quasi-static and impact bending properties","Tarpani, José Ricardo, Milan, Marcelo Tadeu, Spinelli, Dirceu, Bose, Waldek Wladimir","Materials Research; 9(2); 115-120","Materials Research","Inglês","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-14392006000200002&lang=pt" 
"S1516-14392006000200001-scl","Materials Research - Ibero-american Journal of Materials: judicious, fair and educative!","Zanotto, Edgar Dutra","Materials Research; 9(2); -","Materials Research","Inglês","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-14392006000200001&lang=pt" 
"S1516-14392006000200003-scl","Mechanical performance of carbon-epoxy laminates. Part II: quasi-static and fatigue tensile properties","Tarpani, José Ricardo, Milan, Marcelo Tadeu, Spinelli, Dirceu, Bose, Waldek Wladimir","Materials Research; 9(2); 121-130","Materials Research","Inglês","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-14392006000200003&lang=pt" 
"S0004-282X2006000200009-scl","Association of cytokines, neurological disability, and disease duration in HAM/TSP patients","Muniz, André Luiz, Rodrigues Jr., Waldyr, Santos, Silvane B., Jesus, Amélia R. de, Porto, Aurélia F., Castro, Néviton, Oliveira-Filho, Jamary, Almeida, Juliana Passos, Moreno-Carvalho, Otávio, Carvalho, Edgar M.","Arquivos de Neuro-Psiquiatria; 64(2a); 217-221","Arquivos de Neuro-Psiquiatria","Inglês","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-282X2006000200009&lang=pt" 
"S0004-282X2006000200019-scl","Relação entre tensão neural adversa e estudos de condução nervosa em pacientes com sintomas da sídrome do túnel do carpo","Mahmud, Mahmud Ahmad Ismail, Merlo, Álvaro Roberto Crespo, Gomes, Irênio, Becker, Jefferson, Nora, Daniel Bocchese","Arquivos de Neuro-Psiquiatria; 64(2a); 277-282","Arquivos de Neuro-Psiquiatria","Português","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-282X2006000200019&lang=pt" 
"S0004-282X2006000200001-scl","Specific language impairment: linguistic and neurobiological aspects","Hage, Simone Rocha de Vasconcelos, Cendes, Fernando, Montenegro, Maria Augusta, Abramides, Dagma V., Guimarães, Catarina A., Guerreiro, Marilisa Mantovani","Arquivos de Neuro-Psiquiatria; 64(2a); 173-180","Arquivos de Neuro-Psiquiatria","Inglês","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0004-282X2006000200001&lang=pt" 
"S0036-36342006000300003-mex","Hiperlipidemia e intolerancia a la glucosa en un grupo de pacientes infectados con VIH que reciben terapia antirretrovírica hiperactiva","Castro-Sansores, Carlos José, Santos-Rivero, Adrián, Lara-Perera, Dora, González-Martínez, Pedro, Alonso-Salomón, Gabriela, Góngora-Biachi, Renan A.","Salud Pública de México; 48(3); 193-199","Salud Pública de México","Espanhol","2006","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0036-36342006000300003&lang=pt" 
"S0036-36342006000300008-mex","Cervical cancer and the HPV link: identifying areas for education in Mexico City&#039;s public hospitals","Aldrich, Tess, Landis, Sarah, García, Sandra G., Becker, Davida, Sanhueza, Patricio, Higuera, Anjarath","Salud Pública de México; 48(3); 236-243","Salud Pública de México","Inglês","2006","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0036-36342006000300008&lang=pt" 
"S0066-782X2006000600002-scl","Fatores adicionais de risco cardiovascular associados ao excesso de peso em crianças e adolescentes: o estudo do coração de Belo Horizonte","Ribeiro, Robespierre Q. C., Lotufo, Paulo A., Lamounier, Joel A., Oliveira, Reynaldo G., Soares, José Francisco, Botter, Denise Aparecida","Arquivos Brasileiros de Cardiologia; 86(6); 408-418","Arquivos Brasileiros de Cardiologia","Inglês, Português","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0066-782X2006000600002&lang=pt" 
"S0066-782X2006000600005-scl","Critérios ecocardiográficos para definição de graus de disfunção ventricular em ratos portadores de estenose aórtica","Moreira, Vanessa Oliveira, Castro, Ana Valéria Barros de, Yaegaschi, Marcelle Yumi, Cicogna, Antonio Carlos, Okoshi, Marina Politi, Pereira, Camila Alves, Aragon, Flávio Ferrari, Bruno, Mário Batista, Padovani, Carlos Roberto, Okoshi, Katashi","Arquivos Brasileiros de Cardiologia; 86(6); 432-438","Arquivos Brasileiros de Cardiologia","Inglês, Português","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0066-782X2006000600005&lang=pt" 
"S1678-58782006000200002-scl","Global analysis of aerodynamics deflectors efficiency in the grinding process","Catai, Rodrigo E., Bianchi, Eduardo C., Zilio, Felipe M., Valarelli, Ivan de D., Alves, Manoel C. de S., Silva, Leonardo R., Aguiar, Paulo R. de","Journal of the Brazilian Society of Mechanical Sciences and Engineering; 28(2); 140-145","Journal of the Brazilian Society of Mechanical Sciences and Engineering","Inglês","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1678-58782006000200002&lang=pt" 
"S1678-58782006000200001-scl","Orbital maneuvers between the Lagrangian points and the primaries in the Earth-Sun system","Prado, Antônio F. B. Almeida","Journal of the Brazilian Society of Mechanical Sciences and Engineering; 28(2); 131-139","Journal of the Brazilian Society of Mechanical Sciences and Engineering","Inglês","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1678-58782006000200001&lang=pt" 
"S1678-58782006000200003-scl","Wear behavior of uncoated carbide inserts under dry, wet and cryogenic cooling conditions in turning C-60 steel","Dhar, Nikhil R., Islam, Sumaiya, Kamruzzaman, Md., Paul, Soumitra","Journal of the Brazilian Society of Mechanical Sciences and Engineering; 28(2); 146-152","Journal of the Brazilian Society of Mechanical Sciences and Engineering","Inglês","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1678-58782006000200003&lang=pt" 
"S1678-58782006000200006-scl","High-resolution simulations of gravity currents","Birman, V. K., Meiburg, E.","Journal of the Brazilian Society of Mechanical Sciences and Engineering; 28(2); 169-173","Journal of the Brazilian Society of Mechanical Sciences and Engineering","Inglês","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1678-58782006000200006&lang=pt" 
"S1516-44462006000200026-scl","Vocação médica: um estudo de gênero","Freitas, Vania Medina Vieira de","Revista Brasileira de Psiquiatria; 28(2); 167-167","Revista Brasileira de Psiquiatria","Português","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-44462006000200026&lang=pt" 
"S1516-44462006000200024-scl","Comentário sobre &quot;Qualidade de vida em irmãos de autistas - II&quot;","Kuczynski, Evelyn","Revista Brasileira de Psiquiatria; 28(2); 164-165","Revista Brasileira de Psiquiatria","Português","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-44462006000200024&lang=pt" 
"S1516-44462006000200025-scl","Fronteiras da Terapia Cognitiva","Wielenska, Regina Christina","Revista Brasileira de Psiquiatria; 28(2); 166-166","Revista Brasileira de Psiquiatria","Português","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-44462006000200025&lang=pt" 
"S1516-44462006000200022-scl","Neurotoxicidade persistente secundária ao uso de lítio: relato de caso","Araújo, Leandro Carvalho, Nery-Fernandes, Fabiana, Quarantini, Lucas C, Miranda-Scippa, Ângela","Revista Brasileira de Psiquiatria; 28(2); 163-163","Revista Brasileira de Psiquiatria","Português","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-44462006000200022&lang=pt" 
"S1516-44462006000200023-scl","Limbic encephalitis manifesting as a psychotic disorder","Teixeira, Antonio Lucio, Malheiros, José Augusto, Oliveira, José Teotônio de, Nicolato, Rodrigo, Corrêa, Humberto","Revista Brasileira de Psiquiatria; 28(2); 163-164","Revista Brasileira de Psiquiatria","Inglês","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-44462006000200023&lang=pt" 
"S1516-44462006000200020-scl","Obsessive-compulsive symptoms in non-active rheumatic fever","Alvarenga, Pedro G, Floresi, Ana C, Hounie, Ana G, Petribú, Kátia, França, Milena F","Revista Brasileira de Psiquiatria; 28(2); 161-161","Revista Brasileira de Psiquiatria","Inglês","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-44462006000200020&lang=pt" 
"S1516-44462006000200021-scl","Agranulocitose reversível induzida por clozapina","Nery-Fernandes, Fabiana, Silveira, Victor Pablo, Quarantini, Lucas C, Coutinho, Domingos Macedo, Scippa, Ângela Marisa de Aquino Miranda","Revista Brasileira de Psiquiatria; 28(2); 162-162","Revista Brasileira de Psiquiatria","Português","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-44462006000200021&lang=pt" 
"S1516-44462006000200018-scl","Importância dos aspectos culturais em um caso com agitação psicomotora","Baldaçara, Leonardo, Nóbrega, Luciana PC, Haraguchi, Fernando, Lastoria, Veruska, Suozzo, Aida C","Revista Brasileira de Psiquiatria; 28(2); 159-160","Revista Brasileira de Psiquiatria","Português","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-44462006000200018&lang=pt" 
"S1516-44462006000200019-scl","Tardive dystonia, a case report","Veras, André B, Rozenthal, Márcia, Nardi, Antonio E","Revista Brasileira de Psiquiatria; 28(2); 160-161","Revista Brasileira de Psiquiatria","Inglês","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-44462006000200019&lang=pt" 
"S1516-44462006000200016-scl","Treatment emergent affective switch with topiramate","Tamada, Renata Sayuri, Amaral, Jose Antonio de Mello Siqueira, Issler, Cilly Kluger, Lafer, Beny","Revista Brasileira de Psiquiatria; 28(2); 158-158","Revista Brasileira de Psiquiatria","Inglês","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-44462006000200016&lang=pt" 
"S1516-44462006000200017-scl","Association study between the 1287 A/G exonic polymorphism of the norepinephrine transporter (NET) gene and obsessive-compulsive disorder in a Brazilian sample","Miguita, Karen, Cordeiro, Quirino, Shavitt, Roseli Gedanke, Miguel, Euripedes Constantino, Vallada, Homero","Revista Brasileira de Psiquiatria; 28(2); 158-159","Revista Brasileira de Psiquiatria","Inglês","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-44462006000200017&lang=pt" 
"S1516-44462006000200002-scl","Is there place for placebo controlled trials in the treatment of affective disorders?","Fineberg, Naomi A, Gale, Tim M, Hawley, Chris J","Revista Brasileira de Psiquiatria; 28(2); 89-90","Revista Brasileira de Psiquiatria","Inglês","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-44462006000200002&lang=pt" 
"S1516-44462006000200003-scl","Evaluating endophenotypes for psychiatric disorders","Hasler, Gregor","Revista Brasileira de Psiquiatria; 28(2); 91-92","Revista Brasileira de Psiquiatria","Inglês","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-44462006000200003&lang=pt" 
"S1516-44462006000200001-scl","A Revista Brasileira de Psiquiatria agora tem o seu próprio site!","Bressan, Rodrigo A., Miguel, Euripedes C., Mercadante, Marcos T., Rohde, Luis Augusto, Mari, Jair J., Tavares, Hermano","Revista Brasileira de Psiquiatria; 28(2); 88-88","Revista Brasileira de Psiquiatria","Inglês, Português","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-44462006000200001&lang=pt" 
"S1516-44462006000200005-scl","Diagnosis and pharmacological treatment of depressive disorders in a general hospital","Cigognini, Marco Aurélio, Furlanetto, Letícia Maria","Revista Brasileira de Psiquiatria; 28(2); 97-103","Revista Brasileira de Psiquiatria","Inglês","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-44462006000200005&lang=pt" 
"S1516-44462006000200007-scl","Mental disorders prevalence among female caregivers of children in a cohort study in Salvador, Brazil","Santos, Darci Neves, Almeida-Filho, Naomar, Cruz, Slanowa Santos, Souza, Silvana dos Santos, Santos, Evanildes Costa, Barreto, Maurício Lima, Oliveira, Irismar Reis de","Revista Brasileira de Psiquiatria; 28(2); 111-117","Revista Brasileira de Psiquiatria","Inglês","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-44462006000200007&lang=pt" 
"S1516-44462006000200009-scl","Teenage pregnancy: use of drugs in the third trimester and prevalence of psychiatric disorders","Mitsuhiro, Sandro Sendin, Chalem, Elisa, Barros, Marina Moraes, Guinsburg, Ruth, Laranjeira, Ronaldo","Revista Brasileira de Psiquiatria; 28(2); 122-125","Revista Brasileira de Psiquiatria","Inglês","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-44462006000200009&lang=pt" 
"S1516-44462006000200011-scl","The effect of 5-HT2a/2c receptor agonist microinjected into central amygdaloid nucleus and median preoptic area on maternal aggressive behavior in rats","Almeida, Rosa Maria Martins de, Giovenardi, Marcia, Silva, Simone Perroni da, Oliveira, Verônica Paz de, Stein, Dirson João","Revista Brasileira de Psiquiatria; 28(2); 130-134","Revista Brasileira de Psiquiatria","Inglês","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-44462006000200011&lang=pt" 
"S1516-44462006000200015-scl","History of cannabis as a medicine: a review","Zuardi, Antonio Waldo","Revista Brasileira de Psiquiatria; 28(2); 153-157","Revista Brasileira de Psiquiatria","Inglês","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-44462006000200015&lang=pt" 
"S1516-44462006000200014-scl","Is the outcome of schizophrenia really better in developing countries?","Patel, Vikram, Cohen, Alex, Thara, Rangaswamy, Gureje, Oye","Revista Brasileira de Psiquiatria; 28(2); 149-152","Revista Brasileira de Psiquiatria","Inglês","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-44462006000200014&lang=pt" 
"S1516-44462006000200010-scl","Excessive daytime sleepiness in patients with depressive disorder","Chellappa, Sarah Laxhmi, Araújo, John Fontenele","Revista Brasileira de Psiquiatria; 28(2); 126-129","Revista Brasileira de Psiquiatria","Inglês","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-44462006000200010&lang=pt" 
"S1516-44462006000200004-scl","Bipolar depression: the importance of being on remission","Gazalle, Fernando Kratz, Andreazza, Ana Cristina, Hallal, Pedro Curi, Kauer-Sant&#039;Anna, Márcia, Ceresér, Keila Maria, Soares, Jair C, Santin, Aida, Kapczinski, Flávio","Revista Brasileira de Psiquiatria; 28(2); 93-96","Revista Brasileira de Psiquiatria","Inglês","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-44462006000200004&lang=pt" 
"S0103-90162006000300003-scl","Water-yield relationships of potato under different irrigation methods and regimens","Erdem, Tolga, Erdem, Yesim, Orta, Halim, Okursoy, Hakan","Scientia Agricola; 63(3); 226-231","Scientia Agricola","Inglês","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-90162006000300003&lang=pt" 
"S0103-90162006000300008-scl","Digital soil mapping using multiple logistic regression on terrain parameters in southern Brazil","Giasson, Elvio, Clarke, Robin Thomas, Inda Junior, Alberto Vasconcellos, Merten, Gustavo Henrique, Tornquist, Carlos Gustavo","Scientia Agricola; 63(3); 262-268","Scientia Agricola","Inglês","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-90162006000300008&lang=pt" 
"S0103-90162006000300012-scl","Economic analysis of organic greenhouse lettuce production in Turkey","Engindeniz, Sait, Tuzel, Yuksel","Scientia Agricola; 63(3); 285-290","Scientia Agricola","Inglês","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-90162006000300012&lang=pt" 
"S0103-90162006000300011-scl","Antibiotic resistence of Aeromonas hydrophila isolated from Piaractus mesopotamicus (Holmberg, 1887) and Oreochromis niloticus (Linnaeus, 1758)","Belém-Costa, Andréa, Cyrino, José Eurico Possebon","Scientia Agricola; 63(3); 281-284","Scientia Agricola","Inglês","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-90162006000300011&lang=pt" 
"S0103-90162006000300014-scl","Phytoextraction: a review on enhanced metal availability and plant accumulation","Nascimento, Clístenes Williams Araújo do, Xing, Baoshan","Scientia Agricola; 63(3); 299-311","Scientia Agricola","Inglês","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-90162006000300014&lang=pt" 
"S0103-90162006000300015-scl","Erratum","","Scientia Agricola; 63(3); 313-313","Scientia Agricola","Inglês","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-90162006000300015&lang=pt" 
"S0103-90162006000300010-scl","Organic acids effects on desorption of heavy metals from a contaminated soil","Nascimento, Clístenes Williams Araújo do","Scientia Agricola; 63(3); 276-280","Scientia Agricola","Inglês","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-90162006000300010&lang=pt" 
"S0036-36342006000300008-spa","Cervical cancer and the HPV link: identifying areas for education in Mexico City&#039;s public hospitals","Aldrich, Tess, Landis, Sarah, García, Sandra G., Becker, Davida, Sanhueza, Patricio, Higuera, Anjarath","Salud Pública de México; 48(3); 236-243","Salud Pública de México","Inglês","2006","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0036-36342006000300008&lang=pt" 
"S0036-36342006000300003-spa","Hiperlipidemia e intolerancia a la glucosa en un grupo de pacientes infectados con VIH que reciben terapia antirretrovírica hiperactiva","Castro-Sansores, Carlos José, Santos-Rivero, Adrián, Lara-Perera, Dora, González-Martínez, Pedro, Alonso-Salomón, Gabriela, Góngora-Biachi, Renan A.","Salud Pública de México; 48(3); 193-199","Salud Pública de México","Espanhol","2006","http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0036-36342006000300003&lang=pt" 
"S0066-782X2006000600001-scl","Alterações cardiovasculares na síndrome da apnéia obstrutiva do sono","Cintra, Fátima Dumas, Poyares, Dalva, Guilleminault, Christian, Carvalho, Antonio Carlos, Tufik, Sergio, Paola, Angelo A. V. de","Arquivos Brasileiros de Cardiologia; 86(6); 399-407","Arquivos Brasileiros de Cardiologia","Inglês, Português","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0066-782X2006000600001&lang=pt" 
"S0066-782X2006000600003-scl","Concentração sérica de lípides e apolipoproteína B em recém-nascidos","Donegá, Sirlei, Oba, Jane, Maranhão, Raul C.","Arquivos Brasileiros de Cardiologia; 86(6); 419-424","Arquivos Brasileiros de Cardiologia","Inglês, Português","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0066-782X2006000600003&lang=pt" 
