"S0365-05962006000300002-scl","Sarcomas cutâneos primários","Fleury Jr, Luiz Fernando Fróes, Sanches Jr, José Antonio","Anais Brasileiros de Dermatologia; 81(3); 207-221","Anais Brasileiros de Dermatologia","Inglês, Português","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0365-05962006000300002&lang=pt" 
"S0716-078X2006000200006-chl","Relación entre características del hábitat y estructura del ensamble de insectos en humedales palustres urbanos del centro-sur de Chile","VILLAGRÁN-MELLA, ROMINA, AGUAYO, MAURICIO, PARRA, LUIS E, GONZÁLEZ, ANGÉLICA","Revista chilena de historia natural; 79(2); 195-211","Revista chilena de historia natural","Espanhol","2006","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0716-078X2006000200006&lang=pt" 
"S0716-078X2006000200007-chl","Revisiting chlorophyll data along the coast in north-central Chile, considering multiscale environmental variability","MONTECINO, VIVIAN, PAREDES, M. ALEJANDRA, PAOLINI, PEDRO, RUTLLANT, JOSÉ","Revista chilena de historia natural; 79(2); 213-223","Revista chilena de historia natural","Inglês","2006","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0716-078X2006000200007&lang=pt" 
"S0716-078X2006000200008-chl","Breeding system of Embothrium coccineum (Proteaceae) in two populations on different slopes of the Andes","ROVERE, ADRIANA E, SMITH-RAMÍREZ, CECILIA, ARMESTO, JUAN J, PREMOLI, ANDREA C","Revista chilena de historia natural; 79(2); 225-232","Revista chilena de historia natural","Inglês","2006","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0716-078X2006000200008&lang=pt" 
"S0716-078X2006000200009-chl","Plant community variation across a puna landscape in the Chilean Andes","LAMBRINOS, JOHN G, KLEIER, CATHERINE C, RUNDEL, PHILIP W","Revista chilena de historia natural; 79(2); 233-243","Revista chilena de historia natural","Inglês","2006","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0716-078X2006000200009&lang=pt" 
"S0716-078X2006000200010-chl","Bofedales: high altitude peatlands of the central Andes","SQUEO, FRANCISCO A, WARNER, BARRY G, ARAVENA, RAMÓN, ESPINOZA, DIANA","Revista chilena de historia natural; 79(2); 245-255","Revista chilena de historia natural","Inglês","2006","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0716-078X2006000200010&lang=pt" 
"S0716-078X2006000200011-chl","First record of the invasive medusa Blackfordia virginica (Hydrozoa: Leptomedusae) in the Río de la Plata estuary, Argentina-Uruguay","GENZANO, GABRIEL, MIANZAN, HERMES, ACHA, EDUARDO M, GAITÁN, ESTEBAN","Revista chilena de historia natural; 79(2); 257-261","Revista chilena de historia natural","Inglês","2006","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0716-078X2006000200011&lang=pt" 
"S0716-078X2006000200012-chl","Native and non-indigenous boring polychaetes in Chile: a threat to native and commercial mollusc species","MORENO, RODRIGO A, NEILL, PAULA E, ROZBACZYLO, NICOLÁS","Revista chilena de historia natural; 79(2); 263-278","Revista chilena de historia natural","Inglês","2006","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0716-078X2006000200012&lang=pt" 
"S0716-078X2006000200013-chl","Is natural history really dead?: Toward the rebirth of natural history","WILLSON, MARY F, ARMESTO, JUAN J","Revista chilena de historia natural; 79(2); 279-283","Revista chilena de historia natural","Inglês","2006","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0716-078X2006000200013&lang=pt" 
"S0365-05962006000300011-scl","Corticosteróide tópico oclusivo no tratamento de manifestações gengivais de doenças vesicobolhosas auto-imunes","Motta, Ana Carolina Fragoso, Komesu, Marilena Chinali, Grisi, Márcio Fernando de Moraes, Souza, Cacilda da Silva, Roselino, Ana Maria Ferreira, Migliari, Dante Antonio","Anais Brasileiros de Dermatologia; 81(3); 283-285","Anais Brasileiros de Dermatologia","Inglês, Português","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0365-05962006000300011&lang=pt" 
"S0101-81752006000200025-scl","Environmental influences on distribution of four Sciaenidae species (Actinopterygii, Perciformes) in a tropical bay at Southeastern Brazil","Araújo, Francisco G., Guimarães, Francisco J. da C., Costa, Marcus R. da","Revista Brasileira de Zoologia; 23(2); 497-508","Revista Brasileira de Zoologia","Inglês","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-81752006000200025&lang=pt" 
"S0101-81752006000200028-scl","Description of the male of Aillutticus rotundus Galiano and five new species of Aillutticus Galiano from Brazil (Araneae, Salticidae, Sitticinae)","Ruiz, Gustavo R. S., Brescovit, Antonio D.","Revista Brasileira de Zoologia; 23(2); 529-536","Revista Brasileira de Zoologia","Inglês","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-81752006000200028&lang=pt" 
"S0101-81752006000200030-scl","On the genus Psalistopoides Mello-Leitão (Araneae, Mygalomorphae, Nemesiidae)","Lucas, Sylvia M., Indicatti, Rafael P.","Revista Brasileira de Zoologia; 23(2); 547-549","Revista Brasileira de Zoologia","Inglês","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-81752006000200030&lang=pt" 
"S0101-81752006000200032-scl","Does predator benefits prey? Commensalism between Corynoneura Winnertz (Diptera, Chironomidae) and Corydalus Latreille (Megaloptera, Corydalidae) in Southeastern Brazil","Callisto, Marcos, Goulart, Michael D.C., Moreno, Pablo, Martins, Rogério P.","Revista Brasileira de Zoologia; 23(2); 569-572","Revista Brasileira de Zoologia","Inglês","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-81752006000200032&lang=pt" 
"S0101-81752006000200036-scl","Hololepta (Leionota) reichii Marseul (Coleoptera, Histeridae), un nuevo enemigo natural para la meliponicultura en la Amazonía Central, Brasil","Coletto-Silva, Alexandre, Freire, Delci da C. B.","Revista Brasileira de Zoologia; 23(2); 588-591","Revista Brasileira de Zoologia","Espanhol","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-81752006000200036&lang=pt" 
"S0101-81752006000200034-scl","Ocorrência de Histiotus montanus montanus (Philippi &amp; Landbeck) (Chiroptera, Vespertilionidae) no Rio Grande do Sul, Brasil","Fabián, Marta E., Grillo, Hamilton C. Z., Marder, Elisangela","Revista Brasileira de Zoologia; 23(2); 581-583","Revista Brasileira de Zoologia","Português","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-81752006000200034&lang=pt" 
"S0101-81752006000200035-scl","Primeiro registro de Histiotus montanus (Philippi &amp; Landbeck) para o Estado do Paraná, Brasil (Chiroptera, Vespertilionidae)","Miranda, João M. D., Pulchério-Leite, Atenisi, Moro-Rios, Rodrigo F., Passos, Fernando C.","Revista Brasileira de Zoologia; 23(2); 584-587","Revista Brasileira de Zoologia","Português","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-81752006000200035&lang=pt" 
"S0103-20702006000100021-scl","Les ouvriers et la politique: permanence, ruptures, réalignements 1962-2002","Rombaldi, Maurício","Tempo Social; 18(1); 400-401","Tempo Social","Português","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-20702006000100021&lang=pt" 
"S0103-20702006000100014-scl","Sociologia como ponto de vista","Jackson, Luiz Carlos","Tempo Social; 18(1); 267-269","Tempo Social","Português","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-20702006000100014&lang=pt" 
"S0103-20702006000100001-scl","","Telles, Vera da Silva","Tempo Social; 18(1); 3-7","Tempo Social","Português","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-20702006000100001&lang=pt" 
"S0103-20702006000100023-scl","Culturas de classe","Ostronoff, Leonardo José","Tempo Social; 18(1); 404-406","Tempo Social","Português","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-20702006000100023&lang=pt" 
"S0103-20702006000100006-scl","Viagem a Montbéliard","Cabanes, Robert","Tempo Social; 18(1); 105-113","Tempo Social","Português","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-20702006000100006&lang=pt" 
"S0103-20702006000100022-scl","Forças do trabalho: movimentos de trabalhadores e globalização desde 1870","Ranieri, Jesus","Tempo Social; 18(1); 401-404","Tempo Social","Português","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-20702006000100022&lang=pt" 
"S0103-20702006000100020-scl","&quot;Pays de malheur!&quot;. Un jeune de cité écrit à un sociologue","Holder, Samuel","Tempo Social; 18(1); 395-400","Tempo Social","Português","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-20702006000100020&lang=pt" 
"S0001-37652006000200003-scl","Rhizophores in Rhizophora mangle L: an alternative interpretation of so-called &#039;&#039;aerial roots&#039;&#039;","Menezes, Nanuza L. de","Anais da Academia Brasileira de Ciências; 78(2); 213-226","Anais da Academia Brasileira de Ciências","Inglês","2006","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0001-37652006000200003&lang=pt" 
