"S0100-06832017000100507-scl","Characteristics of Soils in Highland Wetlands as a Subsidy to Identifying and Setting their Limits","Warmling, Maria Tereza, Albuquerque, Jackson Adriano, Almeida, Jaime Antonio de, Warmling, Maria Izabel","Revista Brasileira de Ciência do Solo; 41(); -","Revista Brasileira de Ciência do Solo","Inglês","2017","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-06832017000100507&lang=pt" 
"S2359-39972017005003105-scl","Likelihood of malignancy in thyroid nodules according to a proposed Thyroid Imaging Reporting and Data System (TI-RADS) classification merging suspicious and benign ultrasound features","Delfim, Ricardo Luiz Costantin, Veiga, Leticia Carrasco Garcez da, Vidal, Ana Paula Aguiar, Lopes, Flávia Paiva Proença Lobo, Vaisman, Mário, Teixeira, Patrícia de Fatima dos Santos","Archives of Endocrinology and Metabolism; (ahead); -","Archives of Endocrinology and Metabolism","Inglês","2017","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S2359-39972017005003105&lang=pt" 
"S1981-38212017000100501-scl","Taking Portfolios Difference Seriously: A Composite Measure Based on Policy, Office, and Budget in Brazil","Batista, Mariana","Brazilian Political Science Review; 11(1); -","Brazilian Political Science Review","Inglês","2017","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1981-38212017000100501&lang=pt" 
"S1806-11172017000300703-scl","Determinação do índice de refração dos materiais pelo método de Ptolomeu","Martinho, Marcos Paulo, Soares, Vitorvani","Revista Brasileira de Ensino de Física; 39(3); -","Revista Brasileira de Ensino de Física","Português","2017","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1806-11172017000300703&lang=pt" 
"S0100-06832017000100510-scl","The Use of DRIS for Nutritional Diagnosis in Oil Palm in the State of Pará","Matos, Gilson Sergio Bastos de, Fernandes, Antonio Rodrigues, Wadt, Paulo Guilherme Salvador, Pina, Antônio José de Abreu, Franzini, Vinícius Ide, Ramos, Helen Monique Nascimento","Revista Brasileira de Ciência do Solo; 41(); -","Revista Brasileira de Ciência do Solo","Inglês","2017","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-06832017000100510&lang=pt" 
"S0100-06832017000100409-scl","Bulk Density Prediction for Histosols and Soil Horizons with High Organic Matter Content","Beutler, Sidinei Julio, Pereira, Marcos Gervasio, Tassinari, Wagner de Souza, Menezes, Michele Duarte de, Valladares, Gustavo Souza, Anjos, Lúcia Helena Cunha dos","Revista Brasileira de Ciência do Solo; 41(); -","Revista Brasileira de Ciência do Solo","Inglês","2017","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-06832017000100409&lang=pt" 
"S2359-39972017005003102-scl","The role of moderate-to-vigorous physical activity in mediating the relationship between central adiposity and immunometabolic profile in postmenopausal women","Diniz, Tiego A., Rossi, Fabricio E., Silveira, Loreana S., Neves, Lucas Melo, Fortaleza, Ana Claudia de Souza, Christofaro, Diego G. D., Lira, Fabio S., Freitas Junior, Ismael F.","Archives of Endocrinology and Metabolism; (ahead); -","Archives of Endocrinology and Metabolism","Inglês","2017","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S2359-39972017005003102&lang=pt" 
"S2317-64312017000100303-scl","A influência de sintomas da disfunção temporomandibular na força máxima de mordida em indivíduos com deformidade dentofacial","Passos, Dannyelle Christina Bezerra de Oliveira Freitas, Prado, Daniela Galvão de Almeida, Nary-Filho, Hugo, Berretin-Felix, Giédre","Audiology - Communication Research; 22(); -","Audiology - Communication Research","Português","2017","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S2317-64312017000100303&lang=pt" 
"S0100-06832017000100408-scl","Physical Properties and Crop Management for Corn in an Albaqualf","Giacomeli, Robson, Marchesan, Enio, Oliveira, Maurício Limberger de, Martin, Thomas Newton, Teló, Gustavo Mack, Donato, Gabriel, Silva, Marília Ferreira da","Revista Brasileira de Ciência do Solo; 41(); -","Revista Brasileira de Ciência do Solo","Inglês","2017","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-06832017000100408&lang=pt" 
"S0102-69092017000100705-scl","Mídias participativas e violências extremas: uma etnografia on-line dos tiroteios em escolas","Rodrigues, Tiago Hyra","Revista Brasileira de Ciências Sociais; 32(93); -","Revista Brasileira de Ciências Sociais","Português","2017","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-69092017000100705&lang=pt" 
"S1809-68912017000100200-scl","IMPACTO DA DISTRIBUIÇÃO DE NÚMERO DESIGUAL DE PROGÊNIES POR REPRODUTOR NA AVALIAÇÃO GENÉTICA DE ANIMAIS, EM AMBIENTES COM PRESENÇA DE HETEROGENEIDADE DE VARIÂNCIA AMBIENTAL","Araujo, Claudio Vieira de, Oliveira, Lutero de Andrade, Araujo, Simone Inoe, Silva, Delvan Alves da, Silva, Alessandra Alves da","Ciência Animal Brasileira; 18(); -","Ciência Animal Brasileira","Português","2017","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1809-68912017000100200&lang=pt" 
"S0102-69092017000100701-scl","Reconfigurações da sociologia francesa contemporânea (1960-2000)","Martins, Carlos Benedito","Revista Brasileira de Ciências Sociais; 32(93); -","Revista Brasileira de Ciências Sociais","Português","2017","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-69092017000100701&lang=pt" 
"S0102-69092017000100704-scl","O pensamento revolucionário de Nicolau Maquiavel","Mussi, Daniela","Revista Brasileira de Ciências Sociais; 32(93); -","Revista Brasileira de Ciências Sociais","Português","2017","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-69092017000100704&lang=pt" 
"S2359-39972017005003103-scl","Association of 5-HT2C (rs3813929) and UCP3 (rs1800849) gene polymorphisms with type 2 diabetes in obese women candidates for bariatric surgery","Schnor, Noa Pereira Prada, Verlengia, Rozangela, Novais, Patrícia Fátima Sousa, Crisp, Alex Harley, Leite, Celso Vieira de Souza, Rasera-Junior, Irineu, Oliveira, Maria Rita Marques de","Archives of Endocrinology and Metabolism; (ahead); -","Archives of Endocrinology and Metabolism","Inglês","2017","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S2359-39972017005003103&lang=pt" 
