"S1983-14472014000400014-scl","Participation of the family in hospital-based palliative cancer care: perspective of nurses","Silva, Marcelle Miranda da, Lima, Lorhanna da Silva","Revista Gaúcha de Enfermagem; 35(4); 14-19","Revista Gaúcha de Enfermagem","Inglês, Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1983-14472014000400014&lang=pt" 
"S1983-14472014000400042-scl","Self-care among patients enrolled in a self-monitoring blood glucose program","Veras, Vivian Saraiva, Santos, Manoel Antônio dos, Rodrigues, Flavia Fernanda Luchetti, Arrelias, Clarissa Cordeiro Alves, Pedersoli, Tatiane Aparecida Martins, Zanetti, Maria Lúcia","Revista Gaúcha de Enfermagem; 35(4); 42-48","Revista Gaúcha de Enfermagem","Inglês, Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1983-14472014000400042&lang=pt" 
"S1983-14472014000400049-scl","Work ability in hospital housekeeping services and associated factors","Beltrame, Marlize Tatsch, Magnago, Tânia Solange Bosi de Souza, Kirchhof, Ana Lúcia Cardoso, Marconato, Cintia da Silva, Morais, Bruna Xavier","Revista Gaúcha de Enfermagem; 35(4); 49-57","Revista Gaúcha de Enfermagem","Inglês, Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1983-14472014000400049&lang=pt" 
"S1983-14472014000400058-scl","Organizational context and care management by nurses at emergency care units","Santos, José Luís Guedes dos, Pestana, Aline Lima, Higashi, Giovana Dorneles Callegaro, Oliveira, Roberta Juliane Tono de, Cassetari, Sônia da Silva Reis, Erdmann, Alacoque Lorenzini","Revista Gaúcha de Enfermagem; 35(4); 58-64","Revista Gaúcha de Enfermagem","Inglês, Português","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1983-14472014000400058&lang=pt" 
"S1981-86372014000400417-scl","Obstructive sleep apnea syndrome: how should the dental surgeon proceed?","RONSANI, Maiara Medeiros, MEIRA, Thiago Martins, GODOLFIM, Luiz Roberto, GARANHANI, Roberto Ramos","RGO - Revista Gaúcha de Odontologia; 62(4); 417-424","RGO - Revista Gaúcha de Odontologia","Inglês","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1981-86372014000400417&lang=pt" 
"S1981-86372014000400453-scl","Lower third molar fused with a supernumerary tooth: diagnosis and treatment planning using Cone-Beam Computed Tomography","FERREIRA-JÚNIOR, Osny, ÁVILA, Luciana Dorigatti de, SAMPIERI, Marcelo Bonifácio da Silva, DIAS-RIBEIRO, Eduardo","RGO - Revista Gaúcha de Odontologia; 62(4); 453-458","RGO - Revista Gaúcha de Odontologia","Inglês","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1981-86372014000400453&lang=pt" 
"S1981-86372014000400425-scl","Unusual facial lipoma","MENESES, Raphael Oliveira de, TAVARES, Sócrates Steffano Silva, PEIXOTO, Tony Santos, ARAGÃO, Maria do Socorro, GODOY, Gustavo Pina","RGO - Revista Gaúcha de Odontologia; 62(4); 425-430","RGO - Revista Gaúcha de Odontologia","Inglês","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1981-86372014000400425&lang=pt" 
"S1981-86372014000400371-scl","Relation between bruxism and dental implants","TORCATO, Leonardo Bueno, ZUIM, Paulo Renato Junqueira, BRANDINI, Daniela Atili, FALCÓN-ANTENUCCI, Rosse Mary","RGO - Revista Gaúcha de Odontologia; 62(4); 371-376","RGO - Revista Gaúcha de Odontologia","Inglês","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1981-86372014000400371&lang=pt" 
"S1981-86372014000400365-scl","Bond strength to dentin of total-etch and self-etch adhesive systems","SANTOS, Ricardo Alves dos, LIMA, Eliane Alves de, PONTES, Mônica Maria de Albuquerque, NASCIMENTO, Alexandre Batista Lopes do, MONTES, Marcos Antônio Japiassú Resende, BRAZ, Rodivan","RGO - Revista Gaúcha de Odontologia; 62(4); 365-370","RGO - Revista Gaúcha de Odontologia","Inglês","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1981-86372014000400365&lang=pt" 
"S1981-86372014000400357-scl","Surface treatment of implants: primary stability","OLISCOVICZ, Nathalia Ferraz, SILVA, Ronaldo José da, LEPRI, César Penazzo, MARCANTONIO, Élcio, REIS, Andréa Cândido dos","RGO - Revista Gaúcha de Odontologia; 62(4); 357-364","RGO - Revista Gaúcha de Odontologia","Inglês","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1981-86372014000400357&lang=pt" 
"S1981-86372014000400383-scl","Craniofacial features of operated unilateral complete cleft lip and palate children: a case control study","ROMANINI, Renata Cristina Suzin, VEDOVELLO, Silvia, RAITZ, Ricardo, SILVA, Milena Bortolotto Felippe, JUNQUEIRA, José Luiz Cintra, OLIVEIRA, Luciana Butini","RGO - Revista Gaúcha de Odontologia; 62(4); 383-388","RGO - Revista Gaúcha de Odontologia","Inglês","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1981-86372014000400383&lang=pt" 
"S1981-86372014000400431-scl","Using an operating microscope to re-treat an inferior premolar with two canals","SANTOS, Janaína Fernandes, ALMEIDA, Gustavo Moreira, MARQUES, Eduardo Fernandes, BUENO, Carlos Eduardo da Silveira","RGO - Revista Gaúcha de Odontologia; 62(4); 431-436","RGO - Revista Gaúcha de Odontologia","Inglês","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1981-86372014000400431&lang=pt" 
"S1981-86372014000400401-scl","Pulp revascularization: an alternative treatment to the apexification of immature teeth","ALBUQUERQUE, Maria Tereza Pedrosa, NAGATA, Juliana Yuri, SOARES, Adriana de Jesus, ZAIA, Alexandre Augusto","RGO - Revista Gaúcha de Odontologia; 62(4); 401-410","RGO - Revista Gaúcha de Odontologia","Inglês","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1981-86372014000400401&lang=pt" 
"S1807-76922014000400364-scl","Pro-social Motivation beyond Firm Boundaries: The Case of the Genolyptus Network","Foss, Nicolai, Milagres, Rosileia","BAR - Brazilian Administration Review; 11(4); 364-384","BAR - Brazilian Administration Review","Inglês","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1807-76922014000400364&lang=pt" 
"S1807-76922014000400385-scl","Inhibition and Encouragement of Entrepreneurial Behavior: Antecedents Analysis from Managers&#039; Perspectives","Hashimoto, Marcos, Nassif, Vânia Maria Jorge","BAR - Brazilian Administration Review; 11(4); 385-406","BAR - Brazilian Administration Review","Inglês","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1807-76922014000400385&lang=pt" 
"S1807-76922014000400407-scl","Intangible Assets and Superior and Sustained Performance of Innovative Brazilian Firms","Luca, Márcia Martins Mendes De, Maia, Anna Beatriz Grangeiro Ribeiro, Cardoso, Vanessa Ingrid da Costa, Vasconcelos, Alessandra Carvalho de, Cunha, Jacqueline Veneroso Alves da","BAR - Brazilian Administration Review; 11(4); 407-440","BAR - Brazilian Administration Review","Inglês","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1807-76922014000400407&lang=pt" 
"S1807-76922014000400455-scl","Heterogeneity of Isomorphic Pressures: Intertwining the Resource-Based View and the Neoinstitutional Approach","Popadiuk, Silvio, Rivera, Edward Rivera, Bataglia, Walter","BAR - Brazilian Administration Review; 11(4); 455-475","BAR - Brazilian Administration Review","Inglês","2014","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1807-76922014000400455&lang=pt" 
