"S1415-52732015000600655-scl","(In)segurança alimentar entre famílias com crianças menores de cinco anos residentes em área de vulnerabilidade social de Campina Grande, Paraíba","Bezerra, Thaíse Alves, Pedraza, Dixis Figueroa","Revista de Nutrição; 28(6); 655-665","Revista de Nutrição","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-52732015000600655&lang=pt" 
"S1415-52732015010700002-scl","Estigma do nutricionista com obesidade","Araújo, Kênya Lima de","Revista de Nutrição; 28(6); 2-2","Revista de Nutrição","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-52732015010700002&lang=pt" 
"S1982-21702015000400706-scl","MINERAÇÃO DE DADOS APLICADA À DISCRIMINAÇÃO DA COBERTURA DA TERRA EM IMAGEM LANDSAT 8 OLI","Santos, Guilherme Domingues dos, Francisco, Cristiane Nunes, Almeida, Cláudia Maria de","Boletim de Ciências Geodésicas; 21(4); 706-720","Boletim de Ciências Geodésicas","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1982-21702015000400706&lang=pt" 
"S1415-52732015010700001-scl","Vários estudos indicam uma associação entre dieta mediterrânea e diminuição do risco de doença de Alzheimer","Sousa, Maria João","Revista de Nutrição; 28(6); 1-1","Revista de Nutrição","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-52732015010700001&lang=pt" 
"S1415-52732015000600691-scl","Prevention of Alzheimer&#039;s disease: The role of the Mediterranean diet","Sousa, Maria João, Guimarães, Joana","Revista de Nutrição; 28(6); 691-703","Revista de Nutrição","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-52732015000600691&lang=pt" 
"S0103-20702015000200153-scl","Marxismo e evolução: alegações para a retomada de um programa de pesquisa","Brunkhorst, Hauke","Tempo Social; 27(2); 153-165","Tempo Social","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-20702015000200153&lang=pt" 
"S1415-52732015000600619-scl","Antropometria e composição corporal de recém-nascidos pré-termo na idade gestacional e no peso equivalente ao termo","Villela, Letícia Duarte, Mendes Soares, Fernanda Valente, Abranches, Andrea Dunshee de, GOMES Junior, Saint-Clair, Méio, Maria Dalva Barbosa Baker, Moreira, Maria Elisabeth Lopes","Revista de Nutrição; 28(6); 619-629","Revista de Nutrição","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-52732015000600619&lang=pt" 
"S0103-20702015000200129-scl","Crítica do direito e teoria dos sistemas","Möller, Kolja","Tempo Social; 27(2); 129-152","Tempo Social","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-20702015000200129&lang=pt" 
"S1516-89132015000600877-scl","Morphological Plasticity and Gas Exchange of Ligustrum lucidumW.T. Aiton in Distinct Light Conditions","Larcher, Letícia, Nogueira, Guilherme, Boeger, Maria Regina","Brazilian Archives of Biology and Technology; 58(6); 877-885","Brazilian Archives of Biology and Technology","Inglês","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1516-89132015000600877&lang=pt" 
"S0103-20702015000200045-scl","Formação, especialização, diplomação: da universidade à instituição de ensino superior","Waizbort, Leopoldo","Tempo Social; 27(2); 45-74","Tempo Social","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-20702015000200045&lang=pt" 
"S0103-20702015000200255-scl","O Livro do desassossego, de Fernando Pessoa, no cinema: a distribuição e exibição do filme de João Botelho","Martinho, Teresa Duarte","Tempo Social; 27(2); 255-278","Tempo Social","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-20702015000200255&lang=pt" 
"S0103-20702015000200103-scl","Uma &quot;força justa e não violenta&quot;? Uma crítica do direito na sociedade global","Fischer-Lescano, Andreas","Tempo Social; 27(2); 103-127","Tempo Social","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-20702015000200103&lang=pt" 
