"S1665-24362010000300001-mex","¿Qué es la matemática educativa?","Cantoral, Ricardo","Revista latinoamericana de investigación en matemática educativa; 13(3); 253-254","Revista latinoamericana de investigación en matemática educativa","Espanhol","2010","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S1665-24362010000300001&lang=pt" 
"S1665-24362010000300002-mex","Desarrollo de un esquema de la integral definida en estudiantes de ingenierías relacionadas con las ciencias de la naturaleza. Un análisis a través de la lógica Fuzzy","Boigues, Francisco-José, Llinares, Salvador, Estruch, Vicente D.","Revista latinoamericana de investigación en matemática educativa; 13(3); 255-282","Revista latinoamericana de investigación en matemática educativa","Espanhol","2010","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S1665-24362010000300002&lang=pt" 
"S1665-24362010000300003-mex","Argumentaciones y demostraciones: una visión de la influencia de los escenarios socioculturales","Crespo Crespo, Cecilia, Farfán, Rosa María, Lezama, Javier","Revista latinoamericana de investigación en matemática educativa; 13(3); 283-306","Revista latinoamericana de investigación en matemática educativa","Espanhol","2010","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S1665-24362010000300003&lang=pt" 
"S1665-24362010000300004-mex","Significados atribuidos a la resolución de problemas con software de geometría dinámica durante un desarrollo profesional docente","Pochulu, Marcel David","Revista latinoamericana de investigación en matemática educativa; 13(3); 307-336","Revista latinoamericana de investigación en matemática educativa","Espanhol","2010","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S1665-24362010000300004&lang=pt" 
"S1665-24362010000300005-mex","Uma proposta para relacionar arte e educação matemática","Zago, Hellen da Silva, Flores, Cláudia Regina","Revista latinoamericana de investigación en matemática educativa; 13(3); 337-354","Revista latinoamericana de investigación en matemática educativa","Português","2010","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S1665-24362010000300005&lang=pt" 
"S1665-24362010000300006-mex","Agradecimiento a árbitros","","Revista latinoamericana de investigación en matemática educativa; 13(3); 361-361","Revista latinoamericana de investigación en matemática educativa","Espanhol","2010","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S1665-24362010000300006&lang=pt" 
"S0004-06142010000900005-esp","Inhibidores de la tirosin-quinasa en el tratamiento del cáncer de vejiga músculo-infiltrante y el cáncer de próstata hormono-refractario","Wallerand, Hervé, Robert, Grégoire, Bernhard, Jean-Christophe, Ravaud, Alain, Patard, Jean-Jacques","Archivos Españoles de Urología (Ed. impresa); 63(9); 773-787","Archivos Españoles de Urología (Ed. impresa)","Espanhol","2010","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0004-06142010000900005&lang=pt" 
"S0004-06142010000900014-esp","Nefrectomia en riñón poliquístico previa a trasplante renal","Eguíluz Lumbreras, P., Palacios Hernández, A., Gómez Zancajo, R.V., Heredero Zorzo, O., García García, J., Cañada de Arriba, F., Pérez Herrero, F., Urrutia Avisrror, M.","Archivos Españoles de Urología (Ed. impresa); 63(9); 822-822","Archivos Españoles de Urología (Ed. impresa)","Espanhol","2010","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0004-06142010000900014&lang=pt" 
"S0004-06142010000900010-esp","Leiomioma de la cápsula renal: presentación de un caso","Ramírez Fernández, Juan Carlos, Mohamed Mohamed, Zaki, Casado Varela, Javier, Salinas Casado, Jesús, Wert Ortega, Ricardo, García-Cabezas, Miguel Angel","Archivos Españoles de Urología (Ed. impresa); 63(9); 808-811","Archivos Españoles de Urología (Ed. impresa)","Espanhol","2010","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0004-06142010000900010&lang=pt" 
"S0004-06142010000900008-esp","Práctica de la vasectomía en un municipio urbano: Consideraciones prácticas para el seguimiento","Luján, Marcos, Vigil, Almudena, Turo, Jorge, Pascual, Carlos, Nevado, Manuel, Martín, Carlos, Chiva, Vicente","Archivos Españoles de Urología (Ed. impresa); 63(9); 797-802","Archivos Españoles de Urología (Ed. impresa)","Espanhol","2010","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0004-06142010000900008&lang=pt" 
"S0004-06142010000900006-esp","Comentario editorial de: Terapias dirigidas en el cáncer genitourinario: ¿Sueño o realidad?","Gil-Bazo, Ignacio","Archivos Españoles de Urología (Ed. impresa); 63(9); 788-789","Archivos Españoles de Urología (Ed. impresa)","Espanhol","2010","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0004-06142010000900006&lang=pt" 
"S0004-06142010000900002-esp","¿Por qué una unidad del suelo pélvico?","Martínez-Sagarra Oceja, José María, Rodríguez-Toves, Luis Antonio","Archivos Españoles de Urología (Ed. impresa); 63(9); 752-754","Archivos Españoles de Urología (Ed. impresa)","Espanhol","2010","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0004-06142010000900002&lang=pt" 
"S0004-06142010000900011-esp","Asociación entre ectopia renal cruzada con fusión y aneurisma aórtico: A propósito de un caso","Barba Abad, Javier Fermín, Romero Vargas, Luis, Tolosa Eizaguirre, Egoitz, Rincón Mayans, Anibal, Rosell Costa, David, Robles García, Jose Enrique, Pascual Piedrola, Ignacio","Archivos Españoles de Urología (Ed. impresa); 63(9); 811-816","Archivos Españoles de Urología (Ed. impresa)","Espanhol","2010","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S0004-06142010000900011&lang=pt" 
