"S1692-33242015000100007-col","Evaluación de una estrategia de fidelización de clientes con dinámica de sistemas","Peña Escobar, Stefanía, Ramírez Reyes, Gloria S., Osorio Gómez, Juan C.","Revista Ingenierías Universidad de Medellín; 14(26); 87-104","Revista Ingenierías Universidad de Medellín","Espanhol","2015","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S1692-33242015000100007&lang=pt" 
"S1870-01952015000200017-mex","1,4-Dióxido de quinoxalina; una opción viable para el desarrollo de fármacos antituberculosos","Palos, Isidro, Rivera, Gildardo","Revista mexicana de ciencias farmacéuticas; 46(2); 17-23","Revista mexicana de ciencias farmacéuticas","Espanhol","2015","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S1870-01952015000200017&lang=pt" 
"S1870-01952015000200033-mex","Estudio descriptivo de la participación de estudiantes y egresados en el Programa de Práctica Académica Integral a la licenciatura de QFB de la UAM-X, 2000, 2006, 2013","Moreno-Bonett, Consuelo, Delgadillo-Gutiérrez, H. Javier, Zugazagoitia-Herranz, Rosa, Sánchez-Martínez, Cristina, Córdova-Moreno, Rebeca, López-Naranjo, Francisco, González-Ibarra, Minerva L.","Revista mexicana de ciencias farmacéuticas; 46(2); 33-40","Revista mexicana de ciencias farmacéuticas","Espanhol","2015","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S1870-01952015000200033&lang=pt" 
"S1870-01952015000200024-mex","Estudio de liberación in vitro de ibuprofeno en grageas: influencia de la dosis y el aparato de disolución","Medina López, José Raúl, García Lugo, Carlos Abner, Hurtado y de la Peña, Marcela, Domínguez-Ramírez, Adriana Miriam","Revista mexicana de ciencias farmacéuticas; 46(2); 24-32","Revista mexicana de ciencias farmacéuticas","Espanhol","2015","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S1870-01952015000200024&lang=pt" 
"S1870-01952015000200005-mex","Editorial","Hernández Abad, Vicente Jesús","Revista mexicana de ciencias farmacéuticas; 46(2); 5-5","Revista mexicana de ciencias farmacéuticas","Espanhol","2015","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S1870-01952015000200005&lang=pt" 
"S1870-01952015000200041-mex","Influence of different types of lactose on tablets compactibility","Velázquez González, Karen Alejandra, Ramírez Flores, Eduardo, Villafuerte Robles, Leopoldo","Revista mexicana de ciencias farmacéuticas; 46(2); 41-49","Revista mexicana de ciencias farmacéuticas","Inglês","2015","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S1870-01952015000200041&lang=pt" 
"S1870-01952015000200061-mex","Parámetros biológicos del Burnout en docentes de la Carrera de QFB la FES Zaragoza","Mora-Guevara, José Luis Alfredo, Flores-Cabrera, Yolanda, Hernández-Abad, Vicente Jesús, Sánchez-González, Elizabeth Guadalupe, Marroquín-Segura, Rubén","Revista mexicana de ciencias farmacéuticas; 46(2); 61-67","Revista mexicana de ciencias farmacéuticas","Espanhol","2015","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S1870-01952015000200061&lang=pt" 
"S1870-01952015000200054-mex","Efecto disruptor del extracto metanólico de frutos de Prosopis torquata (CAV. EX LAG.) sobre ratas machos Wistar","Diaz, Yésica, Salinas, Adriana P., Aguilera Merlo, Claudia, Carrasco, Mirta, Mangione, Antonio M.","Revista mexicana de ciencias farmacéuticas; 46(2); 54-60","Revista mexicana de ciencias farmacéuticas","Espanhol","2015","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S1870-01952015000200054&lang=pt" 
"S1870-01952015000200050-mex","Estandarización del método de extracción de ARNm de vasos de cordón umbilical","Escalona V., Jesús Alejandro, Layton T., Cristian Fabián, Mendieta Z., Hugo","Revista mexicana de ciencias farmacéuticas; 46(2); 50-53","Revista mexicana de ciencias farmacéuticas","Espanhol","2015","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S1870-01952015000200050&lang=pt" 
"S1870-01952015000200068-mex","¿Qué sabe Ud. Acerca de... formulaciones pediátricas?","Sánchez-González, Elizabeth","Revista mexicana de ciencias farmacéuticas; 46(2); 68-70","Revista mexicana de ciencias farmacéuticas","Espanhol","2015","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S1870-01952015000200068&lang=pt" 
"S1870-01952015000200071-mex","Libros","Hernández Baltazar, Efrén","Revista mexicana de ciencias farmacéuticas; 46(2); 71-72","Revista mexicana de ciencias farmacéuticas","Espanhol","2015","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S1870-01952015000200071&lang=pt" 
"S1870-01952015000200007-mex","Evaluación de la actividad de los agentes antimicrobianos ante el desafío de la resistencia bacteriana","De la Fuente-Salcido, Norma Margarita, Villarreal-Prieto, Jesús Ma., Díaz León, Miguel Ángel, García Pérez, Ada Patricia","Revista mexicana de ciencias farmacéuticas; 46(2); 7-16","Revista mexicana de ciencias farmacéuticas","Espanhol","2015","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S1870-01952015000200007&lang=pt" 
"S1870-05782015000100005-mex","The Objective International Responsibility of States in the Inter-American Human Rights System","Sánchez de Tagle, Gonzalo","Mexican law review; 7(2); 115-133","Mexican law review","Inglês","2015","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S1870-05782015000100005&lang=pt" 
"S1870-05782015000100003-mex","Regulatory Challenges for Preventing Firearms Smuggling into Mexico","Weigend Vargas, Eugenio, Villarreal González, Silvia","Mexican law review; 7(2); 63-81","Mexican law review","Inglês","2015","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S1870-05782015000100003&lang=pt" 
"S1870-05782015000100002-mex","The Role of Shocks and Social Pressures in the Development of Citizenship Rights: Great Britain and Mexico&#039;s Divergent Paths","González, Francisco E.","Mexican law review; 7(2); 37-61","Mexican law review","Inglês","2015","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S1870-05782015000100002&lang=pt" 
"S1870-05782015000100001-mex","A Comparative-Empirical Analysis of Administrative Courts in Mexico","López-Ayllón, Sergio, García, Adriana, Fierro, Ana Elena","Mexican law review; 7(2); 03-35","Mexican law review","Inglês","2015","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S1870-05782015000100001&lang=pt" 
"S1870-05782015000100004-mex","The Best Interests of the Minor as a Principle of Interpretation in Mexican Civil Law","Pérez Fuentes, Gisela María, Cantoral Domínguez, Karla","Mexican law review; 7(2); 83-112","Mexican law review","Inglês","2015","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S1870-05782015000100004&lang=pt" 
"S0100-69162015000300614-scl","ERRATA","","Engenharia Agrícola; 35(3); 613a-613b","Engenharia Agrícola","Português","2015","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-69162015000300614&lang=pt" 
