"S1852-48342016000300001-arg","Genetic-relatedness of peri-implants and buccal Candida albicans isolates determined by RAPD-PCR","Bertone, Adriana M, Rosa, Alcira C, Nastri, Natalia, Santillán, Hector D, Ariza, Yamila, Iovannitti, Cristina A, Jewtuchowicz, Virginia M","Acta Odontológica Latinoamericana; 29(3); 197-205","Acta Odontológica Latinoamericana","Inglês","2016","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1852-48342016000300001&lang=pt" 
"S1852-48342016000300009-arg","Generalized aggressive periodontitis: microbiological composition and clinical parameters in non-surgical therapy","Usin, María M, Tabares, Sandra M, Menso, Julieta, de Albera, Estela R, Sembaj, Adela","Acta Odontológica Latinoamericana; 29(3); 255-261","Acta Odontológica Latinoamericana","Inglês","2016","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1852-48342016000300009&lang=pt" 
"S1852-48342016000300002-arg","Assessment of knowledge on temporomandibular disorders among Mexican dental educators","Espinosa, Irene A, Pérez, Edgar M, Gonzalez, Yoly M, Corona, Alejandro","Acta Odontológica Latinoamericana; 29(3); 206-213","Acta Odontológica Latinoamericana","Inglês","2016","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1852-48342016000300002&lang=pt" 
"S1852-48342016000300004-arg","Temporomandibular joint involvement in rheumatoid arthritis patients: association between clinical and tomographic data","Cordeiro, Patrícia C. F, Guimaraes, Josemar P, de Souza, Viviane A, Dias, Isabela M, Silva, Jesca N. N, Devito, Karina L, Bonato, Leticia L","Acta Odontológica Latinoamericana; 29(3); 219-224","Acta Odontológica Latinoamericana","Inglês","2016","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1852-48342016000300004&lang=pt" 
"S1852-48342016000300006-arg","Mucoepidermoid carcinoma of the salivary glands: A retrospective study of 51 cases and review of the literatura","Guevara-Canales, Janet O, Morales-Vadillo, Rafael, Guzmán-Arias, Guillermo, Cava-Vergiú, Carlos E, Guerra-Miller, Henry, Montes-Gil, Jaime E","Acta Odontológica Latinoamericana; 29(3); 230-238","Acta Odontológica Latinoamericana","Inglês","2016","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1852-48342016000300006&lang=pt" 
"S1852-62332016000300006-arg","Tiranti, Iván Nicolás Junín 10/8/1927 - Río Cuarto 26/8/2016","Ferreira, Victor A","BAG. Journal of basic and applied genetics; 27(2); 59-60","BAG. Journal of basic and applied genetics","Espanhol","2016","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1852-62332016000300006&lang=pt" 
"S1852-62332016000300001-arg","Mecanismos de regulación epigenética del ADN mitocondrial","Sierra-Delgado, J.A, Contreras-García, G.A","BAG. Journal of basic and applied genetics; 27(2); 7-14","BAG. Journal of basic and applied genetics","Espanhol","2016","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1852-62332016000300001&lang=pt" 
"S1852-62332016000300005-arg","Modelos estadísticos para estudios de asociación fenotipogenotipo en poblaciones genéticamente estructuradas","Peña Malavera, A, Gutierrez, L, Balzarini, M","BAG. Journal of basic and applied genetics; 27(2); 49-58","BAG. Journal of basic and applied genetics","Espanhol","2016","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1852-62332016000300005&lang=pt" 
"S1852-62332016000300003-arg","Daño genético persistente inducido por venenos de topoisomerasa II en fibroblastos humanos normales: generación de inestabilidad cromosómica","de Campos-Nebel, M, Palmitelli, M, Acevedo, S, González-Cid, M","BAG. Journal of basic and applied genetics; 27(2); 25-35","BAG. Journal of basic and applied genetics","Espanhol","2016","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1852-62332016000300003&lang=pt" 
"S1852-62332016000300004-arg","Ancestral genetic composition of a human population from the Colombian southwest using autosomal AIM-InDels","Urbano, L, Portilla, E.C, Builes, J.J, Gusmão, L, Sierra-Torres, C.H","BAG. Journal of basic and applied genetics; 27(2); 37-48","BAG. Journal of basic and applied genetics","Inglês","2016","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1852-62332016000300004&lang=pt" 
