"S1852-04992015000100026-arg","","Caimari, Lila","Prismas; 19(1); 299-301","Prismas","Espanhol","2015","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1852-04992015000100026&lang=pt" 
"S1852-04992015000100030-arg","Los derechos del alma: Ensayos sobre la querella liberal-conservadora en Hispanoamérica (1830-1870)","Ávila, Alfredo","Prismas; 19(1); 236-239","Prismas","Espanhol","2015","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1852-04992015000100030&lang=pt" 
"S1852-04992015000100020-arg","","Méndez, Agustín","Prismas; 19(1); 225-228","Prismas","Espanhol","2015","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1852-04992015000100020&lang=pt" 
"S1852-04992015000100009-arg","La casa y la multitud: Vivienda, política y cultura en la Argentina moderna","Marimón, Martín","Prismas; 19(1); 269-273","Prismas","Espanhol","2015","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1852-04992015000100009&lang=pt" 
"S1852-04992015000100002-arg","Complejidad o relativismo en Hayden White","Steimberg, Darío G.","Prismas; 19(1); 35-45","Prismas","Espanhol","2015","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1852-04992015000100002&lang=pt" 
"S1852-04992015000100017-arg","Una historia del libro judío: La cultura judía argentina a través de sus editores, libreros, traductores, imprentas y bibliotecas","de Diego, José Luis","Prismas; 19(1); 274-276","Prismas","Espanhol","2015","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1852-04992015000100017&lang=pt" 
"S1852-04992015000100031-arg","","Candioti, Magdalena","Prismas; 19(1); 229-232","Prismas","Espanhol","2015","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1852-04992015000100031&lang=pt" 
"S1853-31752015000100002-arg","Elvira López: pionera del feminismo en la Argentina","Gómez, Amanda","Cuyo; 32(1); 17-37","Cuyo","Espanhol","2015","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1853-31752015000100002&lang=pt" 
"S1853-31752015000100004-arg","Filosofía y política en Angélica Mendoza","Ferreira de Cassone, Florencia","Cuyo; 32(1); 67-104","Cuyo","Espanhol","2015","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1853-31752015000100004&lang=pt" 
"S1853-31752015000100006-arg","En busca de la conciencia corporal","Ariño Leyden, Jerónimo, Zalazar, Florencia","Cuyo; 32(1); 141-145","Cuyo","Espanhol","2015","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1853-31752015000100006&lang=pt" 
"S1850-11682015000200001-arg","Modelización fisicomatemática de la interacción entre micelas de caseína y enzimas bacterianas","Mancilla Canales, M, Apesteguía, A, Renata, R, Brandelli, A, Folmer Corrêa, A.P, Risso, P. H, Riquelme, B.D","Anales (Asociación Física Argentina); 26(2); 51-53","Anales (Asociación Física Argentina)","Espanhol","2015","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1850-11682015000200001&lang=pt" 
"S1850-11682015000200008-arg","Excitación de electrones K del Li a baja transferencia de momento por dispersión inelástica de rayos X en LiH","Paredes Mellone, O.A, Ceppi, S.A, Arneodo Larochette, P.P, Stutz, G.E","Anales (Asociación Física Argentina); 26(2); 93-97","Anales (Asociación Física Argentina)","Espanhol","2015","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1850-11682015000200008&lang=pt" 
"S1850-11682015000200005-arg","Correlación entre las distribuciones de velocidad y backscatter y la concentración de zooplancton en un estuario modificado","Thomas, L. P, Marino, B. M, Pereyra, M. G","Anales (Asociación Física Argentina); 26(2); 70-77","Anales (Asociación Física Argentina)","Espanhol","2015","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1850-11682015000200005&lang=pt" 
"S1850-11682015000200007-arg","Caracterización de uniones TLPB de productos metálicos mediante luz de sincrotrón","Di Luozzo, N, Arcondo, B, Fontana, M, Boudard, M, Garbarino, G","Anales (Asociación Física Argentina); 26(2); 88-92","Anales (Asociación Física Argentina)","Espanhol","2015","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1850-11682015000200007&lang=pt" 
