"S0188-76532011000200009-mex","¿Ilegalidad justificada?: clientelismo controlado en la administración chilena","Moriconi Bezerra, Marcelo","Perfiles latinoamericanos; 19(38); 227-247","Perfiles latinoamericanos","Espanhol","2011","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0188-76532011000200009&lang=pt" 
"S0100-879X2011001200014-scl","Implications of extubation failure and prolonged mechanical ventilation in the postoperative period following elective intracranial surgery","Vidotto, M.C., Sogame, L.C., Gazzotti, M.R., Prandini, M., Jardim, J.R.","Brazilian Journal of Medical and Biological Research; 44(12); 1291-1298","Brazilian Journal of Medical and Biological Research","Inglês","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-879X2011001200014&lang=pt" 
"S0100-879X2011001200004-scl","Diversity of 16S rRNA genes from bacteria of sugarcane rhizosphere soil","Pisa, G., Magnani, G.S., Weber, H., Souza, E.M., Faoro, H., Monteiro, R.A., Daros, E., Baura, V., Bespalhok, J.P., Pedrosa, F.O., Cruz, L.M.","Brazilian Journal of Medical and Biological Research; 44(12); 1215-1221","Brazilian Journal of Medical and Biological Research","Inglês","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-879X2011001200004&lang=pt" 
"S0100-879X2011001200006-scl","Periodic mechanical stress activates MEK1/2-ERK1/2 mitogenic signals in rat chondrocytes through Src and PLCγ1","Ren, Kewei, Ma, Yimin, Huang, Yumin, Liang, Wenwei, Liu, Feng, Wang, Qing, Cui, Weiding, Liu, Zhengyu, Yin, Guoyong, Fan, Weimin","Brazilian Journal of Medical and Biological Research; 44(12); 1231-1242","Brazilian Journal of Medical and Biological Research","Inglês","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-879X2011001200006&lang=pt" 
"S0100-879X2011001200005-scl","Inhibition of STAT3 by RNA interference suppresses angiogenesis in colorectal carcinoma","Qian, W.F., Guan, W.X., Gao, Y., Tan, J.F., Qiao, Z.M., Huang, H., Xia, C.L.","Brazilian Journal of Medical and Biological Research; 44(12); 1222-1230","Brazilian Journal of Medical and Biological Research","Inglês","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-879X2011001200005&lang=pt" 
"S0100-879X2011001200012-scl","Cardiac autonomic modulation during progressive upper limb exercise by patients with coronary artery disease","Machado, H.G., Simões, R.P., Mendes, R.G., Castello, V., Di Thommazo, L., Almeida, L.B., Lopes, S.L.B., Catai, A.M., Borghi-Silva, A.","Brazilian Journal of Medical and Biological Research; 44(12); 1276-1284","Brazilian Journal of Medical and Biological Research","Inglês","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-879X2011001200012&lang=pt" 
"S1850-468X2011000200001-arg","Avances en el pronóstico climático de las anomalías de lluvia en la Región Pampeana","Labraga, Juan C., Brandizi, Laura D., López, Mónica A.","Meteorologica; 36(2); 59-71","Meteorologica","Espanhol","2011","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1850-468X2011000200001&lang=pt" 
"S1850-468X2011000200002-arg","IDD and mesoscale model integrated system","Amaral, Lia Martins Costa do, Homann, C. T., Yamasaki, Y.","Meteorologica; 36(2); 73-82","Meteorologica","Inglês","2011","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1850-468X2011000200002&lang=pt" 
"S1850-468X2011000200003-arg","Vientos extremos en la provincia de Neuquén","Lassig, Jorge L., Palese, Claudia, Apcarian, Anabel","Meteorologica; 36(2); 83-93","Meteorologica","Espanhol","2011","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1850-468X2011000200003&lang=pt" 
"S1850-468X2011000200004-arg","Un temporal de viento en el Río de la Plata","Possia, Norma E., Vidal, Luciano, Campetella, Claudia C.","Meteorologica; 36(2); 95-110","Meteorologica","Espanhol","2011","http://www.scielo.org.ar/scielo.php?script=sci_arttext&pid=S1850-468X2011000200004&lang=pt" 
"S1415-65552011000600001-scl","","Quintella, Rogério H.","Revista de Administração Contemporânea; 15(6); -","Revista de Administração Contemporânea","Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-65552011000600001&lang=pt" 
"S1415-65552011000600015-scl","Aprendizagem de resultados: uma abordagem prática para aumentar a efetividade da educação corporativa","Machado, Marta Correa","Revista de Administração Contemporânea; 15(6); 1189-1190","Revista de Administração Contemporânea","Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-65552011000600015&lang=pt" 
"S1415-65552011000600002-scl","Comprometimento e entrincheiramento na carreira: um estudo de suas influências no esforço instrucional do docente do ensino superior","Rowe, Diva Ester Okazaki, Bastos, Antonio Virgílio Bittencourt, Pinho, Ana Paula Moreno","Revista de Administração Contemporânea; 15(6); 973-992","Revista de Administração Contemporânea","Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-65552011000600002&lang=pt" 
"S1415-65552011000600014-scl","Casos de ensino em administração: Cooperativa Agroindustrial Bom Jesus: estratégias de crescimento","Ritossa, Claudia Monica, Bulgacov, Sergio, Ferreira, Jane Mendes","Revista de Administração Contemporânea; 15(6); 1174-1188","Revista de Administração Contemporânea","Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-65552011000600014&lang=pt" 
"S1415-65552011000600010-scl","Estágio docência: um estudo no programa de Pós-Graduação em administração da Universidade Federal de Lavras","Joaquim, Nathália de Fátima, Nascimento, João Paulo de Brito, Boas, Ana Alice Vilas, Silva, Fernanda Tavares","Revista de Administração Contemporânea; 15(6); 1137-1151","Revista de Administração Contemporânea","Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-65552011000600010&lang=pt" 
"S1415-65552011000600011-scl","Réplica 1 - formar docentes: em que medida a Pós-Graduação cumpre esta missão?","Bastos, Antonio Virgílio Bittencourt, Tourinho, Emmanuel Zaguri, Yamamoto, Oswaldo Hajime, Menandro, Paulo Rogério Meira","Revista de Administração Contemporânea; 15(6); 1152-1160","Revista de Administração Contemporânea","Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-65552011000600011&lang=pt" 
"S1415-65552011000600008-scl","Gestão do transporte orientada para os clientes: nível de serviço desejado e percebido","Martins, Ricardo Silveira, Xavier, Wescley Silva, Souza Filho, Osmar Vieira de, Martins, Guilherme Silveira","Revista de Administração Contemporânea; 15(6); 1100-1119","Revista de Administração Contemporânea","Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-65552011000600008&lang=pt" 
"S1415-65552011000600013-scl","Tréplica - formação docente ou científica: o que está em destaque nos Programas de Pós-Graduação?","Joaquim, Nathália de Fátima, Boas, Ana Alice Vilas","Revista de Administração Contemporânea; 15(6); 1168-1173","Revista de Administração Contemporânea","Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-65552011000600013&lang=pt" 
"S1415-65552011000600012-scl","Réplica 2 - produção de conhecimento de aprendizagem e de tecnologia são papéis dos programas de Pós-Graduação na capacitação de cientistas para o país?","Botomé, Silvio Paulo, Zanelli, José Carlos","Revista de Administração Contemporânea; 15(6); 1161-1167","Revista de Administração Contemporânea","Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-65552011000600012&lang=pt" 
"S1415-65552011000600018-scl","Dano moral e sua valoração","","Revista de Administração Contemporânea; 15(6); 1195-1195","Revista de Administração Contemporânea","Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-65552011000600018&lang=pt" 
"S1415-65552011000600016-scl","Organizational and technological implications of cognitive machines: designing future information management systems","Abib, Gustavo, Gomel, Marcia May","Revista de Administração Contemporânea; 15(6); 1191-1193","Revista de Administração Contemporânea","Inglês","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-65552011000600016&lang=pt" 
"S1415-65552011000600017-scl","Políticas públicas: conceitos, esquemas de análise, casos práticos","","Revista de Administração Contemporânea; 15(6); 1194-1194","Revista de Administração Contemporânea","Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1415-65552011000600017&lang=pt" 
"S0102-86502011000600004-scl","The use of Portland cement in the repair of mandibular fractures in rats","Campello, Reginaldo Inojosa Carneiro, Vasconcelos, Belmiro Cavalcanti do Egito, Sampaio, Gerhilde Callou, Rolim, Antonio, Porto, Gabriela Granja","Acta Cirurgica Brasileira; 26(6); 426-432","Acta Cirurgica Brasileira","Inglês","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-86502011000600004&lang=pt" 
"S0102-86502011000600007-scl","Effect of glutamine on the total antioxidant system of rats subjected to renal ischemia and reperfusion","Gouvêa Junior, Valter Torezan, Caporossi, Cervantes, Salomão, Alberto Bicudo, Côrtes, Erlon, Munhoz, Marina Francine, Nascimento, José Eduardo Aguilar de","Acta Cirurgica Brasileira; 26(6); 445-450","Acta Cirurgica Brasileira","Inglês","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-86502011000600007&lang=pt" 
"S0102-86502011000600009-scl","Protective perioperative strategy using a third generation hydroxyethyl starch during surgery in a murine model of liver reperfusion injury","Catré, Dora, Lopes, Maria Francelina, Bento, Celeste, Cabrita, António Silvério","Acta Cirurgica Brasileira; 26(6); 456-462","Acta Cirurgica Brasileira","Inglês","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-86502011000600009&lang=pt" 
"S0102-86502011000600010-scl","Effect of hyperbaric oxygen therapy on the intestinal ischemia reperfusion injury","Daniel, Rosemary Aparecida Furlan, Cardoso, Vinícius Kannen, Góis Jr, Emanuel, Parra, Rogério Serafim, Garcia, Sérgio Britto, Rocha, José Joaquim Ribeiro da, Féres, Omar","Acta Cirurgica Brasileira; 26(6); 463-469","Acta Cirurgica Brasileira","Inglês","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-86502011000600010&lang=pt" 
"S0102-86502011000600011-scl","Effect of laser on the remnant liver after the first 24 hours following 70% hepatectomy in rats","Barbosa, Ailton Jose, Santana, Ana Carolina Delazia Albuquerque, Castro e Silva, Tiago, Kurachi, Cristina, Inada, Natalia, Bagnato, Vanderlei Salvador, Silva Jr, Orlando de Castro e","Acta Cirurgica Brasileira; 26(6); 470-474","Acta Cirurgica Brasileira","Inglês","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-86502011000600011&lang=pt" 
"S0102-86502011000600012-scl","Effects of ionizing radiation on bone neoformation: histometric study in Wistar rats tibiae","Lucatto, Susette Cavicchioli, Guilherme, Arnaldo, Dib, Luciano Lauria, Segreto, Helena Regina Comodo, Alves, Maria Tereza de Seixas, Gumieiro, Emne Hammoud, Jahn, Ricardo Schmitutz, Leite, Ronaldo Antonio","Acta Cirurgica Brasileira; 26(6); 475-480","Acta Cirurgica Brasileira","Inglês","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-86502011000600012&lang=pt" 
"S0102-86502011000600013-scl","Methylene blue administration in the compound 48/80-induced anaphylactic shock: hemodynamic study in pigs","Menardi, Antonio Carlos, Capellini, Verena Kise, Celotto, Andrea Carla, Albuquerque, Agnes Afrodite Sumarelli, Viaro, Fernanda, Vicente, Walter Vilella A., Rodrigues, Alfredo José, Evora, Paulo Roberto Barbosa","Acta Cirurgica Brasileira; 26(6); 481-489","Acta Cirurgica Brasileira","Inglês","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-86502011000600013&lang=pt" 
"S0102-86502011000600014-scl","Assessment of gait dynamics in rats submitted to limb ischemia","Piccinato, Carlos Eli, Sousa, Antônio Carlos de, Prado, William Alves do, Messias, André, Bredarioli, Matheus, Dalio, Marcelo Belini, Joviliano, Edwaldo Edner","Acta Cirurgica Brasileira; 26(6); 490-495","Acta Cirurgica Brasileira","Inglês","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-86502011000600014&lang=pt" 
"S0102-86502011000600015-scl","Small bowel transplantation in outbred rats","Waisberg, Daniel Reis, Lee, André Dong Wong, Santos, Rafael Miyashiro Nunes dos, Mory, Eduardo Kenji, Costa, Anderson Lino, Montero, Edna Frasson de Souza, Chaib, Eleazar, D&#039;Albuquerque, Luis Augusto Carneiro, Galvao, Flavio Henrique Ferreira","Acta Cirurgica Brasileira; 26(6); 496-502","Acta Cirurgica Brasileira","Inglês","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-86502011000600015&lang=pt" 
"S0102-86502011000600016-scl","Metabolic and hematologic consequences of colectomy associated to hepatectomy in rats","Carvalho, Marília Daniela Ferreira, Araújo-Filho, Irami, Azevedo, Ítalo Medeiros, Rêgo, Amália Cínthia Meneses, Medeiros, Aldo Cunha","Acta Cirurgica Brasileira; 26(6); 503-507","Acta Cirurgica Brasileira","Inglês","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-86502011000600016&lang=pt" 
"S0102-86502011000600018-scl","Can Wistar rats be used as the normotensive controls for nerve morphometry investigations in spontaneously hypertensive rats (SHR)?","Sanada, Luciana Sayuri, Tavares, Marcelo Rodrigo, Neubern, Milena Cardoso Maia, Salgado, Helio Cesar, Fazan, Valéria Paula Sassoli","Acta Cirurgica Brasileira; 26(6); 514-520","Acta Cirurgica Brasileira","Inglês","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-86502011000600018&lang=pt" 
"S0102-86502011000600019-scl","Morphometric analysis of dendritic cells from anal mucosa of HIV-positive patients and the relation to intraepithelial lesions and cancer seen at a tertiary health institution in Brazil","Guimarães, Adriana Gonçalves Daumas Pinheiro, Silva Junior, Roberto Moreira da, Costa, Oscar Tadeu Ferreira da, Silva, Ivan Tramujas da Costa e, Gimenez, Felicidad Santos, Araujo, José Ribamar de, Andrade, Rosilene Viana de, Lopes, Erico Jander da Silva, Pinheiro, Jacqueline Pereira, Ferreira, Junia Raquel D., Malheiro, Adriana, Ferreira, Luiz Carlos de Lima","Acta Cirurgica Brasileira; 26(6); 521-529","Acta Cirurgica Brasileira","Inglês","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-86502011000600019&lang=pt" 
"S0102-86502011000600020-scl","Analysis of 83 consecutive liver transplants performed at a tertiary care reference hospital in the interior of the state of Sao Paulo","Lombardi, Ana Carolina, Mente, Enio David, Sankarankutty, Ajith Kumar, Souza, Fernanda Fernandes, Teixeira, Andreza Corrêa, Cagnolati, Daniel, Souza, Maria Eliza Jordani de, Silva Jr, Orlando de Castro e","Acta Cirurgica Brasileira; 26(6); 530-534","Acta Cirurgica Brasileira","Inglês","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-86502011000600020&lang=pt" 
"S0102-86502011000600021-scl","The use of perioperative serial blood lactate levels, the APACHE II and the postoperative MELD as predictors of early mortality after liver transplantation","Basile-Filho, Anibal, Nicolini, Edson Antonio, Auxiliadora-Martins, Maria, Silva Jr, Orlando de Castro e","Acta Cirurgica Brasileira; 26(6); 535-540","Acta Cirurgica Brasileira","Inglês","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-86502011000600021&lang=pt" 
"S0102-86502011000600022-scl","Perioperative care in an animal model for training in abdominal surgery: is it necessary a preoperative fasting?","Alves, José Roberto, Lopes, Luiz Roberto, Sasasaki, Tânia","Acta Cirurgica Brasileira; 26(6); 541-548","Acta Cirurgica Brasileira","Inglês","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-86502011000600022&lang=pt" 
"S1807-76922011000400001-scl","","Carneiro, Jorge","BAR - Brazilian Administration Review; 8(4); -","BAR - Brazilian Administration Review","Inglês","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1807-76922011000400001&lang=pt" 
"S1807-76922011000400003-scl","The relationship between manufacturing integration and performance from an activity-oriented perspective","Paiva, Ely Laureano, Gavronski, Iuri, D&#039;Avila, Livia Castro","BAR - Brazilian Administration Review; 8(4); 376-394","BAR - Brazilian Administration Review","Inglês","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1807-76922011000400003&lang=pt" 
"S1807-76922011000400005-scl","Fair trade practices in the Northwest Brazilian Amazon","Martins, Rafael D&#039;Almeida","BAR - Brazilian Administration Review; 8(4); 412-432","BAR - Brazilian Administration Review","Inglês","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1807-76922011000400005&lang=pt" 
"S1807-76922011000400006-scl","IHRM in developing countries: does the functionalist vs. critical debate make sense South of the Equator?","Caldas, Miguel Pinto, Tonelli, Maria José, Lacombe, Beatriz Maria Braga","BAR - Brazilian Administration Review; 8(4); 433-453","BAR - Brazilian Administration Review","Inglês","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1807-76922011000400006&lang=pt" 
"S1665-89062011000200001-mex","Factors Explaining the Integration, Identity and Sense of Belonging to Spanish Society among Youth Immigrants in Huelva","Gualda Caballero, Estrella","Migraciones internacionales; 6(2); 9-39","Migraciones internacionales","Inglês","2011","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S1665-89062011000200001&lang=pt" 
"S1665-89062011000200010-mex","La venta cruzada a los clientes de remesas: Resultados de un estudio sobre las instituciones microfinancieras en los países andinos","Santermer, Alejo, Giangaspero, Giulio","Migraciones internacionales; 6(2); 273-287","Migraciones internacionales","Espanhol","2011","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S1665-89062011000200010&lang=pt" 
"S1665-89062011000200011-mex","","Rojas Wiesner, Martha Luz","Migraciones internacionales; 6(2); 289-294","Migraciones internacionales","Espanhol","2011","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S1665-89062011000200011&lang=pt" 
"S1665-89062011000200012-mex","","Pérez Espino, Josefina","Migraciones internacionales; 6(2); 295-299","Migraciones internacionales","Espanhol","2011","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S1665-89062011000200012&lang=pt" 
"S1665-89062011000200013-mex","Palabra de mujer: Familia, género y narrativas en Totatiche, Jalisco","Lamy, Brigitte","Migraciones internacionales; 6(2); 301-303","Migraciones internacionales","Espanhol","2011","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S1665-89062011000200013&lang=pt" 
"S1665-89062011000200002-mex","Is More Necessarily Better?: Leadership and Organizational Development of Migrant Hometown Associations in Los Angeles, California","Escala Rabadán, Luis, Rivera-Salgado, Gaspar, Rodríguez, Rigoberto","Migraciones internacionales; 6(2); 41-73","Migraciones internacionales","Inglês","2011","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S1665-89062011000200002&lang=pt" 
"S1665-89062011000200003-mex","El papel de las remesas económicas y sociales en las familias transnacionales colombianas","Rivas, Ana María, Gonzálvez, Herminia","Migraciones internacionales; 6(2); 75-99","Migraciones internacionales","Espanhol","2011","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S1665-89062011000200003&lang=pt" 
"S1665-89062011000200004-mex","Social Perception of Risk and Protection Factors for the Children of Emigrant Mothers: A Study in the Dominican Republic","Uriarte Arciniega, Juan de Dios","Migraciones internacionales; 6(2); 101-132","Migraciones internacionales","Inglês","2011","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S1665-89062011000200004&lang=pt" 
"S1665-89062011000200005-mex","Racismo cultural y representaciones de inmigrantes centroamericanas en Chiapas","Cruz Salazar, Tania","Migraciones internacionales; 6(2); 133-157","Migraciones internacionales","Espanhol","2011","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S1665-89062011000200005&lang=pt" 
"S1665-89062011000200006-mex","El habitus y los campos transnacionales en el proceso del transnacionalismo migrante","Pintor Sandoval, Renato","Migraciones internacionales; 6(2); 159-192","Migraciones internacionales","Espanhol","2011","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S1665-89062011000200006&lang=pt" 
"S1665-89062011000200007-mex","La integración intercultural en España: El mestizaje constitucional democrático","Rodríguez García, José Antonio","Migraciones internacionales; 6(2); 193-222","Migraciones internacionales","Espanhol","2011","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S1665-89062011000200007&lang=pt" 
"S1665-89062011000200008-mex","Beyond Chapala and Cancún: Grappling with the Impact of American Migration to Mexico","Schafran, Alex, Monkkonen, Paavo","Migraciones internacionales; 6(2); 223-258","Migraciones internacionales","Inglês","2011","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S1665-89062011000200008&lang=pt" 
"S1665-89062011000200009-mex","Migrantes marroquíes y desarrollo en su país de origen: El codesarrollo mediante un proyecto de turismo rural","Chattou, Zoubir, Lacomba, Joan","Migraciones internacionales; 6(2); 259-271","Migraciones internacionales","Espanhol","2011","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S1665-89062011000200009&lang=pt" 
"S0101-74382011000300002-scl","Scheduling copper refining and casting operations by means of heuristics for the flexible flow shop problem","Pradenas, Lorena, Campos, Abel, Saldaña, Jesús, Parada, Victor","Pesquisa Operacional; 31(3); 443-457","Pesquisa Operacional","Inglês","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-74382011000300002&lang=pt" 
"S0101-74382011000300003-scl","Logit models for the probability of winning football games","Alves, Alessandro Martins, Mello, João Carlos Correia Baptista Soares de, Ramos, Thiago Graça, Sant&#039;Anna, Annibal Parracho","Pesquisa Operacional; 31(3); 459-465","Pesquisa Operacional","Inglês","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-74382011000300003&lang=pt" 
"S0101-74382011000300007-scl","Valuation of american interest rate options by the least-squares Monte Carlo method","Cescato, Claudia Dourado, Lemgruber, Eduardo Facó","Pesquisa Operacional; 31(3); 521-541","Pesquisa Operacional","Inglês","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-74382011000300007&lang=pt" 
"S0101-74382011000300001-scl","Extended cell-transmission-based evacuation planning in urban areas","Kimms, Alf, Maassen, Klaus-Christian","Pesquisa Operacional; 31(3); 405-441","Pesquisa Operacional","Inglês","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-74382011000300001&lang=pt" 
"S0101-74382011000300004-scl","Treatment of uncertainty through the interval smart/swing weighting method: a case study","Gomes, Luiz Flávio Autran Monteiro, Rangel, Luis Alberto Duncan, Leal Junior, Miguel da Rocha","Pesquisa Operacional; 31(3); 467-485","Pesquisa Operacional","Inglês","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-74382011000300004&lang=pt" 
"S0101-74382011000300005-scl","A new approach to identify the structural order of par (p) models","Oliveira, Fernando Luiz Cyrino, Souza, Reinaldo Castro","Pesquisa Operacional; 31(3); 487-498","Pesquisa Operacional","Inglês","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-74382011000300005&lang=pt" 
"S0101-74382011000300006-scl","Rényi entropy and cauchy-schwartz mutual information applied to mifs-u variable selection algorithm: a comparative study","Gonçalves, Leonardo Barroso, Macrini, José Leonardo Ribeiro","Pesquisa Operacional; 31(3); 499-519","Pesquisa Operacional","Inglês","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-74382011000300006&lang=pt" 
"S0101-74382011000300008-scl","Tutorial for mixture-process experiments with an industrial application","Bello, Luiz Henrique Abreu Dal, Vieira, Antonio Fernando de Castro","Pesquisa Operacional; 31(3); 543-564","Pesquisa Operacional","Inglês","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-74382011000300008&lang=pt" 
"S0101-74382011000300009-scl","Heterogeneity correction in the construction of optimized planning in radiotherapy using linear programming","Viana, Rodrigo Sartorelo Salemi, Florentino, Helenice de Oliveira, Lima, Ernesto Augusto Bueno da Fonseca, Fonseca, Paulo Roberto da, Homem, Thiago Pedro Donadon","Pesquisa Operacional; 31(3); 565-578","Pesquisa Operacional","Inglês","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-74382011000300009&lang=pt" 
"S0101-74382011000300010-scl","Heuristics for implementation of a hybrid preconditioner for interior-point methods","Fontova, Marta Ines Velazco, Oliveira, Aurelio Ribeiro Leite de, Campos, Frederico F.","Pesquisa Operacional; 31(3); 579-591","Pesquisa Operacional","Inglês","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-74382011000300010&lang=pt" 
"S0101-74382011000300011-scl","Application of mixed-integer linear programming in a car seats assembling process","Rave, Jorge Iván Perez, Álvarez, Gloria Patricia Jaramillo","Pesquisa Operacional; 31(3); 593-610","Pesquisa Operacional","Inglês","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0101-74382011000300011&lang=pt" 
"S1809-48722011000400001-scl","Editorial","Jotz, Geraldo Pereira","Arquivos Internacionais de Otorrinolaringologia; 15(4); 399-399","Arquivos Internacionais de Otorrinolaringologia","Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1809-48722011000400001&lang=pt" 
"S1809-48722011000400004-scl","Comparação entre turbinoplastia e turbinectomia endoscópicas: eficácia e parâmetros clínicos","Rodrigues, Marcos Marques, Dibbern, Ralph Silveira, Oliveira, Luis Francisco de, Marques, Melania Dirce Oliveira, Bella, Marcelo Fernando, Paula Junior, Fausto Antonio de, Araújo, Fernando Cesar França","Arquivos Internacionais de Otorrinolaringologia; 15(4); 426-430","Arquivos Internacionais de Otorrinolaringologia","Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1809-48722011000400004&lang=pt" 
"S1809-48722011000400006-scl","Ocorrência de pneumonia aspirativa em crianças disfágicas pós videofluoroscopia","Lagos, Hellen Nataly Correia, Santos, Rosane Sampaio, Celli, Adriane, Abdulmassih, Edna Marcia Silva, Medeiros, Carlos Alberto do Amaral","Arquivos Internacionais de Otorrinolaringologia; 15(4); 437-443","Arquivos Internacionais de Otorrinolaringologia","Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1809-48722011000400006&lang=pt" 
"S1809-48722011000400011-scl","Cauterização química das conchas nasais inferiores com ácido tricloroacético","Azevedo, Alexandre Fernandes de, Martins, Dário Antunes, Cardoso, Caroline Guimarães, Moraes, Itamar Fernando Cândido de, Michel, Luciane Maria Pereira, Leite, Laura Hora Rios","Arquivos Internacionais de Otorrinolaringologia; 15(4); 475-477","Arquivos Internacionais de Otorrinolaringologia","Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1809-48722011000400011&lang=pt" 
"S1809-48722011000400019-scl","Rinoscleroma","Raymundo, Igor Teixeira, Pádua, Sharlene Castanheira, Pinheiro, Thaís Gonçalves, Azevedo, Ana Emília Borges de, Nakanishi, Márcio, Oliveira, Carlos Augusto Costa Pires de","Arquivos Internacionais de Otorrinolaringologia; 15(4); 526-528","Arquivos Internacionais de Otorrinolaringologia","Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1809-48722011000400019&lang=pt" 
"S1809-48722011000400020-scl","Manifestações faringo-laríngeas da síndrome pós-poliomielite","De Biase, Noemi Grigoletto, Moraes, Bruno Teixeira de, Leb, Mariana Dantas Aumond, Korn, Gustavo Polacow, Padovani, Marina, Moraes, Miriam, Madazio, Glaucya","Arquivos Internacionais de Otorrinolaringologia; 15(4); 529-533","Arquivos Internacionais de Otorrinolaringologia","Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1809-48722011000400020&lang=pt" 
"S1809-48722011000400016-scl","O uso de simuladores no aprendizado para cirurgia otológica","Sousa, Ana Maria Almeida de, Okada, Daniel Mochida, Suzuki, Fabio Akira","Arquivos Internacionais de Otorrinolaringologia; 15(4); 509-514","Arquivos Internacionais de Otorrinolaringologia","Português","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1809-48722011000400016&lang=pt" 
