"S0188-76532011000200009-mex","¿Ilegalidad justificada?: clientelismo controlado en la administración chilena","Moriconi Bezerra, Marcelo","Perfiles latinoamericanos; 19(38); 227-247","Perfiles latinoamericanos","Espanhol","2011","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0188-76532011000200009&lang=pt" 
"S0102-695X2011000600006-scl","Constituents and antiproliferative activity of extracts from leaves of Croton macrobothrys","Motta, Lucimar B., Furlan, Cláudia M., Santos, Deborah Y. A. C., Salatino, Maria L. F., Duarte-Almeida, Joaquim M., Negri, Giuseppina, Carvalho, João E. de, Ruiz, Ana Lúcia T. G., Cordeiro, Inês, Salatino, Antonio","Revista Brasileira de Farmacognosia; 21(6); 972-977","Revista Brasileira de Farmacognosia","Inglês","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-695X2011000600006&lang=pt" 
"S0102-695X2011000600011-scl","Effect of ethyl acetate extract from husk fiber water of Cocos nucifera in Leishmania braziliensis infected hamsters","Freitas, José C. C., Nunes-Pinheiro, Diana C. S., Pessoa, Adriana W.P., Silva, Luis C. R., Girão, Virgínia C. C., Lopes-Neto, Belarmino E., Agostinho, Michelle S., Abreu, Cyntia R. A.","Revista Brasileira de Farmacognosia; 21(6); 1006-1011","Revista Brasileira de Farmacognosia","Inglês","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-695X2011000600011&lang=pt" 
"S0102-695X2011000600009-scl","Pentaclethra macroloba tannins fractions active against methicillin-resistant staphylococcal and Gram-negative strains showing selective toxicity","Leal, Ivana Correa Ramos, I. Júnior, Ivaldo, Pereira, Eliezer M., Laport, Marinella da S., Kuster, Ricardo M., Santos, Kátia Regina Netto dos","Revista Brasileira de Farmacognosia; 21(6); 991-999","Revista Brasileira de Farmacognosia","Inglês","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-695X2011000600009&lang=pt" 
"S0102-695X2011000600029-scl","Anti-inflammatory activities of the hydroalcoholic extracts from Erythrina velutina and E. mulungu in mice","Vasconcelos, Silvânia M. M., Sales, Gabriel T. M., Lima, Natália, Lobato, Rodrigo de Freitas G., Macêdo, Danielle Silveira, Barbosa-Filho, José Maria, Leal, Luzia Kalyne A. M., Fonteles, Marta M. F., Sousa, Francisca Cléa F., Oliveira, Jeania Lima, Viana, Glauce S. B.","Revista Brasileira de Farmacognosia; 21(6); 1155-1158","Revista Brasileira de Farmacognosia","Inglês","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-695X2011000600029&lang=pt" 
"S0102-695X2011000600014-scl","Xylodiol from Xylopia langsdorfiana induces apoptosis in HL60 cells","Castello-Branco, Marianna Vieira S., Tavares, Josean F., Silva, Marcelo S., Barbosa Filho, José Maria, Anazetti, Maristella C., Frungillo, Lucas, Haun, Marcela, Melo Diniz, Margareth F. F., Melo, Patrícia S.","Revista Brasileira de Farmacognosia; 21(6); 1035-1042","Revista Brasileira de Farmacognosia","Inglês","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-695X2011000600014&lang=pt" 
"S0102-695X2011000600019-scl","Antitumor and immunomodulatory effects of the naphthoquinone 5-methoxy-3,4-dehydroxanthomegnin","Kitagawa, Rodrigo Rezende, Vilegas, Wagner, Carlos, Iracilda Zeppone, Raddi, Maria Stella Gonçalves","Revista Brasileira de Farmacognosia; 21(6); 1084-1088","Revista Brasileira de Farmacognosia","Inglês","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-695X2011000600019&lang=pt" 
"S0102-695X2011000600027-scl","Evaluation of macro and microminerals in crude drugs and infusions of five herbs widely used as sedatives","Petenatti, Marta E., Petenatti, Elisa M., Del Vitto, Luis A., Téves, Mauricio R., Caffini, Néstor O., Marchevsky, Eduardo J., Pellerano, Roberto G.","Revista Brasileira de Farmacognosia; 21(6); 1144-1149","Revista Brasileira de Farmacognosia","Inglês","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-695X2011000600027&lang=pt" 
"S0102-695X2011000600028-scl","Scent analysis of Rosa laevigata through metal oxide sensor array electronic nose","Chen, Shuguang, Mao, Jian, Han, Bangxing, Chen, Naifu","Revista Brasileira de Farmacognosia; 21(6); 1150-1154","Revista Brasileira de Farmacognosia","Inglês","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-695X2011000600028&lang=pt" 
"S0102-695X2011000600020-scl","Antiulcerogenic activity of the extracts of Struthanthus marginatus","Freire, Sônia M. de F., Andrade, Karla N. de S., Aragão Jr, Gilvan A., Noronha, Elda P., Silva, Selma do N., Cartágenes, Maria do Socorro de S., Borges, Marilene O. R., Ribeiro, Maria Nilce de S., Torres, Luce M. B., Borges, Antônio C. R.","Revista Brasileira de Farmacognosia; 21(6); 1089-1095","Revista Brasileira de Farmacognosia","Inglês","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-695X2011000600020&lang=pt" 
"S0102-695X2011000600015-scl","Ocimum basilicum leaf essential oil and (-)-linalool reduce orofacial nociception in rodents: a behavioral and electrophysiological approach","Venâncio, Antônio M., Marchioro, Murilo, Estavam, Charles S., Melo, Mônica S., Santana, Marília T., Onofre, Alexandre S.C., Guimarães, Adriana G., Oliveira, Makson G. B., Alves, Péricles B, Pimentel, Hugo de Carvalho, Quintans-Júnior, Lucindo J.","Revista Brasileira de Farmacognosia; 21(6); 1043-1051","Revista Brasileira de Farmacognosia","Inglês","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-695X2011000600015&lang=pt" 
"S0102-695X2011000600016-scl","Further studies on membrane stabilizing, anti-inflammatory and FCA induced arthritic activity of various fractions of bark of Machilus macrantha in rats","Tatiya, Anil U, Saluja, Ajay K","Revista Brasileira de Farmacognosia; 21(6); 1052-1064","Revista Brasileira de Farmacognosia","Inglês","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-695X2011000600016&lang=pt" 
"S0102-695X2011000600021-scl","Pharmacognostical, antioxidant and antiulcer screening of Cyclea peltata roots","Chellappan, David Raj, Joseph, Jipnomon, Balasubramanian, Parimaladevi","Revista Brasileira de Farmacognosia; 21(6); 1096-1103","Revista Brasileira de Farmacognosia","Inglês","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-695X2011000600021&lang=pt" 
"S0102-695X2011000600005-scl","Antitumoral, mutagenic and (anti)estrogenic activities of tingenone and pristimerin","Gomes, Juliana P. M., Cardoso, Cássia R. P., Varanda, Eliana A., Molina, José-Manuel, Fernandez, Mariana F., Olea, Nicolás, arlos, Iracilda Z., Vilegas, Wagner","Revista Brasileira de Farmacognosia; 21(6); 963-971","Revista Brasileira de Farmacognosia","Inglês","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-695X2011000600005&lang=pt" 
"S0102-695X2011000600024-scl","Gastric antiulcer and antiinflammatory activities of Calotropis procera stem bark","Tour, Nagesh S., Talele, Gokul S.","Revista Brasileira de Farmacognosia; 21(6); 1118-1126","Revista Brasileira de Farmacognosia","Inglês","2011","http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0102-695X2011000600024&lang=pt" 
