"S1909-30632010000200009-col","LA SEGURIDAD NACIONAL COLOMBIANA EN VILO: ANÁLISIS MULTIDIMENSIONAL A LOS RETOS PROPUESTOS POR EL RÉGIMEN VENEZOLANO","Montero, Alexander, Sánchez, Juan Ricardo, García, Mary Liliana, Pérez, Liana Abril","Revista de Relaciones Internacionales, Estrategia y Seguridad; 5(2); 211-233","Revista de Relaciones Internacionales, Estrategia y Seguridad","Espanhol","2010","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S1909-30632010000200009&lang=pt" 
"S1909-30632010000200008-col","LOS EJES DE LA POLÍTICA DE DEFENSA ESTADOUNIDENSE EN LA POSGUERRA FRÍA","Colom Piella, Guillem","Revista de Relaciones Internacionales, Estrategia y Seguridad; 5(2); 195-210","Revista de Relaciones Internacionales, Estrategia y Seguridad","Espanhol","2010","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S1909-30632010000200008&lang=pt" 
"S1909-30632010000200005-col","GLOBALIZACIÓN, RELACIONES INTERNACIONALES Y CRECIMIENTO ECONÓMICO","Páez Pérez, Pedro Nel, Isaza Quebrada, Jorge, Zamora, Luz Amanda","Revista de Relaciones Internacionales, Estrategia y Seguridad; 5(2); 109-136","Revista de Relaciones Internacionales, Estrategia y Seguridad","Espanhol","2010","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S1909-30632010000200005&lang=pt" 
"S1909-30632010000200004-col","ESTADOS FALLIDOS: ¿AMENAZA GLOBAL O REGIONAL?","Camargo, Antonio M., Guáqueta, Freddy A., Ramírez, Javier F.","Revista de Relaciones Internacionales, Estrategia y Seguridad; 5(2); 73-108","Revista de Relaciones Internacionales, Estrategia y Seguridad","Espanhol","2010","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S1909-30632010000200004&lang=pt" 
"S1909-30632010000200007-col","LA ASOCIATIVIDAD COMO MODELO DE GESTIÓN PARA PROMOVER LAS EXPORTACIONES EN LAS PEQUEÑAS Y MEDIANAS EMPRESAS EN COLOMBIA","Lozano Monroy, Félix David","Revista de Relaciones Internacionales, Estrategia y Seguridad; 5(2); 161-191","Revista de Relaciones Internacionales, Estrategia y Seguridad","Espanhol","2010","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S1909-30632010000200007&lang=pt" 
"S0258-59362010000400001-cub","CARACTERIZACIÓN AGROBIOLÓGICA DE LOS SUELOS PARDOS DE LA REGIÓN DE CAMPO FLORIDO EN RELACIÓN CON LOS CAMBIOS EN EL MANEJO AGRICOLA","Morell, F, Hernández, A, Borges, Yenia, López, D","Cultivos Tropicales; 31(4); -","Cultivos Tropicales","Espanhol","2010","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0258-59362010000400001&lang=pt" 
"S0258-59362010000400002-cub","CRECIMIENTO Y PRODUCTIVIDAD DE CHAYA (Cnidoscolus chayamansa MCVAUGH, EUPHORBIACEAE) CON DENSIDAD DE PLANTACIÓN VARIABLE","Aguilar, M, Macario, P, Huerta, Esperanza, Hernández, S, de Alba, R, García, E","Cultivos Tropicales; 31(4); -","Cultivos Tropicales","Espanhol","2010","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0258-59362010000400002&lang=pt" 
"S0258-59362010000400003-cub","SITIO WEB PARA LA DETERMINACIÓN DE LAS NECESIDADES DE SEMILLA, GRANOS Y HORTALIZAS SEGÚN CATEGORÍA","Florido, R, Pérez, Adriana, Díaz, Juliet, Moya, C, Florido, Marilyn","Cultivos Tropicales; 31(4); -","Cultivos Tropicales","Espanhol","2010","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0258-59362010000400003&lang=pt" 
"S0258-59362010000400004-cub","AVANCES EN EL CONOCIMIENTO DE LAS PROTEÍNAS TRANSPORTADORAS DE SACAROSA EN LAS PLANTAS MONOCOTILEDÓNEAS. UN NUEVO TRANSPORTADOR EN CAÑA DE AZÚCAR","Medina, Isabel, Rodés, Rosa, Kuehn, Christina","Cultivos Tropicales; 31(4); -","Cultivos Tropicales","Espanhol","2010","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0258-59362010000400004&lang=pt" 
"S0258-59362010000400005-cub","EFECTO DEL ESTRÉS POR NaCl EN EL CRECIMIENTO Y LAS RELACIONES HÍDRICAS EN PLANTAS DE TOMATE (Solanum lycopersicum L.) DURANTE EL PERÍODO VEGETATIVO","Morales, D, Dell&#039;Amico, J. MI, Rodríguez, P, Torrecillas, A, Sánchez-Blanco, María de J","Cultivos Tropicales; 31(4); -","Cultivos Tropicales","Espanhol","2010","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0258-59362010000400005&lang=pt" 
"S0258-59362010000400006-cub","EFECTO DE LA EDAD DE LAS POSTURAS, DISTANCIA DE PLANTACIÓN Y DENSIDAD DE SIEMBRA EN LOS GRANOS LLENOS POR PANICULA, EL PESO DE 1000 GRANOS Y RENDIMIENTO AGRICOLA EN EL CULTIVO DEL ARROZ","Martín, Yoannis, Rodríguez, Y. E, Morejón, R, Soto, F","Cultivos Tropicales; 31(4); -","Cultivos Tropicales","Espanhol","2010","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0258-59362010000400006&lang=pt" 
"S0258-59362010000400007-cub","SITIO WEB PARA LA RED TEMÁTICA MANEJO DE LA SIMBIOSIS MICORRÍZICA EN AGROSISTEMAS","Pérez, Adriana, Florido, R, Díaz, Juliet, Rodríguez, O, Rivera, R","Cultivos Tropicales; 31(4); -","Cultivos Tropicales","Espanhol","2010","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0258-59362010000400007&lang=pt" 
"S0258-59362010000400008-cub","RELACIONES HÍDRICAS Y CONTENIDO IÓNICO EN PLANTAS DE MANDARINA CV FORTUNE DURANTE UN CICLO DE SEQUÍA Y RECUPERACIÓN EN LA ETAPA DE RÁPIDO CRECIMIENTO DEL FRUTO","Dell’Amico, J. M, Domingo, R, Pérez, A, García, M, Peñalver, María, Villanueva, F, Puerto, P","Cultivos Tropicales; 31(4); -","Cultivos Tropicales","Espanhol","2010","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0258-59362010000400008&lang=pt" 
"S0258-59362010000400009-cub","CONTENIDOS DE PROLINA, GLICINA BETAÍNA Y PROTEÍNAS SOLUBLES TOTALES EN 12 VARIEDADES CUBANAS DE TRIGO EN CONDICIONES SALINAS","Argentel, L, Fonseca, I, González, L. M, López, D. R","Cultivos Tropicales; 31(4); -","Cultivos Tropicales","Espanhol","2010","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0258-59362010000400009&lang=pt" 
"S0258-59362010000400010-cub","MATERIA PRIMA MÁS LIMPIA EN EL INGENIO SAN MIGUELITO CON EL USO DE CONTENEDORES EN LA COSECHA DE LA CAÑA DE AZÚCAR (Saccharum spp.)","Herrera, A, Ordóñez, P, Castillo, A, Enríquez, V, Milanés, N, Heredia, C","Cultivos Tropicales; 31(4); -","Cultivos Tropicales","Espanhol","2010","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0258-59362010000400010&lang=pt" 
"S0258-59362010000400011-cub","CRECIMIENTO Y PRODUCTIVIDAD DE VARIEDADES DE ARROZ DE DIFERENTES CICLOS EN DOS FECHAS DE SIEMBRA EN LA ÉPOCA DE FRÍO EN LOS PALACIOS, PINAR DEL RÍO","Maqueira, L. A, Pérez, S. A, Torres, W","Cultivos Tropicales; 31(4); -","Cultivos Tropicales","Espanhol","2010","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0258-59362010000400011&lang=pt" 
"S0258-59362010000400012-cub","LA BIODIVERSIDAD FLORÍSTICA EN LOS SISTEMAS AGRÍCOLAS","Yong, Ania","Cultivos Tropicales; 31(4); -","Cultivos Tropicales","Espanhol","2010","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0258-59362010000400012&lang=pt" 
"S0258-59362010000400013-cub","EVALUACIÓN DE LA INOCULACIÓN CONJUNTA Bradyrhizobium japonicum-HONGOS MICORRÍZICOS ARBUSCULARES Y LA APLICACIÓN DE UN BIOESTIMULADOR DEL CRECIMIENTO VEGETAL EN SOYA CULTIVADA EN ÉPOCA DE INVIERNO","Corbera, J, Nápoles, María C","Cultivos Tropicales; 31(4); -","Cultivos Tropicales","Espanhol","2010","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0258-59362010000400013&lang=pt" 
"S0258-59362010000400014-cub","EL DISEÑO Y LA EVALUACIÓN PARTICIPATIVOS DE EFECTOS DIRECTOS (CAMBIO DE ACTITUD) EN LOS PROYECTOS DE INNOVACIÓN AGROPECUARIA LOCAL (PIAL)","Ortiz, R, Angarica, Lydia, Schmid, Marguerite Misteli","Cultivos Tropicales; 31(4); -","Cultivos Tropicales","Espanhol","2010","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0258-59362010000400014&lang=pt" 
"S0258-59362010000400015-cub","EFECTOS DE LA CONTAMINACIÓN MICROBIANA Y OXIDACIÓN FENÓLICA EN EL ESTABLECIMIENTO In Vitro DE FRUTALES PERENNES","Hernández, Yuniet, González, María E","Cultivos Tropicales; 31(4); -","Cultivos Tropicales","Espanhol","2010","http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S0258-59362010000400015&lang=pt" 
"S1315-99842010000400004-ven","Calidad de servicio en farmacias tradicionales y de autoservicio: Estudio de caso","Castellano, Susie, González, Pamela","Revista Venezolana de Gerencia; 15(52); 570-590","Revista Venezolana de Gerencia","Espanhol","2010","http://www.scielo.org.ve/scielo.php?script=sci_arttext&pid=S1315-99842010000400004&lang=pt" 
"S1315-99842010000400005-ven","Satisfacción del cliente de la consulta externa de pediatría en clínicas privadas","Morillo Castro, Jorge Luis, Marcano Aular, Yelitza","Revista Venezolana de Gerencia; 15(52); 591-603","Revista Venezolana de Gerencia","Espanhol","2010","http://www.scielo.org.ve/scielo.php?script=sci_arttext&pid=S1315-99842010000400005&lang=pt" 
"S1315-99842010000400006-ven","Capacidad organizacional en la implementación de sistemas computarizados. Casos: Propilven y LUZ FM 102.9","Áñez Méndez, Celina, Petit, Elsa Emilia","Revista Venezolana de Gerencia; 15(52); 604-618","Revista Venezolana de Gerencia","Espanhol","2010","http://www.scielo.org.ve/scielo.php?script=sci_arttext&pid=S1315-99842010000400006&lang=pt" 
"S1315-99842010000400007-ven","Concepción de ser humano detrás de la Quinta Disciplina","Suárez Litvin, Roldan Tomasz","Revista Venezolana de Gerencia; 15(52); 621-637","Revista Venezolana de Gerencia","Espanhol","2010","http://www.scielo.org.ve/scielo.php?script=sci_arttext&pid=S1315-99842010000400007&lang=pt" 
"S1315-99842010000400001-ven","","Hernández Fernández, Lissette","Revista Venezolana de Gerencia; 15(52); 525-527","Revista Venezolana de Gerencia","Espanhol","2010","http://www.scielo.org.ve/scielo.php?script=sci_arttext&pid=S1315-99842010000400001&lang=pt" 
"S1315-99842010000400002-ven","La estabilidad macroeconómica y las micro, pequeñas y medianas empresas en México","Ramírez Cedillo, Eduardo","Revista Venezolana de Gerencia; 15(52); 531-547","Revista Venezolana de Gerencia","Espanhol","2010","http://www.scielo.org.ve/scielo.php?script=sci_arttext&pid=S1315-99842010000400002&lang=pt" 
"S1315-99842010000400003-ven","Empresarios exitosos: cómo toman decisiones","Castillo de Matheus, María Elizabeth","Revista Venezolana de Gerencia; 15(52); 548-569","Revista Venezolana de Gerencia","Espanhol","2010","http://www.scielo.org.ve/scielo.php?script=sci_arttext&pid=S1315-99842010000400003&lang=pt" 
"S1315-99842010000400008-ven","Competencias en competencia: el gerente empresario en la gran corporación","Szlechter, Diego","Revista Venezolana de Gerencia; 15(52); 638-661","Revista Venezolana de Gerencia","Espanhol","2010","http://www.scielo.org.ve/scielo.php?script=sci_arttext&pid=S1315-99842010000400008&lang=pt" 
"S1690-31102010000300004-ven","I curso de actualización en diabetes mellitus","","Revista Venezolana de Endocrinología y Metabolismo; 8(3); 116-148","Revista Venezolana de Endocrinología y Metabolismo","Espanhol","2010","http://www.scielo.org.ve/scielo.php?script=sci_arttext&pid=S1690-31102010000300004&lang=pt" 
"S1690-31102010000300002-ven","Densidad mineral ósea en pacientes premenopáusicas con depresión: Relación con los niveles séricos de cortisol, proteina c reactiva y marcadores óseos","Guerrero U, Yorly J, Uzcátegui, Lilia R, Torres, Adrián, Escalante, Karen, Acosta, Marta","Revista Venezolana de Endocrinología y Metabolismo; 8(3); 99-107","Revista Venezolana de Endocrinología y Metabolismo","Espanhol","2010","http://www.scielo.org.ve/scielo.php?script=sci_arttext&pid=S1690-31102010000300002&lang=pt" 
"S1690-31102010000300003-ven","Tiroiditis aguda supurada: Presentación de dos casos pediátricos","Chirinos, Jorge Luis, Uzcategui, Lilia, Paoli, Mariela, Briceño, Yajaira","Revista Venezolana de Endocrinología y Metabolismo; 8(3); 108-115","Revista Venezolana de Endocrinología y Metabolismo","Espanhol","2010","http://www.scielo.org.ve/scielo.php?script=sci_arttext&pid=S1690-31102010000300003&lang=pt" 
"S1690-31102010000300001-ven","Fisiopatología, diagnóstico y tratamiento médico de la insuficiencia cardiaca congestiva","Dávila Spinetti, Diego F, Donis H, Jose H, González, Maite, Sánchez, Francisco","Revista Venezolana de Endocrinología y Metabolismo; 8(3); 88-98","Revista Venezolana de Endocrinología y Metabolismo","Espanhol","2010","http://www.scielo.org.ve/scielo.php?script=sci_arttext&pid=S1690-31102010000300001&lang=pt" 
"S2007-11242010000400001-mex","Composición de leche de vacas Criollo, Guzerat y sus cruzas F1 y su relación con el peso al destete de las crías","Martínez Velázquez, Guillermo, Palacios Fránquez, José Antonio, Bustamante Guerrero, José de Jesús, Ríos Utrera, Ángel, Vega Murillo, Vicente Eliezer, Montano Bermúdez, Moisés","Revista mexicana de ciencias pecuarias; 1(4); 311-324","Revista mexicana de ciencias pecuarias","Espanhol","2010","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S2007-11242010000400001&lang=pt" 
"S2007-11242010000400002-mex","Eventos reproductivos de vacas con diferente porcentaje de genes Bos taurus en el trópico mexicano","López Ordaz, Rufino, Díaz Hernández, Mario, García Muñiz, José Guadalupe, Núñez Domínguez, Rafael, López Ordaz, Reyes, Martínez Hernández, Pedro Arturo","Revista mexicana de ciencias pecuarias; 1(4); 325-336","Revista mexicana de ciencias pecuarias","Espanhol","2010","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S2007-11242010000400002&lang=pt" 
"S2007-11242010000400003-mex","Tendencias genéticas y fenotípicas para características de producción y composición de la leche en cabras Saanen de México","Torres-Vázquez, José Antonio, Valencia-Posadas, Mauricio, Castillo-Juárez, Héctor, Montaldo, Hugo H","Revista mexicana de ciencias pecuarias; 1(4); 337-348","Revista mexicana de ciencias pecuarias","Espanhol","2010","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S2007-11242010000400003&lang=pt" 
"S2007-11242010000400004-mex","Modelación general de los efectos de la geometría de iluminación-visión en la reflectancia de pastizales","Bolaños González, Martín Alejandro, Paz Pellat, Fernando","Revista mexicana de ciencias pecuarias; 1(4); 349-361","Revista mexicana de ciencias pecuarias","Espanhol","2010","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S2007-11242010000400004&lang=pt" 
"S2007-11242010000400005-mex","Rendimiento y valor nutritivo de forraje de alfalfa (Medicago sativa L.) con diferentes dosis de estiércol bovino","Vázquez-Vázquez, Cirilo, García-Hernández, José Luis, Salazar-Sosa, Enrique, Murillo-Amador, Bernardo, Orona-Castillo, Ignacio, Zúñiga-Tarango, Rafael, Rueda-Puente, Edgar Omar, Preciado-Rangel, Pablo","Revista mexicana de ciencias pecuarias; 1(4); 363-372","Revista mexicana de ciencias pecuarias","Espanhol","2010","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S2007-11242010000400005&lang=pt" 
"S2007-11242010000400006-mex","Cultivo in vitro de Anaplasma marginale en líneas celulares endoteliales","Luna-Castro, G. Sarahí, Rodríguez-Camarillo, Sergio D., Ramírez-Noguera, Patricia, Preciado de la Torre, J. Francisco, Rojas-Ramírez, Edmundo E., Mosqueda-Gualito, Juan J., García-Ortíz, Miguel A., Vega y Murguía, Carlos A","Revista mexicana de ciencias pecuarias; 1(4); 373-390","Revista mexicana de ciencias pecuarias","Espanhol","2010","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S2007-11242010000400006&lang=pt" 
"S2007-11242010000400007-mex","Factores de riesgo asociados a la presencia de aborto y desempeño reproductivo en ganado lechero de Aguascalientes, México","Meléndez Soto, Rosa María, Valdivia Flores, Arturo Gerardo, Rangel Muñoz, Erika Janeth, Díaz Aparicio, Efrén, Segura-Correa, José C., Guerrero Barrera, Alma Lilián","Revista mexicana de ciencias pecuarias; 1(4); 391-401","Revista mexicana de ciencias pecuarias","Espanhol","2010","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S2007-11242010000400007&lang=pt" 
"S2007-11242010000400008-mex","Sensibilidad y especificidad de PCR anidada y Spoligotyping como pruebas rápidas de diagnóstico de tuberculosis bovina en tejido fresco","Milián Suazo, Feliciano, Harris, Beth, Arriaga Díaz, Camila, Thomsen, Bruce, Stuber, Tod, González Suárez, Dante, Álvarez Ojeda, Genoveva, Santillán Flores, Marco A., Morales Loredo, Alberto, Estrada Chávez, Ciro","Revista mexicana de ciencias pecuarias; 1(4); 403-415","Revista mexicana de ciencias pecuarias","Espanhol","2010","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S2007-11242010000400008&lang=pt" 
