"S1130-05582012000400005-esp","Tratamiento ortopédico con moldeador nasoalveolar prequirúrgico en la fisura labiopalatina unilateral","España-López, Antonio José, Martínez-Plaza, Adoración, Fernández-Valadés, Ricardo, Guerrero-López, Carmen, Cortés-Sánchez, Rosario, García Medina, Blas","Revista Española de Cirugía Oral y Maxilofacial; 34(4); 166-171","Revista Española de Cirugía Oral y Maxilofacial","Espanhol","2012","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1130-05582012000400005&lang=pt" 
"S1130-05582012000400009-esp","¿Cuál sería su diagnóstico?","Guiñales Díaz de Cevallos, Jorge, Martorell Martínez, Vicente, Sánchez Burgos, Rocío, Castillo Pardo de Vera, José Luis del, Burgueño García, Miguel","Revista Española de Cirugía Oral y Maxilofacial; 34(4); 186-187","Revista Española de Cirugía Oral y Maxilofacial","Espanhol","2012","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1130-05582012000400009&lang=pt" 
"S1130-05582012000400002-esp","Sutura mecánica microvascular en cirugía reconstructiva de cabeza y cuello","Fernández Díaz, Juan, Naval Gías, Luis, Sastre Pérez, Jesús, Rodríguez Campo, Francisco, Muñoz-Guerra, Mario","Revista Española de Cirugía Oral y Maxilofacial; 34(4); 145-150","Revista Española de Cirugía Oral y Maxilofacial","Espanhol","2012","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1130-05582012000400002&lang=pt" 
"S1130-05582012000400003-esp","Colgajo sural medial: un nuevo colgajo de perforantes para la reconstrucción del territorio maxilofacial","Arribas-García, Ignacio, Gómez-Oliveira, Guillermo, Álvarez-Florez, Modesto, Gregoire Ferriol, Johanna, Serrano-Álvarez, Adriana, Martínez-Pérez, Fátima","Revista Española de Cirugía Oral y Maxilofacial; 34(4); 151-155","Revista Española de Cirugía Oral y Maxilofacial","Espanhol","2012","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1130-05582012000400003&lang=pt" 
"S1130-05582012000400011-esp","Síndrome de Sjögren: criterios diagnósticos mediante resonancia magnética","Guiñales Díaz de Cevallos, Jorge, Martorell Martínez, Vicente, Sánchez Burgos, Rocío, Castillo Pardo de Vera, José Luis del, Burgueño García, Miguel","Revista Española de Cirugía Oral y Maxilofacial; 34(4); 190-191","Revista Española de Cirugía Oral y Maxilofacial","Espanhol","2012","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1130-05582012000400011&lang=pt" 
"S1130-05582012000400006-esp","Fístula de líquido cefalorraquídeo recidivante postraumática asociada a meningocele esfenoidal: técnica abierta-endoscópica","Zubillaga Rodríguez, Ignacio, Fernández Alen, José Antonio, Sánchez Aniceto, Gregorio, Montalvo Moreno, Juan José","Revista Española de Cirugía Oral y Maxilofacial; 34(4); 172-179","Revista Española de Cirugía Oral y Maxilofacial","Espanhol","2012","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1130-05582012000400006&lang=pt" 
"S1130-05582012000400007-esp","Malignant eccrine spiradenoma of the nasolabial fold: a case report","Gómez Oliveira, Guillermo, Fernández-Alba, Javier, Martín Sastre, Roberto, Carro Rey, Enrique","Revista Española de Cirugía Oral y Maxilofacial; 34(4); 180-184","Revista Española de Cirugía Oral y Maxilofacial","Inglês","2012","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1130-05582012000400007&lang=pt" 
"S1130-05582012000400004-esp","Osteosíntesis intraoral asistida por endoscopia en las fracturas del proceso condilar de la mandíbula: revisión de 53 casos","Goizueta-Adame, Carlos Cristobal, Pastor-Zuazaga, Daniel, Agüero-de Dios, Elena, Sebastián-López, Cristina","Revista Española de Cirugía Oral y Maxilofacial; 34(4); 156-165","Revista Española de Cirugía Oral y Maxilofacial","Espanhol","2012","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1130-05582012000400004&lang=pt" 
"S1130-05582012000400008-esp","¿Cuál sería su diagnóstico?","Kulyapina, Alena, Thomas Santamaria, Alejandro, Leno Dasi, Belén, Navarro Vila, Carlos","Revista Española de Cirugía Oral y Maxilofacial; 34(4); 185-186","Revista Española de Cirugía Oral y Maxilofacial","Espanhol","2012","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1130-05582012000400008&lang=pt" 
"S1130-05582012000400001-esp","¿Debemos cuestionarnos el uso de la radioterapia postoperatoria en el carcinoma epidermoide oral?","González-García, Raúl","Revista Española de Cirugía Oral y Maxilofacial; 34(4); 143-144","Revista Española de Cirugía Oral y Maxilofacial","Espanhol","2012","http://scielo.isciii.es/scielo.php?script=sci_arttext&pid=S1130-05582012000400001&lang=pt" 
